"name","nameFull","class","pond","date","depth","freq"
"1637A.tif","2 (160 images)\Mar 25, 2010 (25 images)\1637A.tif",2,"NA","03-25-10","80 mm","8 MHz"
"2469A.tif","2 (160 images)\Mar 25, 2010 (25 images)\2469A.tif",2,"NA","03-25-10","80 mm","8 MHz"
"550.tif","2 (160 images)\Mar 25, 2010 (25 images)\550.tif",2,"NA","03-25-10","80 mm","8 MHz"
"554.tif","2 (160 images)\Mar 25, 2010 (25 images)\554.tif",2,"NA","03-25-10","80 mm","8 MHz"
"556.tif","2 (160 images)\Mar 25, 2010 (25 images)\556.tif",2,"NA","03-25-10","80 mm","8 MHz"
"558.tif","2 (160 images)\Mar 25, 2010 (25 images)\558.tif",2,"NA","03-25-10","80 mm","8 MHz"
"563.tif","2 (160 images)\Mar 25, 2010 (25 images)\563.tif",2,"NA","03-25-10","80 mm","8 MHz"
"566.tif","2 (160 images)\Mar 25, 2010 (25 images)\566.tif",2,"NA","03-25-10","80 mm","8 MHz"
"568.tif","2 (160 images)\Mar 25, 2010 (25 images)\568.tif",2,"NA","03-25-10","80 mm","8 MHz"
"571.tif","2 (160 images)\Mar 25, 2010 (25 images)\571.tif",2,"NA","03-25-10","80 mm","8 MHz"
"573.tif","2 (160 images)\Mar 25, 2010 (25 images)\573.tif",2,"NA","03-25-10","80 mm","8 MHz"
"576.tif","2 (160 images)\Mar 25, 2010 (25 images)\576.tif",2,"NA","03-25-10","80 mm","8 MHz"
"578.tif","2 (160 images)\Mar 25, 2010 (25 images)\578.tif",2,"NA","03-25-10","80 mm","8 MHz"
"582.tif","2 (160 images)\Mar 25, 2010 (25 images)\582.tif",2,"NA","03-25-10","80 mm","8 MHz"
"586.tif","2 (160 images)\Mar 25, 2010 (25 images)\586.tif",2,"NA","03-25-10","80 mm","8 MHz"
"587.tif","2 (160 images)\Mar 25, 2010 (25 images)\587.tif",2,"NA","03-25-10","80 mm","8 MHz"
"590.tif","2 (160 images)\Mar 25, 2010 (25 images)\590.tif",2,"NA","03-25-10","80 mm","8 MHz"
"596.tif","2 (160 images)\Mar 25, 2010 (25 images)\596.tif",2,"NA","03-25-10","80 mm","8 MHz"
"597.tif","2 (160 images)\Mar 25, 2010 (25 images)\597.tif",2,"NA","03-25-10","80 mm","8 MHz"
"6594A.tif","2 (160 images)\Mar 25, 2010 (25 images)\6594A.tif",2,"NA","03-25-10","80 mm","8 MHz"
"6611A.tif","2 (160 images)\Mar 25, 2010 (25 images)\6611A.tif",2,"NA","03-25-10","80 mm","8 MHz"
"722.tif","2 (160 images)\Mar 25, 2010 (25 images)\722.tif",2,"NA","03-25-10","80 mm","8 MHz"
"8366A.tif","2 (160 images)\Mar 25, 2010 (25 images)\8366A.tif",2,"NA","03-25-10","80 mm","8 MHz"
"9492A.tif","2 (160 images)\Mar 25, 2010 (25 images)\9492A.tif",2,"NA","03-25-10","80 mm","8 MHz"
"9667A.tif","2 (160 images)\Mar 25, 2010 (25 images)\9667A.tif",2,"NA","03-25-10","80 mm","8 MHz"
"315.tif","3 (146 images)\Mar 25, 2010 (10 items)\315.tif",3,"NA","03-25-10","80 mm","8 MHz"
"557.tif","3 (146 images)\Mar 25, 2010 (10 items)\557.tif",3,"NA","03-25-10","80 mm","8 MHz"
"560.tif","3 (146 images)\Mar 25, 2010 (10 items)\560.tif",3,"NA","03-25-10","80 mm","8 MHz"
"564.tif","3 (146 images)\Mar 25, 2010 (10 items)\564.tif",3,"NA","03-25-10","80 mm","8 MHz"
"567.tif","3 (146 images)\Mar 25, 2010 (10 items)\567.tif",3,"NA","03-25-10","80 mm","8 MHz"
"570.tif","3 (146 images)\Mar 25, 2010 (10 items)\570.tif",3,"NA","03-25-10","80 mm","8 MHz"
"580.tif","3 (146 images)\Mar 25, 2010 (10 items)\580.tif",3,"NA","03-25-10","80 mm","8 MHz"
"594.tif","3 (146 images)\Mar 25, 2010 (10 items)\594.tif",3,"NA","03-25-10","80 mm","8 MHz"
"595.tif","3 (146 images)\Mar 25, 2010 (10 items)\595.tif",3,"NA","03-25-10","80 mm","8 MHz"
"600.tif","3 (146 images)\Mar 25, 2010 (10 items)\600.tif",3,"NA","03-25-10","80 mm","8 MHz"
"602_4.tif","4 (90 images)\PondB9 2010 (26 images)\602_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"603_4.tif","4 (90 images)\PondB9 2010 (26 images)\603_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"609_4.tif","4 (90 images)\PondB9 2010 (26 images)\609_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"610_4.tif","4 (90 images)\PondB9 2010 (26 images)\610_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"611_4.tif","4 (90 images)\PondB9 2010 (26 images)\611_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"615_4.tif","4 (90 images)\PondB9 2010 (26 images)\615_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"621_4.tif","4 (90 images)\PondB9 2010 (26 images)\621_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"622_4.tif","4 (90 images)\PondB9 2010 (26 images)\622_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"623_4.tif","4 (90 images)\PondB9 2010 (26 images)\623_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"624_4.tif","4 (90 images)\PondB9 2010 (26 images)\624_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"634_4.tif","4 (90 images)\PondB9 2010 (26 images)\634_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"635_4.tif","4 (90 images)\PondB9 2010 (26 images)\635_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"639_4.tif","4 (90 images)\PondB9 2010 (26 images)\639_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"641_4.tif","4 (90 images)\PondB9 2010 (26 images)\641_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"643_4.tif","4 (90 images)\PondB9 2010 (26 images)\643_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"644_4.tif","4 (90 images)\PondB9 2010 (26 images)\644_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"645_4.tif","4 (90 images)\PondB9 2010 (26 images)\645_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"649_4.tif","4 (90 images)\PondB9 2010 (26 images)\649_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"650_4.tif","4 (90 images)\PondB9 2010 (26 images)\650_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"653_4.tif","4 (90 images)\PondB9 2010 (26 images)\653_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"654_4.tif","4 (90 images)\PondB9 2010 (26 images)\654_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"655_4.tif","4 (90 images)\PondB9 2010 (26 images)\655_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"657_4.tif","4 (90 images)\PondB9 2010 (26 images)\657_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"664_4.tif","4 (90 images)\PondB9 2010 (26 images)\664_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"666_4.tif","4 (90 images)\PondB9 2010 (26 images)\666_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"767_4.tif","4 (90 images)\PondB9 2010 (26 images)\767_4.tif",4,"B9","05-06-10","80 mm","5 MHz"
"789_4.tif","4 (90 images)\PondG1 2010 (4 images)\789_4.tif",4,"G1","05-17-10","80 mm","5 MHz"
"790_4.tif","4 (90 images)\PondG1 2010 (4 images)\790_4.tif",4,"G1","05-17-10","80 mm","5 MHz"
"791_4.tif","4 (90 images)\PondG1 2010 (4 images)\791_4.tif",4,"G1","05-17-10","80 mm","5 MHz"
"986_4.tif","4 (90 images)\PondG1 2010 (4 images)\986_4.tif",4,"G1","05-17-10","80 mm","5 MHz"
"3324A.tif","4 (90 images)\PondG1G2 2010 (7 images)\3324A.tif",4,"G1G2","03-30-10","80 mm","8 MHz"
"3494A.tif","4 (90 images)\PondG1G2 2010 (7 images)\3494A.tif",4,"G1G2","03-30-10","80 mm","8 MHz"
"516.tif","4 (90 images)\PondG1G2 2010 (7 images)\516.tif",4,"G1G2","03-30-10","80 mm","8 MHz"
"5233A.tif","4 (90 images)\PondG1G2 2010 (7 images)\5233A.tif",4,"G1G2","03-30-10","80 mm","8 MHz"
"525.tif","4 (90 images)\PondG1G2 2010 (7 images)\525.tif",4,"G1G2","03-30-10","80 mm","8 MHz"
"541.tif","4 (90 images)\PondG1G2 2010 (7 images)\541.tif",4,"G1G2","03-30-10","80 mm","8 MHz"
"9250A.tif","4 (90 images)\PondG1G2 2010 (7 images)\9250A.tif",4,"G1G2","03-30-10","80 mm","8 MHz"
"751_4.tif","4 (90 images)\PondR2R3 2010 (7 images)\751_4.tif",4,"R2R3","05-17-10","80 mm","5 MHz"
