,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9401226816771306,0.932424817434305,52.6,9.2,3.4,121.0,0.9295596007046389,0.07044039929536113,0.06071428571428571,0.9392857142857143,0.9738555517040473,0.9490231808403656,0.9369127516778524,0.956989247311828,54.0,6.0,2.0,124.0,0.9538461538461539,0.046153846153846156,0.03571428571428571,0.9642857142857143,0.983739837398374,0.96875,0.010002423222730743,0.04957710867533203,2.5099800796022267,11.03177229641729,2.5099800796022267,10.606601717798213,0.08415960347741336,0.08415960347741334,0.044821072850039764,0.04482107285003976,0.01758287992644737,0.04099402733676394,"[0.956989247311828, 0.9328859060402684, 0.9369127516778524, 0.9328859060402684, 0.9409395973154362]","[0.8449197860962567, 0.956989247311828, 0.9623655913978495, 0.956989247311828, 0.9408602150537635]","[55, 51, 49, 54, 54]","[28, 3, 0, 6, 9]","[1, 5, 7, 2, 2]","[103, 127, 130, 124, 121]","[0.7862595419847328, 0.9769230769230769, 1.0, 0.9538461538461539, 0.9307692307692308]","[0.21374045801526717, 0.023076923076923078, 0.0, 0.046153846153846156, 0.06923076923076923]","[0.017857142857142856, 0.08928571428571429, 0.125, 0.03571428571428571, 0.03571428571428571]","[0.9821428571428571, 0.9107142857142857, 0.875, 0.9642857142857143, 0.9642857142857143]","[0.9903846153846154, 0.9621212121212122, 0.948905109489051, 0.9841269841269841, 0.983739837398374]","[0.8765957446808511, 0.9694656488549619, 0.9737827715355805, 0.96875, 0.9565217391304349]","[[[55, 1], [28, 103]], [[51, 5], [3, 127]], [[49, 7], [0, 130]], [[54, 2], [6, 124]], [[54, 2], [9, 121]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,0.9989258136681822,0.951745155540222,53.8,6.8,2.2,123.4,0.9479506752789195,0.052049324721080446,0.03928571428571429,0.9607142857142857,0.9828828685175812,0.9639272272280561,0.9986577181208054,0.9623655913978495,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.984,0.973384030418251,0.001123141695419132,0.044705218558550495,1.9235384061671343,8.814760348415605,1.9235384061671343,8.384509526501834,0.0672491194896566,0.0672491194896566,0.0343489001101274,0.0343489001101274,0.014242685358943985,0.03513449579911067,"[0.9986559139784946, 0.9986577181208054, 1.0, 0.9973154362416108, 1.0]","[0.8770053475935828, 0.9623655913978495, 0.9731182795698925, 0.9946236559139785, 0.9516129032258065]","[55, 51, 53, 56, 54]","[22, 2, 2, 1, 7]","[1, 5, 3, 0, 2]","[109, 128, 128, 129, 123]","[0.8320610687022901, 0.9846153846153847, 0.9846153846153847, 0.9923076923076923, 0.9461538461538461]","[0.16793893129770993, 0.015384615384615385, 0.015384615384615385, 0.007692307692307693, 0.05384615384615385]","[0.017857142857142856, 0.08928571428571429, 0.05357142857142857, 0.0, 0.03571428571428571]","[0.9821428571428571, 0.9107142857142857, 0.9464285714285714, 1.0, 0.9642857142857143]","[0.990909090909091, 0.9624060150375939, 0.9770992366412213, 1.0, 0.984]","[0.9045643153526971, 0.973384030418251, 0.9808429118773947, 0.9961389961389961, 0.9647058823529412]","[[[55, 1], [22, 109]], [[51, 5], [2, 128]], [[53, 3], [2, 128]], [[56, 0], [1, 129]], [[54, 2], [7, 123]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9575745110774336,0.9345351043643264,47.0,3.2,9.0,127.0,0.9755255431591309,0.024474456840869054,0.1607142857142857,0.8392857142857142,0.9338127919537381,0.9539622359141863,0.9557046979865772,0.946236559139785,46.0,2.0,10.0,128.0,0.9846153846153847,0.015384615384615385,0.17857142857142858,0.8214285714285714,0.9285714285714286,0.962962962962963,0.004591780293102273,0.03023508767290862,1.7320508075688772,5.019960159204453,1.7320508075688772,4.58257569495584,0.03830632125192828,0.03830632125192825,0.030929478706587098,0.03092947870658713,0.01280420508070874,0.022229984512467327,"[0.9650537634408602, 0.9557046979865772, 0.9583892617449664, 0.9530201342281879, 0.9557046979865772]","[0.8823529411764706, 0.9354838709677419, 0.946236559139785, 0.956989247311828, 0.9516129032258065]","[46, 46, 46, 50, 47]","[12, 2, 0, 2, 0]","[10, 10, 10, 6, 9]","[119, 128, 130, 128, 130]","[0.9083969465648855, 0.9846153846153847, 1.0, 0.9846153846153847, 1.0]","[0.0916030534351145, 0.015384615384615385, 0.0, 0.015384615384615385, 0.0]","[0.17857142857142858, 0.17857142857142858, 0.17857142857142858, 0.10714285714285714, 0.16071428571428573]","[0.8214285714285714, 0.8214285714285714, 0.8214285714285714, 0.8928571428571429, 0.8392857142857143]","[0.9224806201550387, 0.927536231884058, 0.9285714285714286, 0.9552238805970149, 0.935251798561151]","[0.9153846153846152, 0.9552238805970149, 0.962962962962963, 0.9696969696969696, 0.966542750929368]","[[[46, 10], [12, 119]], [[46, 10], [2, 128]], [[46, 10], [0, 130]], [[50, 6], [2, 128]], [[47, 9], [0, 130]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9720744028288951,0.9291990109826923,51.6,8.8,4.4,121.4,0.9326247798003523,0.06737522019964767,0.07857142857142857,0.9214285714285714,0.9660868105377574,0.9472096665103049,0.9731543624161074,0.956989247311828,53.0,5.0,3.0,125.0,0.9615384615384616,0.038461538461538464,0.05357142857142857,0.9464285714285714,0.9765625,0.96875,0.004277793687691293,0.050571847343065204,3.361547262794322,10.353743284435827,3.361547262794322,9.914635646356352,0.07894756086308934,0.07894756086308932,0.060027629692755755,0.06002762969275577,0.02390609879076699,0.040918011005533605,"[0.9771505376344086, 0.974496644295302, 0.9691275167785235, 0.9664429530201343, 0.9731543624161074]","[0.8449197860962567, 0.9193548387096774, 0.967741935483871, 0.956989247311828, 0.956989247311828]","[54, 46, 51, 54, 53]","[27, 5, 1, 6, 5]","[2, 10, 5, 2, 3]","[104, 125, 129, 124, 125]","[0.7938931297709924, 0.9615384615384616, 0.9923076923076923, 0.9538461538461539, 0.9615384615384616]","[0.20610687022900764, 0.038461538461538464, 0.007692307692307693, 0.046153846153846156, 0.038461538461538464]","[0.03571428571428571, 0.17857142857142858, 0.08928571428571429, 0.03571428571428571, 0.05357142857142857]","[0.9642857142857143, 0.8214285714285714, 0.9107142857142857, 0.9642857142857143, 0.9464285714285714]","[0.9811320754716981, 0.9259259259259259, 0.9626865671641791, 0.9841269841269841, 0.9765625]","[0.8776371308016877, 0.9433962264150944, 0.9772727272727273, 0.96875, 0.9689922480620154]","[[[54, 2], [27, 104]], [[46, 10], [5, 125]], [[51, 5], [1, 129]], [[54, 2], [6, 124]], [[53, 3], [5, 125]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.8368006440112703,41.6,16.0,14.4,114.2,0.8772519083969467,0.12274809160305344,0.2571428571428572,0.7428571428571429,0.8879198108127208,0.8816774381810879,1.0,0.8333333333333334,42.0,17.0,14.0,113.0,0.8692307692307693,0.13076923076923078,0.25,0.75,0.8865248226950354,0.8784313725490197,0.0,0.042844913864954426,1.51657508881031,8.455767262643882,1.51657508881031,8.10555365166378,0.06446259144017295,0.06446259144017294,0.02708169801446981,0.027081698014469836,0.010397587076931575,0.03490209615543727,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7754010695187166, 0.8225806451612904, 0.8870967741935484, 0.8655913978494624, 0.8333333333333334]","[42, 40, 40, 43, 43]","[28, 17, 5, 12, 18]","[14, 16, 16, 13, 13]","[103, 113, 125, 118, 112]","[0.7862595419847328, 0.8692307692307693, 0.9615384615384616, 0.9076923076923077, 0.8615384615384616]","[0.21374045801526717, 0.13076923076923078, 0.038461538461538464, 0.09230769230769231, 0.13846153846153847]","[0.25, 0.2857142857142857, 0.2857142857142857, 0.23214285714285715, 0.23214285714285715]","[0.75, 0.7142857142857143, 0.7142857142857143, 0.7678571428571429, 0.7678571428571429]","[0.8803418803418803, 0.875968992248062, 0.8865248226950354, 0.9007633587786259, 0.896]","[0.8306451612903225, 0.8725868725868725, 0.9225092250922509, 0.9042145593869731, 0.8784313725490197]","[[[42, 14], [28, 103]], [[40, 16], [17, 113]], [[40, 16], [5, 125]], [[43, 13], [12, 118]], [[43, 13], [18, 112]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9399171985509746,50.0,5.2,6.0,125.0,0.9602583675866118,0.03974163241338814,0.10714285714285712,0.8928571428571429,0.9559326268541735,0.956202163245765,1.0,0.946236559139785,49.0,2.0,7.0,128.0,0.9846153846153847,0.015384615384615385,0.125,0.875,0.9481481481481482,0.962406015037594,0.0,0.03894691233972908,4.0,9.444575162494077,4.0,9.0,0.07207612415369895,0.07207612415369898,0.07142857142857144,0.0714285714285714,0.02791417042577408,0.03106910691460182,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8770053475935828, 0.946236559139785, 0.9408602150537635, 0.9838709677419355, 0.9516129032258065]","[55, 48, 45, 53, 49]","[22, 2, 0, 0, 2]","[1, 8, 11, 3, 7]","[109, 128, 130, 130, 128]","[0.8320610687022901, 0.9846153846153847, 1.0, 1.0, 0.9846153846153847]","[0.16793893129770993, 0.015384615384615385, 0.0, 0.0, 0.015384615384615385]","[0.017857142857142856, 0.14285714285714285, 0.19642857142857142, 0.05357142857142857, 0.125]","[0.9821428571428571, 0.8571428571428571, 0.8035714285714286, 0.9464285714285714, 0.875]","[0.990909090909091, 0.9411764705882353, 0.9219858156028369, 0.9774436090225563, 0.9481481481481482]","[0.9045643153526971, 0.962406015037594, 0.959409594095941, 0.988593155893536, 0.9660377358490566]","[[[55, 1], [22, 109]], [[48, 8], [2, 128]], [[45, 11], [0, 130]], [[53, 3], [0, 130]], [[49, 7], [2, 128]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.9452992927376229,53.8,8.0,2.2,122.2,0.9387081620669407,0.0612918379330593,0.03928571428571428,0.9607142857142857,0.9821450295560531,0.9592328817109601,1.0,0.9623655913978495,53.0,4.0,3.0,126.0,0.9692307692307692,0.03076923076923077,0.05357142857142857,0.9464285714285714,0.9769230769230769,0.9729729729729729,0.0,0.04540313281027639,1.3038404810405297,7.905694150420948,1.3038404810405297,7.496665925596524,0.06030649274111502,0.06030649274111499,0.023282865732866604,0.023282865732866618,0.010641362572937036,0.03519836550348245,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8716577540106952, 0.9623655913978495, 0.967741935483871, 0.989247311827957, 0.9354838709677419]","[53, 53, 53, 56, 54]","[21, 4, 3, 2, 10]","[3, 3, 3, 0, 2]","[110, 126, 127, 128, 120]","[0.8396946564885496, 0.9692307692307692, 0.9769230769230769, 0.9846153846153847, 0.9230769230769231]","[0.16030534351145037, 0.03076923076923077, 0.023076923076923078, 0.015384615384615385, 0.07692307692307693]","[0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.0, 0.03571428571428571]","[0.9464285714285714, 0.9464285714285714, 0.9464285714285714, 1.0, 0.9642857142857143]","[0.9734513274336283, 0.9767441860465116, 0.9769230769230769, 1.0, 0.9836065573770492]","[0.9016393442622951, 0.9729729729729729, 0.9769230769230769, 0.9922480620155039, 0.9523809523809524]","[[[53, 3], [21, 110]], [[53, 3], [4, 126]], [[53, 3], [3, 127]], [[56, 0], [2, 128]], [[54, 2], [10, 120]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9334943361508825,51.0,7.4,5.0,122.8,0.9433470346447447,0.056652965355255436,0.08928571428571429,0.9107142857142858,0.9613066483402539,0.9510596601529098,1.0,0.9408602150537635,51.0,2.0,5.0,128.0,0.9846153846153847,0.015384615384615385,0.08928571428571429,0.9107142857142857,0.9603174603174603,0.9591078066914498,0.0,0.05243977256975604,3.5355339059327378,9.289779329994873,3.5355339059327378,8.87130204648675,0.07089316050712194,0.07089316050712192,0.06313453403451318,0.06313453403451318,0.02566961530094636,0.0406943339973439,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8502673796791443, 0.9623655913978495, 0.9408602150537635, 0.989247311827957, 0.9247311827956989]","[51, 51, 46, 56, 51]","[23, 2, 1, 2, 9]","[5, 5, 10, 0, 5]","[108, 128, 129, 128, 121]","[0.8244274809160306, 0.9846153846153847, 0.9923076923076923, 0.9846153846153847, 0.9307692307692308]","[0.17557251908396945, 0.015384615384615385, 0.007692307692307693, 0.015384615384615385, 0.06923076923076923]","[0.08928571428571429, 0.08928571428571429, 0.17857142857142858, 0.0, 0.08928571428571429]","[0.9107142857142857, 0.9107142857142857, 0.8214285714285714, 1.0, 0.9107142857142857]","[0.9557522123893806, 0.9624060150375939, 0.9280575539568345, 1.0, 0.9603174603174603]","[0.8852459016393442, 0.973384030418251, 0.9591078066914498, 0.9922480620155039, 0.9453125000000001]","[[[51, 5], [23, 108]], [[51, 5], [2, 128]], [[46, 10], [1, 129]], [[56, 0], [2, 128]], [[51, 5], [9, 121]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9495946179058133,52.6,6.0,3.4,124.2,0.9540927774515561,0.04590722254844392,0.06071428571428571,0.9392857142857143,0.97394576791295,0.9627337105702629,1.0,0.9623655913978495,54.0,3.0,2.0,127.0,0.9769230769230769,0.023076923076923078,0.03571428571428571,0.9642857142857143,0.9821428571428571,0.9727626459143969,0.0,0.04249239453027493,2.5099800796022267,8.602325267042627,2.5099800796022267,8.167006795638166,0.06563429679847665,0.06563429679847663,0.04482107285003976,0.04482107285003976,0.01787054142938356,0.03329982933430996,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8770053475935828, 0.956989247311828, 0.9623655913978495, 0.989247311827957, 0.9623655913978495]","[54, 51, 49, 55, 54]","[21, 3, 0, 1, 5]","[2, 5, 7, 1, 2]","[110, 127, 130, 129, 125]","[0.8396946564885496, 0.9769230769230769, 1.0, 0.9923076923076923, 0.9615384615384616]","[0.16030534351145037, 0.023076923076923078, 0.0, 0.007692307692307693, 0.038461538461538464]","[0.03571428571428571, 0.08928571428571429, 0.125, 0.017857142857142856, 0.03571428571428571]","[0.9642857142857143, 0.9107142857142857, 0.875, 0.9821428571428571, 0.9642857142857143]","[0.9821428571428571, 0.9621212121212122, 0.948905109489051, 0.9923076923076923, 0.984251968503937]","[0.9053497942386831, 0.9694656488549619, 0.9737827715355805, 0.9923076923076923, 0.9727626459143969]","[[[54, 2], [21, 110]], [[51, 5], [3, 127]], [[49, 7], [0, 130]], [[55, 1], [1, 129]], [[54, 2], [5, 125]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9538956931746305,54.0,6.6,2.0,123.6,0.949489136817381,0.0505108631826189,0.03571428571428571,0.9642857142857142,0.9843914531502438,0.9655034343602429,1.0,0.967741935483871,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.984251968503937,0.9770992366412214,0.0,0.04414416047084925,1.5811388300841898,8.706319543871567,1.5811388300841898,8.264381404557755,0.06640048429901836,0.06640048429901836,0.0282346219657891,0.02823462196578909,0.011781660093723476,0.034825671878878,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8770053475935828, 0.967741935483871, 0.9731182795698925, 0.989247311827957, 0.9623655913978495]","[55, 52, 53, 56, 54]","[22, 2, 2, 2, 5]","[1, 4, 3, 0, 2]","[109, 128, 128, 128, 125]","[0.8320610687022901, 0.9846153846153847, 0.9846153846153847, 0.9846153846153847, 0.9615384615384616]","[0.16793893129770993, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.038461538461538464]","[0.017857142857142856, 0.07142857142857142, 0.05357142857142857, 0.0, 0.03571428571428571]","[0.9821428571428571, 0.9285714285714286, 0.9464285714285714, 1.0, 0.9642857142857143]","[0.990909090909091, 0.9696969696969697, 0.9770992366412213, 1.0, 0.984251968503937]","[0.9045643153526971, 0.9770992366412214, 0.9808429118773947, 0.9922480620155039, 0.9727626459143969]","[[[55, 1], [22, 109]], [[52, 4], [2, 128]], [[53, 3], [2, 128]], [[56, 0], [2, 128]], [[54, 2], [5, 125]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
