,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9591881359601645,0.9453395434420102,53.4,7.6,2.6,122.6,0.94190252495596,0.05809747504403993,0.04642857142857143,0.9535714285714286,0.9802878033200108,0.9578455313056073,0.9583892617449664,0.978494623655914,53.0,1.0,3.0,129.0,0.9923076923076923,0.007692307692307693,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9848484848484849,0.010917143924491151,0.06606156015119741,2.6076809620810595,13.315404612703286,2.6076809620810595,12.876334882255899,0.10162656362064246,0.10162656362064248,0.04656573146573321,0.04656573146573319,0.01991972547352883,0.053919339839077936,"[0.9758064516129032, 0.9583892617449664, 0.9516778523489933, 0.9476510067114094, 0.9624161073825503]","[0.8342245989304813, 0.978494623655914, 0.9838709677419355, 0.9946236559139785, 0.9354838709677419]","[56, 52, 53, 56, 50]","[31, 0, 0, 1, 6]","[0, 4, 3, 0, 6]","[100, 130, 130, 129, 124]","[0.7633587786259542, 1.0, 1.0, 0.9923076923076923, 0.9538461538461539]","[0.2366412213740458, 0.0, 0.0, 0.007692307692307693, 0.046153846153846156]","[0.0, 0.07142857142857142, 0.05357142857142857, 0.0, 0.10714285714285714]","[1.0, 0.9285714285714286, 0.9464285714285714, 1.0, 0.8928571428571429]","[1.0, 0.9701492537313433, 0.9774436090225563, 1.0, 0.9538461538461539]","[0.8658008658008659, 0.9848484848484849, 0.988593155893536, 0.9961389961389961, 0.9538461538461539]","[[[56, 0], [31, 100]], [[52, 4], [0, 130]], [[53, 3], [0, 130]], [[56, 0], [1, 129]], [[50, 6], [6, 124]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,1.0,0.9828186993272382,54.8,2.0,1.2,128.2,0.984662360540223,0.015337639459776864,0.02142857142857143,0.9785714285714286,0.9907647907647907,0.9875957896916978,1.0,0.989247311827957,54.0,0.0,2.0,130.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9923664122137404,0.0,0.016299755386647144,1.0954451150103321,2.8284271247461903,1.0954451150103324,2.6832815729997477,0.021715824838414898,0.02171582483841491,0.019561519910898786,0.01956151991089878,0.008435698068146627,0.0118759613103529,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9786096256684492, 0.989247311827957, 0.989247311827957, 1.0, 0.956989247311828]","[56, 54, 54, 56, 54]","[4, 0, 0, 0, 6]","[0, 2, 2, 0, 2]","[127, 130, 130, 130, 124]","[0.9694656488549618, 1.0, 1.0, 1.0, 0.9538461538461539]","[0.030534351145038167, 0.0, 0.0, 0.0, 0.046153846153846156]","[0.0, 0.03571428571428571, 0.03571428571428571, 0.0, 0.03571428571428571]","[1.0, 0.9642857142857143, 0.9642857142857143, 1.0, 0.9642857142857143]","[1.0, 0.9848484848484849, 0.9848484848484849, 1.0, 0.9841269841269841]","[0.9844961240310077, 0.9923664122137404, 0.9923664122137404, 1.0, 0.96875]","[[[56, 0], [4, 127]], [[54, 2], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [0, 130]], [[54, 2], [6, 124]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9761008876380168,0.9667184175723076,52.2,2.4,3.8,127.8,0.9816324133881386,0.01836758661186142,0.06785714285714287,0.9321428571428572,0.9716192267227415,0.9762969402037104,0.974496644295302,0.9731182795698925,52.0,1.0,4.0,129.0,0.9923076923076923,0.007692307692307693,0.07142857142857142,0.9285714285714286,0.9701492537313433,0.9811320754716981,0.0053189833633365095,0.01985107839820149,2.949576240750525,3.361547262794322,2.949576240750525,2.949576240750525,0.025662527087195547,0.025662527087195547,0.05267100429911652,0.05267100429911652,0.021629467932588294,0.014179837929654186,"[0.9758064516129032, 0.974496644295302, 0.9731543624161074, 0.9718120805369127, 0.9852348993288591]","[0.9518716577540107, 0.9731182795698925, 0.978494623655914, 0.989247311827957, 0.9408602150537635]","[55, 51, 52, 55, 48]","[8, 0, 0, 1, 3]","[1, 5, 4, 1, 8]","[123, 130, 130, 129, 127]","[0.9389312977099237, 1.0, 1.0, 0.9923076923076923, 0.9769230769230769]","[0.061068702290076333, 0.0, 0.0, 0.007692307692307693, 0.023076923076923078]","[0.017857142857142856, 0.08928571428571429, 0.07142857142857142, 0.017857142857142856, 0.14285714285714285]","[0.9821428571428571, 0.9107142857142857, 0.9285714285714286, 0.9821428571428571, 0.8571428571428571]","[0.9919354838709677, 0.9629629629629629, 0.9701492537313433, 0.9923076923076923, 0.9407407407407408]","[0.9647058823529411, 0.9811320754716981, 0.9848484848484849, 0.9923076923076923, 0.9584905660377359]","[[[55, 1], [8, 123]], [[51, 5], [0, 130]], [[52, 4], [0, 130]], [[55, 1], [1, 129]], [[48, 8], [3, 127]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9836205527892041,0.9581737680409408,53.2,5.0,2.8,125.2,0.9617615971814445,0.03823840281855549,0.05,0.95,0.9788675120161843,0.9690636521458421,0.9812080536912752,0.967741935483871,54.0,0.0,2.0,130.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9774436090225563,0.004780719498628555,0.03955655189763112,2.588435821108957,8.246211251235321,2.588435821108957,7.823042886243178,0.06295905499470267,0.06295905499470265,0.04622206823408852,0.0462220682340885,0.019388206317503286,0.030470519572549388,"[0.9865591397849462, 0.9798657718120806, 0.9798657718120806, 0.9812080536912752, 0.9906040268456375]","[0.8983957219251337, 0.967741935483871, 0.989247311827957, 0.9946236559139785, 0.9408602150537635]","[56, 50, 54, 55, 51]","[19, 0, 0, 0, 6]","[0, 6, 2, 1, 5]","[112, 130, 130, 130, 124]","[0.8549618320610687, 1.0, 1.0, 1.0, 0.9538461538461539]","[0.1450381679389313, 0.0, 0.0, 0.0, 0.046153846153846156]","[0.0, 0.10714285714285714, 0.03571428571428571, 0.017857142857142856, 0.08928571428571429]","[1.0, 0.8928571428571429, 0.9642857142857143, 0.9821428571428571, 0.9107142857142857]","[1.0, 0.9558823529411765, 0.9848484848484849, 0.9923664122137404, 0.9612403100775194]","[0.9218106995884773, 0.9774436090225563, 0.9923664122137404, 0.9961685823754789, 0.9575289575289576]","[[[56, 0], [19, 112]], [[50, 6], [0, 130]], [[54, 2], [0, 130]], [[55, 1], [0, 130]], [[51, 5], [6, 124]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.9173480535909379,47.0,6.4,9.0,123.8,0.9509571344685849,0.04904286553141515,0.16071428571428573,0.8392857142857144,0.9328379052848181,0.9411955713588404,1.0,0.9301075268817204,47.0,5.0,9.0,125.0,0.9615384615384616,0.038461538461538464,0.16071428571428573,0.8392857142857143,0.9274193548387096,0.9523809523809523,0.0,0.03552533556669235,3.7416573867739413,6.107372593840989,3.7416573867739413,5.718391382198319,0.04661102033843738,0.046611020338437385,0.0668153104781061,0.06681531047810607,0.026209392347821513,0.02648207973229269,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8663101604278075, 0.9301075268817204, 0.9354838709677419, 0.956989247311828, 0.8978494623655914]","[47, 43, 47, 53, 45]","[16, 0, 3, 5, 8]","[9, 13, 9, 3, 11]","[115, 130, 127, 125, 122]","[0.8778625954198473, 1.0, 0.9769230769230769, 0.9615384615384616, 0.9384615384615385]","[0.12213740458015267, 0.0, 0.023076923076923078, 0.038461538461538464, 0.06153846153846154]","[0.16071428571428573, 0.23214285714285715, 0.16071428571428573, 0.05357142857142857, 0.19642857142857142]","[0.8392857142857143, 0.7678571428571429, 0.8392857142857143, 0.9464285714285714, 0.8035714285714286]","[0.9274193548387096, 0.9090909090909091, 0.9338235294117647, 0.9765625, 0.9172932330827067]","[0.9019607843137254, 0.9523809523809523, 0.9548872180451128, 0.9689922480620154, 0.9277566539923955]","[[[47, 9], [16, 115]], [[43, 13], [0, 130]], [[47, 9], [3, 127]], [[53, 3], [5, 125]], [[45, 11], [8, 122]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9549652118912082,52.8,5.2,3.2,125.0,0.9602583675866118,0.03974163241338814,0.05714285714285714,0.9428571428571428,0.9759619537310031,0.9664632582464121,1.0,0.978494623655914,53.0,0.0,3.0,130.0,1.0,0.0,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9848484848484849,0.0,0.044821677538616385,2.588435821108957,9.54986910905066,2.5884358211089573,9.1104335791443,0.07289246098387471,0.07289246098387474,0.046222068234088524,0.04622206823408851,0.019431745922912736,0.035165705180686256,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8823529411764706, 0.978494623655914, 0.9838709677419355, 0.989247311827957, 0.9408602150537635]","[56, 52, 53, 54, 49]","[22, 0, 0, 0, 4]","[0, 4, 3, 2, 7]","[109, 130, 130, 130, 126]","[0.8320610687022901, 1.0, 1.0, 1.0, 0.9692307692307692]","[0.16793893129770993, 0.0, 0.0, 0.0, 0.03076923076923077]","[0.0, 0.07142857142857142, 0.05357142857142857, 0.03571428571428571, 0.125]","[1.0, 0.9285714285714286, 0.9464285714285714, 0.9642857142857143, 0.875]","[1.0, 0.9701492537313433, 0.9774436090225563, 0.9848484848484849, 0.9473684210526315]","[0.9083333333333334, 0.9848484848484849, 0.988593155893536, 0.9923664122137404, 0.9581749049429658]","[[[56, 0], [22, 109]], [[52, 4], [0, 130]], [[53, 3], [0, 130]], [[54, 2], [0, 130]], [[49, 7], [4, 126]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.9849577367603933,55.2,2.0,0.8,128.2,0.9846388725778039,0.015361127422196124,0.014285714285714285,0.9857142857142858,0.9938198473282442,0.9891340075112895,1.0,0.9893048128342246,55.0,1.0,1.0,129.0,0.9923076923076923,0.007692307692307693,0.017857142857142856,0.9821428571428571,0.9923664122137404,0.9923076923076923,0.0,0.013391631300375208,0.8366600265340756,2.345207879911715,0.8366600265340756,2.3874672772626644,0.01804013706722155,0.01804013706722157,0.014940357616679922,0.01494035761667992,0.006410672297458505,0.00979902953421589,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9893048128342246, 0.9838709677419355, 0.9946236559139785, 0.9946236559139785, 0.9623655913978495]","[56, 54, 55, 56, 55]","[2, 1, 0, 1, 6]","[0, 2, 1, 0, 1]","[129, 129, 130, 129, 124]","[0.9847328244274809, 0.9923076923076923, 1.0, 0.9923076923076923, 0.9538461538461539]","[0.015267175572519083, 0.007692307692307693, 0.0, 0.007692307692307693, 0.046153846153846156]","[0.0, 0.03571428571428571, 0.017857142857142856, 0.0, 0.017857142857142856]","[1.0, 0.9642857142857143, 0.9821428571428571, 1.0, 0.9821428571428571]","[1.0, 0.9847328244274809, 0.9923664122137404, 1.0, 0.992]","[0.9923076923076923, 0.9885057471264368, 0.9961685823754789, 0.9961389961389961, 0.9725490196078431]","[[[56, 0], [2, 129]], [[54, 2], [1, 129]], [[55, 1], [0, 130]], [[56, 0], [1, 129]], [[55, 1], [6, 124]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9774653556437236,54.2,2.4,1.8,127.8,0.9816324133881386,0.01836758661186142,0.03214285714285714,0.9678571428571429,0.986484898342931,0.9837491307573112,1.0,0.978494623655914,55.0,0.0,1.0,130.0,1.0,0.0,0.017857142857142856,0.9821428571428571,0.9921259842519685,0.9848484848484849,0.0,0.01531935696708755,2.04939015319192,3.5777087639996634,2.04939015319192,3.1937438845342623,0.027337203458853453,0.027337203458853456,0.03659625273556999,0.036596252735569976,0.015254871071129609,0.01128264061708132,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9572192513368984, 0.978494623655914, 0.978494623655914, 1.0, 0.9731182795698925]","[56, 52, 52, 56, 55]","[8, 0, 0, 0, 4]","[0, 4, 4, 0, 1]","[123, 130, 130, 130, 126]","[0.9389312977099237, 1.0, 1.0, 1.0, 0.9692307692307692]","[0.061068702290076333, 0.0, 0.0, 0.0, 0.03076923076923077]","[0.0, 0.07142857142857142, 0.07142857142857142, 0.0, 0.017857142857142856]","[1.0, 0.9285714285714286, 0.9285714285714286, 1.0, 0.9821428571428571]","[1.0, 0.9701492537313433, 0.9701492537313433, 1.0, 0.9921259842519685]","[0.9685039370078741, 0.9848484848484849, 0.9848484848484849, 1.0, 0.980544747081712]","[[[56, 0], [8, 123]], [[52, 4], [0, 130]], [[52, 4], [0, 130]], [[56, 0], [0, 130]], [[55, 1], [4, 126]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9785348743603013,54.2,2.2,1.8,128.0,0.9831591309453905,0.016840869054609513,0.03214285714285714,0.9678571428571429,0.9862826740689336,0.9845539675903703,1.0,0.989247311827957,55.0,0.0,1.0,130.0,1.0,0.0,0.017857142857142856,0.9821428571428571,0.9923664122137404,0.9923664122137404,0.0,0.020076258330687855,1.9235384061671343,3.1937438845342627,1.9235384061671346,2.8284271247461903,0.024413022506408675,0.024413022506408685,0.0343489001101274,0.0343489001101274,0.014680583649291602,0.014468487871095882,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9625668449197861, 0.9946236559139785, 0.989247311827957, 0.9946236559139785, 0.9516129032258065]","[56, 55, 54, 55, 51]","[7, 0, 0, 0, 4]","[0, 1, 2, 1, 5]","[124, 130, 130, 130, 126]","[0.9465648854961832, 1.0, 1.0, 1.0, 0.9692307692307692]","[0.05343511450381679, 0.0, 0.0, 0.0, 0.03076923076923077]","[0.0, 0.017857142857142856, 0.03571428571428571, 0.017857142857142856, 0.08928571428571429]","[1.0, 0.9821428571428571, 0.9642857142857143, 0.9821428571428571, 0.9107142857142857]","[1.0, 0.9923664122137404, 0.9848484848484849, 0.9923664122137404, 0.9618320610687023]","[0.9725490196078431, 0.9961685823754789, 0.9923664122137404, 0.9961685823754789, 0.9655172413793103]","[[[56, 0], [7, 124]], [[55, 1], [0, 130]], [[54, 2], [0, 130]], [[55, 1], [0, 130]], [[51, 5], [4, 126]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9838939681444426,54.8,1.8,1.2,128.4,0.9862008220786846,0.013799177921315325,0.02142857142857143,0.9785714285714286,0.9907897876401813,0.9883983188745772,1.0,0.989247311827957,54.0,0.0,2.0,130.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9923664122137404,0.0,0.014213691639284947,1.0954451150103321,2.489979919597747,1.0954451150103324,2.3021728866442674,0.019102028584395917,0.019102028584395914,0.019561519910898786,0.01956151991089878,0.008411261204620204,0.010317363131482645,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9786096256684492, 0.989247311827957, 0.989247311827957, 1.0, 0.9623655913978495]","[56, 54, 54, 56, 54]","[4, 0, 0, 0, 5]","[0, 2, 2, 0, 2]","[127, 130, 130, 130, 125]","[0.9694656488549618, 1.0, 1.0, 1.0, 0.9615384615384616]","[0.030534351145038167, 0.0, 0.0, 0.0, 0.038461538461538464]","[0.0, 0.03571428571428571, 0.03571428571428571, 0.0, 0.03571428571428571]","[1.0, 0.9642857142857143, 0.9642857142857143, 1.0, 0.9642857142857143]","[1.0, 0.9848484848484849, 0.9848484848484849, 1.0, 0.984251968503937]","[0.9844961240310077, 0.9923664122137404, 0.9923664122137404, 1.0, 0.9727626459143969]","[[[56, 0], [4, 127]], [[54, 2], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [0, 130]], [[54, 2], [5, 125]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
