,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9444140145774698,0.9312805474095797,54.0,10.8,2.0,119.4,0.917110980622431,0.08288901937756901,0.03571428571428571,0.9642857142857142,0.9832983559149888,0.9476037781634712,0.9409395973154362,0.9193548387096774,54.0,13.0,2.0,117.0,0.9,0.1,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9397590361445783,0.007866608360547988,0.059264468712316797,0.7071067811865476,10.80277742064512,0.7071067811865476,10.691117808723277,0.08298621339025372,0.08298621339025374,0.012626906806902633,0.012626906806902628,0.006942611234455059,0.04635874567659928,"[0.9422043010752689, 0.9409395973154362, 0.9409395973154362, 0.9395973154362416, 0.9583892617449664]","[0.9090909090909091, 0.989247311827957, 0.989247311827957, 0.9193548387096774, 0.8494623655913979]","[55, 54, 54, 54, 53]","[16, 0, 0, 13, 25]","[1, 2, 2, 2, 3]","[115, 130, 130, 117, 105]","[0.8778625954198473, 1.0, 1.0, 0.9, 0.8076923076923077]","[0.12213740458015267, 0.0, 0.0, 0.1, 0.19230769230769232]","[0.017857142857142856, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.05357142857142857]","[0.9821428571428571, 0.9642857142857143, 0.9642857142857143, 0.9642857142857143, 0.9464285714285714]","[0.9913793103448276, 0.9848484848484849, 0.9848484848484849, 0.9831932773109243, 0.9722222222222222]","[0.9311740890688259, 0.9923664122137404, 0.9923664122137404, 0.9397590361445783, 0.8823529411764707]","[[[55, 1], [16, 115]], [[54, 2], [0, 130]], [[54, 2], [0, 130]], [[54, 2], [13, 117]], [[53, 3], [25, 105]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,0.9975838926174496,0.9602783048703353,53.8,5.2,2.2,125.0,0.9601291837933059,0.03987081620669407,0.039285714285714285,0.9607142857142857,0.9829302386722778,0.9710156966211905,0.9986577181208054,0.9623655913978495,53.0,3.0,3.0,127.0,0.9769230769230769,0.023076923076923078,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9731800766283524,0.0027508592660294325,0.02751659422630994,2.0493901531919194,4.969909455915671,2.0493901531919194,4.69041575982343,0.038042252065823866,0.038042252065823866,0.036596252735569997,0.03659625273556998,0.01600653258185187,0.02041860808021542,"[1.0, 1.0, 0.9946308724832215, 0.9946308724832215, 0.9986577181208054]","[0.9411764705882353, 0.9623655913978495, 0.9838709677419355, 0.989247311827957, 0.9247311827956989]","[56, 52, 53, 56, 52]","[11, 3, 0, 2, 10]","[0, 4, 3, 0, 4]","[120, 127, 130, 128, 120]","[0.916030534351145, 0.9769230769230769, 1.0, 0.9846153846153847, 0.9230769230769231]","[0.08396946564885496, 0.023076923076923078, 0.0, 0.015384615384615385, 0.07692307692307693]","[0.0, 0.07142857142857142, 0.05357142857142857, 0.0, 0.07142857142857142]","[1.0, 0.9285714285714286, 0.9464285714285714, 1.0, 0.9285714285714286]","[1.0, 0.9694656488549618, 0.9774436090225563, 1.0, 0.967741935483871]","[0.9561752988047809, 0.9731800766283524, 0.988593155893536, 0.9922480620155039, 0.9448818897637796]","[[[56, 0], [11, 120]], [[52, 4], [3, 127]], [[53, 3], [0, 130]], [[56, 0], [2, 128]], [[52, 4], [10, 120]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9567644511799089,0.9355471220746363,45.6,1.6,10.4,128.6,0.987715795654727,0.012284204345273048,0.18571428571428572,0.8142857142857143,0.9252876679120028,0.9553972222354103,0.9570469798657718,0.9354838709677419,44.0,0.0,12.0,130.0,1.0,0.0,0.21428571428571427,0.7857142857142857,0.9154929577464789,0.9558823529411764,0.007458882423718883,0.021187232632742716,2.3021728866442674,2.6076809620810595,2.3021728866442674,2.6076809620810595,0.02005464897955642,0.02005464897955644,0.04111023011864763,0.041110230118647645,0.015989689206164108,0.014868810894891175,"[0.9475806451612904, 0.9530201342281879, 0.9583892617449664, 0.9570469798657718, 0.9677852348993289]","[0.9411764705882353, 0.9354838709677419, 0.9354838709677419, 0.9623655913978495, 0.9032258064516129]","[47, 44, 44, 49, 44]","[2, 0, 0, 0, 6]","[9, 12, 12, 7, 12]","[129, 130, 130, 130, 124]","[0.9847328244274809, 1.0, 1.0, 1.0, 0.9538461538461539]","[0.015267175572519083, 0.0, 0.0, 0.0, 0.046153846153846156]","[0.16071428571428573, 0.21428571428571427, 0.21428571428571427, 0.125, 0.21428571428571427]","[0.8392857142857143, 0.7857142857142857, 0.7857142857142857, 0.875, 0.7857142857142857]","[0.9347826086956522, 0.9154929577464789, 0.9154929577464789, 0.948905109489051, 0.9117647058823529]","[0.9591078066914499, 0.9558823529411764, 0.9558823529411764, 0.9737827715355805, 0.9323308270676691]","[[[47, 9], [2, 129]], [[44, 12], [0, 130]], [[44, 12], [0, 130]], [[49, 7], [0, 130]], [[44, 12], [6, 124]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9801291765894493,0.9463515611523201,51.6,5.6,4.4,124.6,0.9571579565472697,0.042842043452730474,0.07857142857142857,0.9214285714285714,0.9671931541129928,0.9607011157798567,0.9798657718120806,0.956989247311828,53.0,2.0,3.0,128.0,0.9846153846153847,0.015384615384615385,0.05357142857142857,0.9464285714285714,0.9770992366412213,0.9701492537313433,0.003340244638194854,0.03723580320784087,3.507135583350036,8.414273587185052,3.5071355833500366,7.987490219086343,0.06422290375230157,0.06422290375230155,0.06262742113125065,0.06262742113125067,0.025911016742774587,0.028946552823901843,"[0.9811827956989247, 0.9771812080536912, 0.9771812080536912, 0.9798657718120806, 0.9852348993288591]","[0.893048128342246, 0.9838709677419355, 0.956989247311828, 0.9731182795698925, 0.9247311827956989]","[56, 53, 48, 53, 48]","[20, 0, 0, 2, 6]","[0, 3, 8, 3, 8]","[111, 130, 130, 128, 124]","[0.8473282442748091, 1.0, 1.0, 0.9846153846153847, 0.9538461538461539]","[0.15267175572519084, 0.0, 0.0, 0.015384615384615385, 0.046153846153846156]","[0.0, 0.05357142857142857, 0.14285714285714285, 0.05357142857142857, 0.14285714285714285]","[1.0, 0.9464285714285714, 0.8571428571428571, 0.9464285714285714, 0.8571428571428571]","[1.0, 0.9774436090225563, 0.9420289855072463, 0.9770992366412213, 0.9393939393939394]","[0.9173553719008264, 0.988593155893536, 0.9701492537313433, 0.9808429118773947, 0.9465648854961831]","[[[56, 0], [20, 111]], [[53, 3], [0, 130]], [[48, 8], [0, 130]], [[53, 3], [2, 128]], [[48, 8], [6, 124]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.8786498763728365,46.2,12.8,9.8,117.4,0.9018320610687024,0.09816793893129772,0.175,0.825,0.9251024147796102,0.9116980537308951,1.0,0.8817204301075269,44.0,9.0,12.0,121.0,0.9307692307692308,0.06923076923076923,0.21428571428571427,0.7857142857142857,0.9111111111111111,0.9166666666666667,0.0,0.028945770393383616,4.919349550499538,7.496665925596525,4.919349550499538,7.092249290598857,0.05707006065961999,0.05707006065962001,0.08784552768749174,0.08784552768749174,0.03596159431776692,0.02337381655852106,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8556149732620321, 0.8978494623655914, 0.9139784946236559, 0.8817204301075269, 0.8440860215053764]","[54, 44, 48, 43, 42]","[25, 7, 8, 9, 15]","[2, 12, 8, 13, 14]","[106, 123, 122, 121, 115]","[0.8091603053435115, 0.9461538461538461, 0.9384615384615385, 0.9307692307692308, 0.8846153846153846]","[0.19083969465648856, 0.05384615384615385, 0.06153846153846154, 0.06923076923076923, 0.11538461538461539]","[0.03571428571428571, 0.21428571428571427, 0.14285714285714285, 0.23214285714285715, 0.25]","[0.9642857142857143, 0.7857142857142857, 0.8571428571428571, 0.7678571428571429, 0.75]","[0.9814814814814815, 0.9111111111111111, 0.9384615384615385, 0.9029850746268657, 0.8914728682170543]","[0.8870292887029289, 0.9283018867924527, 0.9384615384615385, 0.9166666666666667, 0.888030888030888]","[[[54, 2], [25, 106]], [[44, 12], [7, 123]], [[48, 8], [8, 122]], [[43, 13], [9, 121]], [[42, 14], [15, 115]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.963486861020068,52.0,2.8,4.0,127.4,0.978543746330006,0.02145625366999413,0.07142857142857142,0.9285714285714286,0.9701556944048348,0.9739973558316983,1.0,0.9572192513368984,51.0,2.0,5.0,128.0,0.9846153846153847,0.015384615384615385,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9701492537313433,0.0,0.01489421750322379,3.0,3.1144823004794877,3.0,2.792848008753788,0.023819286752762323,0.02381928675276233,0.05357142857142857,0.05357142857142857,0.021693030187469098,0.010681721633770255,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9572192513368984, 0.9731182795698925, 0.956989247311828, 0.9838709677419355, 0.946236559139785]","[55, 51, 48, 55, 51]","[7, 0, 0, 2, 5]","[1, 5, 8, 1, 5]","[124, 130, 130, 128, 125]","[0.9465648854961832, 1.0, 1.0, 0.9846153846153847, 0.9615384615384616]","[0.05343511450381679, 0.0, 0.0, 0.015384615384615385, 0.038461538461538464]","[0.017857142857142856, 0.08928571428571429, 0.14285714285714285, 0.017857142857142856, 0.08928571428571429]","[0.9821428571428571, 0.9107142857142857, 0.8571428571428571, 0.9821428571428571, 0.9107142857142857]","[0.992, 0.9629629629629629, 0.9420289855072463, 0.9922480620155039, 0.9615384615384616]","[0.96875, 0.9811320754716981, 0.9701492537313433, 0.9884169884169884, 0.9615384615384616]","[[[55, 1], [7, 124]], [[51, 5], [0, 130]], [[48, 8], [0, 130]], [[55, 1], [2, 128]], [[51, 5], [5, 125]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,1.0,0.9677821861882583,53.8,3.8,2.2,126.4,0.9708396946564886,0.02916030534351145,0.039285714285714285,0.9607142857142857,0.9829671838629654,0.9767165857133536,1.0,0.9625668449197861,55.0,2.0,1.0,128.0,0.9846153846153847,0.015384615384615385,0.017857142857142856,0.9821428571428571,0.9920634920634921,0.973384030418251,0.0,0.025773704396625945,2.16794833886788,3.63318042491699,2.16794833886788,3.507135583350036,0.027894600733717766,0.027894600733717766,0.03871336319406929,0.03871336319406927,0.016643192289043058,0.01879806557959845,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9625668449197861, 0.9623655913978495, 0.9946236559139785, 0.989247311827957, 0.9301075268817204]","[55, 51, 55, 56, 52]","[6, 2, 0, 2, 9]","[1, 5, 1, 0, 4]","[125, 128, 130, 128, 121]","[0.9541984732824428, 0.9846153846153847, 1.0, 0.9846153846153847, 0.9307692307692308]","[0.04580152671755725, 0.015384615384615385, 0.0, 0.015384615384615385, 0.06923076923076923]","[0.017857142857142856, 0.08928571428571429, 0.017857142857142856, 0.0, 0.07142857142857142]","[0.9821428571428571, 0.9107142857142857, 0.9821428571428571, 1.0, 0.9285714285714286]","[0.9920634920634921, 0.9624060150375939, 0.9923664122137404, 1.0, 0.968]","[0.9727626459143969, 0.973384030418251, 0.9961685823754789, 0.9922480620155039, 0.9490196078431372]","[[[55, 1], [6, 125]], [[51, 5], [2, 128]], [[55, 1], [0, 130]], [[56, 0], [2, 128]], [[52, 4], [9, 121]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9570409982174688,51.6,3.6,4.4,126.6,0.9723899001761598,0.027610099823840283,0.07857142857142857,0.9214285714285714,0.9669287646978143,0.9694204000470018,1.0,0.9623655913978495,52.0,3.0,4.0,127.0,0.9769230769230769,0.023076923076923078,0.07142857142857142,0.9285714285714286,0.9701492537313433,0.9735849056603774,0.0,0.029922820083720457,3.847076812334269,3.286335345030997,3.847076812334269,3.049590136395381,0.025173635320404744,0.025173635320404737,0.0686978002202548,0.0686978002202548,0.028735979742422976,0.02116933498343907,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9518716577540107, 0.9623655913978495, 0.978494623655914, 0.9838709677419355, 0.9086021505376344]","[54, 50, 52, 56, 46]","[7, 1, 0, 3, 7]","[2, 6, 4, 0, 10]","[124, 129, 130, 127, 123]","[0.9465648854961832, 0.9923076923076923, 1.0, 0.9769230769230769, 0.9461538461538461]","[0.05343511450381679, 0.007692307692307693, 0.0, 0.023076923076923078, 0.05384615384615385]","[0.03571428571428571, 0.10714285714285714, 0.07142857142857142, 0.0, 0.17857142857142858]","[0.9642857142857143, 0.8928571428571429, 0.9285714285714286, 1.0, 0.8214285714285714]","[0.9841269841269841, 0.9555555555555556, 0.9701492537313433, 1.0, 0.924812030075188]","[0.9649805447470817, 0.9735849056603774, 0.9848484848484849, 0.9883268482490272, 0.935361216730038]","[[[54, 2], [7, 124]], [[50, 6], [1, 129]], [[52, 4], [0, 130]], [[56, 0], [3, 127]], [[46, 10], [7, 123]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9677764360876315,52.2,2.2,3.8,128.0,0.9831238990017617,0.016876100998238403,0.06785714285714287,0.9321428571428572,0.971701683102953,0.9771650608163766,1.0,0.9679144385026738,52.0,2.0,4.0,128.0,0.9846153846153847,0.015384615384615385,0.07142857142857142,0.9285714285714286,0.9701492537313433,0.9772727272727273,0.0,0.013169525650003093,3.03315017762062,1.7888543819998317,3.03315017762062,1.5811388300841898,0.013701607803745493,0.013701607803745474,0.054163396028939645,0.054163396028939666,0.022248389881512936,0.00906804566126798,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9679144385026738, 0.967741935483871, 0.978494623655914, 0.978494623655914, 0.946236559139785]","[54, 51, 52, 56, 48]","[4, 1, 0, 4, 2]","[2, 5, 4, 0, 8]","[127, 129, 130, 126, 128]","[0.9694656488549618, 0.9923076923076923, 1.0, 0.9692307692307692, 0.9846153846153847]","[0.030534351145038167, 0.007692307692307693, 0.0, 0.03076923076923077, 0.015384615384615385]","[0.03571428571428571, 0.08928571428571429, 0.07142857142857142, 0.0, 0.14285714285714285]","[0.9642857142857143, 0.9107142857142857, 0.9285714285714286, 1.0, 0.8571428571428571]","[0.9844961240310077, 0.9626865671641791, 0.9701492537313433, 1.0, 0.9411764705882353]","[0.9769230769230769, 0.9772727272727273, 0.9848484848484849, 0.9843749999999999, 0.962406015037594]","[[[54, 2], [4, 127]], [[51, 5], [1, 129]], [[52, 4], [0, 130]], [[56, 0], [4, 126]], [[48, 8], [2, 128]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.9634868610200679,53.6,4.4,2.4,125.8,0.9662477980035232,0.033752201996476806,0.04285714285714286,0.9571428571428571,0.9815183119088043,0.9735222150197889,1.0,0.9623655913978495,53.0,2.0,3.0,128.0,0.9846153846153847,0.015384615384615385,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.973384030418251,0.0,0.025601051755793462,2.302172886644268,4.33589667773576,2.302172886644268,4.147288270665544,0.03325606428051058,0.03325606428051059,0.04111023011864764,0.04111023011864764,0.017711699749787025,0.018863066058344553,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9572192513368984, 0.9623655913978495, 0.9838709677419355, 0.989247311827957, 0.9247311827956989]","[56, 51, 53, 56, 52]","[8, 2, 0, 2, 10]","[0, 5, 3, 0, 4]","[123, 128, 130, 128, 120]","[0.9389312977099237, 0.9846153846153847, 1.0, 0.9846153846153847, 0.9230769230769231]","[0.061068702290076333, 0.015384615384615385, 0.0, 0.015384615384615385, 0.07692307692307693]","[0.0, 0.08928571428571429, 0.05357142857142857, 0.0, 0.07142857142857142]","[1.0, 0.9107142857142857, 0.9464285714285714, 1.0, 0.9285714285714286]","[1.0, 0.9624060150375939, 0.9774436090225563, 1.0, 0.967741935483871]","[0.9685039370078741, 0.973384030418251, 0.988593155893536, 0.9922480620155039, 0.9448818897637796]","[[[56, 0], [8, 123]], [[51, 5], [2, 128]], [[53, 3], [0, 130]], [[56, 0], [2, 128]], [[52, 4], [10, 120]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
