,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9374301796925743,0.9323098154217699,52.6,9.2,3.4,121.0,0.9292894891368174,0.07071051086318263,0.06071428571428571,0.9392857142857143,0.9731451676162903,0.9499189315081686,0.9302013422818792,0.946236559139785,52.0,5.0,4.0,125.0,0.9615384615384616,0.038461538461538464,0.07142857142857142,0.9285714285714286,0.9692307692307692,0.962121212121212,0.012160036844620711,0.03581916137707708,2.5099800796022267,6.942621983083913,2.5099800796022262,7.106335201775948,0.05344933121841978,0.05344933121841977,0.04482107285003976,0.044821072850039737,0.018812214652554244,0.02798922810913074,"[0.9274193548387096, 0.9463087248322147, 0.9302013422818792, 0.9288590604026845, 0.9543624161073826]","[0.9518716577540107, 0.946236559139785, 0.967741935483871, 0.9193548387096774, 0.8763440860215054]","[52, 49, 55, 55, 52]","[5, 3, 5, 14, 19]","[4, 7, 1, 1, 4]","[126, 127, 125, 116, 111]","[0.9618320610687023, 0.9769230769230769, 0.9615384615384616, 0.8923076923076924, 0.8538461538461538]","[0.03816793893129771, 0.023076923076923078, 0.038461538461538464, 0.1076923076923077, 0.14615384615384616]","[0.07142857142857142, 0.125, 0.017857142857142856, 0.017857142857142856, 0.07142857142857142]","[0.9285714285714286, 0.875, 0.9821428571428571, 0.9821428571428571, 0.9285714285714286]","[0.9692307692307692, 0.9477611940298507, 0.9920634920634921, 0.9914529914529915, 0.9652173913043478]","[0.9655172413793103, 0.962121212121212, 0.9765625, 0.9392712550607288, 0.9061224489795918]","[[[52, 4], [5, 126]], [[49, 7], [3, 127]], [[55, 1], [5, 125]], [[55, 1], [14, 116]], [[52, 4], [19, 111]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,0.9828133795193764,0.9591800356506239,51.0,2.6,5.0,127.6,0.9800234879624193,0.01997651203758074,0.08928571428571427,0.9107142857142858,0.9625709626625435,0.9710990112097132,0.9838926174496644,0.9625668449197861,51.0,2.0,5.0,129.0,0.9847328244274809,0.015267175572519083,0.08928571428571429,0.9107142857142857,0.9626865671641791,0.9735849056603774,0.0022146669552711128,0.0256781702954934,3.082207001484488,2.701851217221259,3.082207001484488,2.792848008753788,0.020790056183059694,0.02079005618305968,0.05503941074079443,0.05503941074079444,0.022894968933284177,0.018241944170486843,"[0.9798387096774194, 0.9838926174496644, 0.9852348993288591, 0.9812080536912752, 0.9838926174496644]","[0.9625668449197861, 0.9516129032258065, 0.9838709677419355, 0.978494623655914, 0.9193548387096774]","[51, 48, 53, 55, 48]","[2, 1, 0, 3, 7]","[5, 8, 3, 1, 8]","[129, 129, 130, 127, 123]","[0.9847328244274809, 0.9923076923076923, 1.0, 0.9769230769230769, 0.9461538461538461]","[0.015267175572519083, 0.007692307692307693, 0.0, 0.023076923076923078, 0.05384615384615385]","[0.08928571428571429, 0.14285714285714285, 0.05357142857142857, 0.017857142857142856, 0.14285714285714285]","[0.9107142857142857, 0.8571428571428571, 0.9464285714285714, 0.9821428571428571, 0.8571428571428571]","[0.9626865671641791, 0.9416058394160584, 0.9774436090225563, 0.9921875, 0.9389312977099237]","[0.9735849056603774, 0.9662921348314606, 0.988593155893536, 0.9844961240310077, 0.9425287356321839]","[[[51, 5], [2, 129]], [[48, 8], [1, 129]], [[53, 3], [0, 130]], [[55, 1], [3, 127]], [[48, 8], [7, 123]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9691188568954319,0.9602495543672014,50.6,2.0,5.4,128.2,0.9846271285965942,0.015372871403405755,0.09642857142857142,0.9035714285714287,0.959712683529448,0.9719531889167825,0.967741935483871,0.9679144385026738,51.0,1.0,5.0,129.0,0.9923076923076923,0.007692307692307693,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9774436090225563,0.0045551314333633006,0.029113122046507085,3.049590136395381,2.8284271247461903,3.0495901363953815,2.949576240750525,0.02176233710939741,0.021762337109397394,0.054456966721346096,0.054456966721346096,0.022676631778451663,0.02063681921617219,"[0.967741935483871, 0.974496644295302, 0.963758389261745, 0.9664429530201343, 0.9731543624161074]","[0.9679144385026738, 0.9516129032258065, 0.9838709677419355, 0.9838709677419355, 0.9139784946236559]","[51, 48, 53, 54, 47]","[1, 1, 0, 1, 7]","[5, 8, 3, 2, 9]","[130, 129, 130, 129, 123]","[0.9923664122137404, 0.9923076923076923, 1.0, 0.9923076923076923, 0.9461538461538461]","[0.007633587786259542, 0.007692307692307693, 0.0, 0.007692307692307693, 0.05384615384615385]","[0.08928571428571429, 0.14285714285714285, 0.05357142857142857, 0.03571428571428571, 0.16071428571428573]","[0.9107142857142857, 0.8571428571428571, 0.9464285714285714, 0.9642857142857143, 0.8392857142857143]","[0.9629629629629629, 0.9416058394160584, 0.9774436090225563, 0.9847328244274809, 0.9318181818181818]","[0.9774436090225563, 0.9662921348314606, 0.988593155893536, 0.9885057471264368, 0.9389312977099236]","[[[51, 5], [1, 130]], [[48, 8], [1, 129]], [[53, 3], [0, 130]], [[54, 2], [1, 129]], [[47, 9], [7, 123]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9736844194270045,0.9581047668334195,49.6,1.4,6.4,128.8,0.9892425132119789,0.01075748678802114,0.11428571428571428,0.8857142857142858,0.952985538713093,0.9706763046519432,0.9744623655913979,0.9625668449197861,50.0,1.0,6.0,130.0,0.9923664122137404,0.007633587786259542,0.10714285714285714,0.8928571428571429,0.9558823529411765,0.9737827715355806,0.004091751884324516,0.02062390644662373,3.0495901363953815,1.6733200530681511,3.0495901363953815,1.7888543819998317,0.012875228203618425,0.012875228203618432,0.054456966721346096,0.054456966721346096,0.02161086886129945,0.014324812958575002,"[0.9744623655913979, 0.978523489932886, 0.9718120805369127, 0.9677852348993289, 0.9758389261744966]","[0.9625668449197861, 0.946236559139785, 0.9838709677419355, 0.967741935483871, 0.9301075268817204]","[50, 46, 53, 52, 47]","[1, 0, 0, 2, 4]","[6, 10, 3, 4, 9]","[130, 130, 130, 128, 126]","[0.9923664122137404, 1.0, 1.0, 0.9846153846153847, 0.9692307692307692]","[0.007633587786259542, 0.0, 0.0, 0.015384615384615385, 0.03076923076923077]","[0.10714285714285714, 0.17857142857142858, 0.05357142857142857, 0.07142857142857142, 0.16071428571428573]","[0.8928571428571429, 0.8214285714285714, 0.9464285714285714, 0.9285714285714286, 0.8392857142857143]","[0.9558823529411765, 0.9285714285714286, 0.9774436090225563, 0.9696969696969697, 0.9333333333333333]","[0.9737827715355806, 0.962962962962963, 0.988593155893536, 0.9770992366412214, 0.9509433962264151]","[[[50, 6], [1, 130]], [[46, 10], [0, 130]], [[53, 3], [0, 130]], [[52, 4], [2, 128]], [[47, 9], [4, 126]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.9161750330630787,49.8,9.4,6.2,120.8,0.9277627715795654,0.07223722842043453,0.11071428571428572,0.8892857142857142,0.9517178998433355,0.9388132831049049,1.0,0.9247311827956989,50.0,6.0,6.0,125.0,0.9541984732824428,0.04580152671755725,0.10714285714285714,0.8928571428571429,0.9504132231404959,0.946969696969697,0.0,0.03377394059884252,2.949576240750525,6.6558245169174945,2.949576240750525,6.797058187186571,0.051243866512118506,0.05124386651211852,0.05267100429911653,0.05267100429911652,0.021021887697612682,0.02627035365970573,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9572192513368984, 0.9354838709677419, 0.9247311827956989, 0.8763440860215054, 0.8870967741935484]","[54, 47, 47, 51, 50]","[6, 3, 5, 18, 15]","[2, 9, 9, 5, 6]","[125, 127, 125, 112, 115]","[0.9541984732824428, 0.9769230769230769, 0.9615384615384616, 0.8615384615384616, 0.8846153846153846]","[0.04580152671755725, 0.023076923076923078, 0.038461538461538464, 0.13846153846153847, 0.11538461538461539]","[0.03571428571428571, 0.16071428571428573, 0.16071428571428573, 0.08928571428571429, 0.10714285714285714]","[0.9642857142857143, 0.8392857142857143, 0.8392857142857143, 0.9107142857142857, 0.8928571428571429]","[0.984251968503937, 0.9338235294117647, 0.9328358208955224, 0.9572649572649573, 0.9504132231404959]","[0.9689922480620156, 0.9548872180451128, 0.946969696969697, 0.9068825910931174, 0.9163346613545816]","[[[54, 2], [6, 125]], [[47, 9], [3, 127]], [[47, 9], [5, 125]], [[51, 5], [18, 112]], [[50, 6], [15, 115]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.9645506296360186,50.8,1.4,5.2,128.8,0.9892425132119789,0.01075748678802114,0.09285714285714285,0.9071428571428571,0.9615631373829026,0.9750915100716953,1.0,0.9679144385026738,51.0,1.0,5.0,130.0,0.9923664122137404,0.007633587786259542,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9774436090225563,0.0,0.024229263700722446,3.3466401061363023,2.073644135332772,3.3466401061363023,2.16794833886788,0.015953961819715982,0.015953961819715996,0.05976143046671968,0.05976143046671967,0.024306067967105455,0.01701905326803212,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9679144385026738, 0.9516129032258065, 0.9838709677419355, 0.989247311827957, 0.9301075268817204]","[51, 47, 53, 55, 48]","[1, 0, 0, 1, 5]","[5, 9, 3, 1, 8]","[130, 130, 130, 129, 125]","[0.9923664122137404, 1.0, 1.0, 0.9923076923076923, 0.9615384615384616]","[0.007633587786259542, 0.0, 0.0, 0.007692307692307693, 0.038461538461538464]","[0.08928571428571429, 0.16071428571428573, 0.05357142857142857, 0.017857142857142856, 0.14285714285714285]","[0.9107142857142857, 0.8392857142857143, 0.9464285714285714, 0.9821428571428571, 0.8571428571428571]","[0.9629629629629629, 0.935251798561151, 0.9774436090225563, 0.9923076923076923, 0.9398496240601504]","[0.9774436090225563, 0.966542750929368, 0.988593155893536, 0.9923076923076923, 0.9505703422053231]","[[[51, 5], [1, 130]], [[47, 9], [0, 130]], [[53, 3], [0, 130]], [[55, 1], [1, 129]], [[48, 8], [5, 125]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,0.997582088475139,0.9645621298372722,53.4,4.0,2.6,126.2,0.9693247210804463,0.03067527891955373,0.04642857142857143,0.9535714285714286,0.9800531157439053,0.9744361651333324,0.9986577181208054,0.967741935483871,53.0,2.0,3.0,128.0,0.9846153846153847,0.015384615384615385,0.05357142857142857,0.9464285714285714,0.9774436090225563,0.9770992366412214,0.002585682887515367,0.0256550326543926,2.6076809620810595,3.7416573867739413,2.6076809620810595,3.492849839314596,0.028656926496999333,0.02865692649699932,0.04656573146573321,0.04656573146573319,0.02021719000531146,0.018598668629840005,"[0.9932795698924731, 0.9986577181208054, 0.9973154362416108, 0.9986577181208054, 1.0]","[0.9572192513368984, 0.967741935483871, 0.9838709677419355, 0.989247311827957, 0.9247311827956989]","[56, 52, 53, 56, 50]","[8, 2, 0, 2, 8]","[0, 4, 3, 0, 6]","[123, 128, 130, 128, 122]","[0.9389312977099237, 0.9846153846153847, 1.0, 0.9846153846153847, 0.9384615384615385]","[0.061068702290076333, 0.015384615384615385, 0.0, 0.015384615384615385, 0.06153846153846154]","[0.0, 0.07142857142857142, 0.05357142857142857, 0.0, 0.10714285714285714]","[1.0, 0.9285714285714286, 0.9464285714285714, 1.0, 0.8928571428571429]","[1.0, 0.9696969696969697, 0.9774436090225563, 1.0, 0.953125]","[0.9685039370078741, 0.9770992366412214, 0.988593155893536, 0.9922480620155039, 0.9457364341085271]","[[[56, 0], [8, 123]], [[52, 4], [2, 128]], [[53, 3], [0, 130]], [[56, 0], [2, 128]], [[50, 6], [8, 122]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.9710022425392445,52.0,1.4,4.0,128.8,0.9892660011743981,0.010733998825601878,0.07142857142857142,0.9285714285714286,0.9702071806249897,0.9795527990093653,1.0,0.9679144385026738,53.0,1.0,3.0,129.0,0.9923076923076923,0.007692307692307693,0.05357142857142857,0.9464285714285714,0.9770992366412213,0.9770992366412213,0.0,0.021023210493920187,3.082207001484488,1.5165750888103102,3.082207001484488,1.3038404810405297,0.011619673885333743,0.011619673885333724,0.05503941074079443,0.05503941074079443,0.02258437729269127,0.014759623297783063,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9679144385026738, 0.9516129032258065, 0.9838709677419355, 1.0, 0.9516129032258065]","[53, 48, 53, 56, 50]","[3, 1, 0, 0, 3]","[3, 8, 3, 0, 6]","[128, 129, 130, 130, 127]","[0.9770992366412213, 0.9923076923076923, 1.0, 1.0, 0.9769230769230769]","[0.022900763358778626, 0.007692307692307693, 0.0, 0.0, 0.023076923076923078]","[0.05357142857142857, 0.14285714285714285, 0.05357142857142857, 0.0, 0.10714285714285714]","[0.9464285714285714, 0.8571428571428571, 0.9464285714285714, 1.0, 0.8928571428571429]","[0.9770992366412213, 0.9416058394160584, 0.9774436090225563, 1.0, 0.9548872180451128]","[0.9770992366412213, 0.9662921348314606, 0.988593155893536, 1.0, 0.9657794676806083]","[[[53, 3], [3, 128]], [[48, 8], [1, 129]], [[53, 3], [0, 130]], [[56, 0], [0, 130]], [[50, 6], [3, 127]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.9688574550054625,52.0,1.8,4.0,128.4,0.986189078097475,0.013810921902524956,0.07142857142857142,0.9285714285714285,0.9703027307508607,0.9780236704457691,1.0,0.9625668449197861,52.0,0.0,4.0,130.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.9696969696969697,0.9733840304182511,0.0,0.030733611439269618,4.06201920231798,2.6832815729997477,4.06201920231798,2.6076809620810595,0.020621073312387602,0.02062107331238762,0.07253605718424964,0.07253605718424964,0.02981725881460601,0.021759375335990126,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9625668449197861, 0.9516129032258065, 1.0, 1.0, 0.9301075268817204]","[52, 47, 56, 56, 49]","[3, 0, 0, 0, 6]","[4, 9, 0, 0, 7]","[128, 130, 130, 130, 124]","[0.9770992366412213, 1.0, 1.0, 1.0, 0.9538461538461539]","[0.022900763358778626, 0.0, 0.0, 0.0, 0.046153846153846156]","[0.07142857142857142, 0.16071428571428573, 0.0, 0.0, 0.125]","[0.9285714285714286, 0.8392857142857143, 1.0, 1.0, 0.875]","[0.9696969696969697, 0.935251798561151, 1.0, 1.0, 0.9465648854961832]","[0.9733840304182511, 0.966542750929368, 1.0, 1.0, 0.9501915708812262]","[[[52, 4], [3, 128]], [[47, 9], [0, 130]], [[56, 0], [0, 130]], [[56, 0], [0, 130]], [[49, 7], [6, 124]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,0.9959720718770295,0.9688517049048357,52.2,2.0,3.8,128.2,0.9846271285965942,0.015372871403405755,0.06785714285714287,0.9321428571428572,0.9715913734756036,0.9778897197099724,0.9973154362416108,0.9679144385026738,51.0,1.0,5.0,130.0,0.9923664122137404,0.007633587786259542,0.08928571428571429,0.9107142857142857,0.9629629629629629,0.9774436090225563,0.004745683712496179,0.019157444236831078,2.7748873851023217,2.5495097567963922,2.7748873851023217,2.6832815729997477,0.019617388205705417,0.01961738820570544,0.049551560448255746,0.04955156044825575,0.020488177188740915,0.013694295825578396,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9879194630872483, 1.0]","[0.9679144385026738, 0.9623655913978495, 0.989247311827957, 0.9838709677419355, 0.9408602150537635]","[51, 49, 54, 56, 51]","[1, 0, 0, 3, 6]","[5, 7, 2, 0, 5]","[130, 130, 130, 127, 124]","[0.9923664122137404, 1.0, 1.0, 0.9769230769230769, 0.9538461538461539]","[0.007633587786259542, 0.0, 0.0, 0.023076923076923078, 0.046153846153846156]","[0.08928571428571429, 0.125, 0.03571428571428571, 0.0, 0.08928571428571429]","[0.9107142857142857, 0.875, 0.9642857142857143, 1.0, 0.9107142857142857]","[0.9629629629629629, 0.948905109489051, 0.9848484848484849, 1.0, 0.9612403100775194]","[0.9774436090225563, 0.9737827715355805, 0.9923664122137404, 0.9883268482490272, 0.9575289575289576]","[[[51, 5], [1, 130]], [[49, 7], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [3, 127]], [[51, 5], [6, 124]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
