,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,avg_tn,avg_fn,avg_fp,avg_tp,avg_TPR,avg_FNR,avg_FPR,avg_TNR,avg_precision,avg_F1,med_train_accuracy,med_test_accuracy,med_tn,med_fn,med_fp,med_tp,med_TPR,med_FNR,med_FPR,med_TNR,med_precision,med_F1,std_train_accuracy,std_test_accuracy,std_tn,std_fn,std_fp,std_tp,std_TPR,std_FNR,std_FPR,std_TNR,std_precision,std_F1,all_train_accuracy,all_test_accuracy,all_tn,all_fn,all_fp,all_tp,all_TPR,all_FNR,all_FPR,all_TNR,all_precision,all_F1,Confusion Matrix,estimator
0,AutoDataset,class2,100,GaussianNB,931,0.9232034350869597,0.8862515094014146,44.2,9.4,11.8,120.8,0.9277745155607751,0.0722254844392249,0.21071428571428572,0.7892857142857143,0.9180100926182344,0.9200067846201563,0.9275167785234899,0.9032258064516129,49.0,7.0,7.0,124.0,0.9465648854961832,0.05343511450381679,0.125,0.875,0.9444444444444444,0.9296874999999999,0.010818406224887857,0.07034560632520728,12.537942414925983,8.414273587185052,12.537942414925984,8.497058314499201,0.06475474586783667,0.06475474586783664,0.223891828837964,0.223891828837964,0.07711923099057705,0.04668946159161968,"[0.9327956989247311, 0.9302013422818792, 0.9194630872483222, 0.9060402684563759, 0.9275167785234899]","[0.786096256684492, 0.9032258064516129, 0.978494623655914, 0.9032258064516129, 0.8602150537634409]","[23, 43, 53, 49, 53]","[7, 5, 1, 11, 23]","[33, 13, 3, 7, 3]","[124, 125, 129, 119, 107]","[0.9465648854961832, 0.9615384615384616, 0.9923076923076923, 0.9153846153846154, 0.823076923076923]","[0.05343511450381679, 0.038461538461538464, 0.007692307692307693, 0.08461538461538462, 0.17692307692307693]","[0.5892857142857143, 0.23214285714285715, 0.05357142857142857, 0.125, 0.05357142857142857]","[0.4107142857142857, 0.7678571428571429, 0.9464285714285714, 0.875, 0.9464285714285714]","[0.7898089171974523, 0.9057971014492754, 0.9772727272727273, 0.9444444444444444, 0.9727272727272728]","[0.8611111111111112, 0.9328358208955224, 0.9847328244274809, 0.9296874999999999, 0.8916666666666666]","[[[23, 33], [7, 124]], [[43, 13], [5, 125]], [[53, 3], [1, 129]], [[49, 7], [11, 119]], [[53, 3], [23, 107]]]",GaussianNB()
1,AutoDataset,class2,100,MLPClassifier,931,1.0,0.953907193375884,54.0,6.6,2.0,123.6,0.9495243687610101,0.050475631238990015,0.03571428571428571,0.9642857142857142,0.9848747895622896,0.9650664703857942,1.0,0.9731182795698925,54.0,3.0,2.0,127.0,0.9769230769230769,0.023076923076923078,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9811320754716981,0.0,0.050493952155159845,2.1213203435596424,10.502380682492898,2.1213203435596424,10.064790112068906,0.08014467641589784,0.08014467641589784,0.037880720420707906,0.03788072042070791,0.015864795745567643,0.040427064320664625,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8663101604278075, 0.9731182795698925, 0.989247311827957, 0.9838709677419355, 0.956989247311828]","[56, 51, 54, 56, 53]","[25, 0, 0, 3, 5]","[0, 5, 2, 0, 3]","[106, 130, 130, 127, 125]","[0.8091603053435115, 1.0, 1.0, 0.9769230769230769, 0.9615384615384616]","[0.19083969465648856, 0.0, 0.0, 0.023076923076923078, 0.038461538461538464]","[0.0, 0.08928571428571429, 0.03571428571428571, 0.0, 0.05357142857142857]","[1.0, 0.9107142857142857, 0.9642857142857143, 1.0, 0.9464285714285714]","[1.0, 0.9629629629629629, 0.9848484848484849, 1.0, 0.9765625]","[0.8945147679324894, 0.9811320754716981, 0.9923664122137404, 0.9883268482490272, 0.9689922480620154]","[[[56, 0], [25, 106]], [[51, 5], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [3, 127]], [[53, 3], [5, 125]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class2,100,LogisticRegression,931,0.9605307786678214,0.91626128457248,48.2,7.8,7.8,122.4,0.9402348796241926,0.059765120375807404,0.1392857142857143,0.8607142857142858,0.9424240809459551,0.9398688713358447,0.9624161073825503,0.9032258064516129,52.0,6.0,4.0,124.0,0.9538461538461539,0.046153846153846156,0.07142857142857142,0.9285714285714286,0.9694656488549618,0.9343065693430657,0.012386755638314342,0.03852552722816261,6.220932405998316,7.224956747275376,6.220932405998316,6.8044103344816,0.055081093537354055,0.055081093537354034,0.11108807867854135,0.11108807867854134,0.042504681829223664,0.028615309108733566,"[0.9771505376344086, 0.9664429530201343, 0.9476510067114094, 0.9489932885906041, 0.9624161073825503]","[0.8770053475935828, 0.9032258064516129, 0.9623655913978495, 0.9516129032258065, 0.8870967741935484]","[53, 40, 52, 53, 43]","[20, 2, 3, 6, 8]","[3, 16, 4, 3, 13]","[111, 128, 127, 124, 122]","[0.8473282442748091, 0.9846153846153847, 0.9769230769230769, 0.9538461538461539, 0.9384615384615385]","[0.15267175572519084, 0.015384615384615385, 0.023076923076923078, 0.046153846153846156, 0.06153846153846154]","[0.05357142857142857, 0.2857142857142857, 0.07142857142857142, 0.05357142857142857, 0.23214285714285715]","[0.9464285714285714, 0.7142857142857143, 0.9285714285714286, 0.9464285714285714, 0.7678571428571429]","[0.9736842105263158, 0.8888888888888888, 0.9694656488549618, 0.9763779527559056, 0.9037037037037037]","[0.9061224489795918, 0.9343065693430657, 0.9731800766283524, 0.9649805447470817, 0.920754716981132]","[[[53, 3], [20, 111]], [[40, 16], [2, 128]], [[52, 4], [3, 127]], [[53, 3], [6, 124]], [[43, 13], [8, 122]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class2,100,KNeighborsClassifier,931,0.9476358519159993,0.8582715197515958,53.2,23.6,2.8,106.6,0.8188843217850852,0.18111567821491487,0.05,0.95,0.9760404416097114,0.8846095556248402,0.9476510067114094,0.8440860215053764,54.0,26.0,2.0,104.0,0.8,0.2,0.03571428571428571,0.9642857142857143,0.9767441860465116,0.8776371308016878,0.007543733402953377,0.090664889641974,2.5884358211089573,18.40652058374966,2.588435821108957,18.24280680158621,0.14123531231611672,0.14123531231611672,0.046222068234088524,0.046222068234088524,0.0192266825154199,0.08043703773788342,"[0.9435483870967742, 0.9476510067114094, 0.9476510067114094, 0.9395973154362416, 0.959731543624161]","[0.8074866310160428, 0.9408602150537635, 0.956989247311828, 0.8440860215053764, 0.7419354838709677]","[56, 49, 54, 53, 54]","[36, 4, 6, 26, 46]","[0, 7, 2, 3, 2]","[95, 126, 124, 104, 84]","[0.7251908396946565, 0.9692307692307692, 0.9538461538461539, 0.8, 0.6461538461538462]","[0.2748091603053435, 0.03076923076923077, 0.046153846153846156, 0.2, 0.35384615384615387]","[0.0, 0.125, 0.03571428571428571, 0.05357142857142857, 0.03571428571428571]","[1.0, 0.875, 0.9642857142857143, 0.9464285714285714, 0.9642857142857143]","[1.0, 0.9473684210526315, 0.9841269841269841, 0.9719626168224299, 0.9767441860465116]","[0.8407079646017699, 0.9581749049429658, 0.96875, 0.8776371308016878, 0.7777777777777778]","[[[56, 0], [36, 95]], [[49, 7], [4, 126]], [[54, 2], [6, 124]], [[53, 3], [26, 104]], [[54, 2], [46, 84]]]",KNeighborsClassifier()
4,AutoDataset,class2,100,ExtraTreeClassifier,931,1.0,0.7057328503248808,30.4,29.2,25.6,101.0,0.7757251908396947,0.22427480916030534,0.45714285714285713,0.5428571428571429,0.8005228758169934,0.7866435898907573,1.0,0.6989247311827957,30.0,29.0,26.0,102.0,0.7786259541984732,0.22137404580152673,0.4642857142857143,0.5357142857142857,0.803030303030303,0.7894736842105262,0.0,0.026354179709485965,7.127411872482185,4.816637831516918,7.127411872482185,4.847679857416329,0.03707655497599836,0.03707655497599835,0.12727521200861047,0.12727521200861042,0.041481516807776245,0.016145092091135484,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6684491978609626, 0.6989247311827957, 0.7311827956989247, 0.7311827956989247, 0.6989247311827957]","[23, 25, 30, 41, 33]","[29, 25, 24, 35, 33]","[33, 31, 26, 15, 23]","[102, 105, 106, 95, 97]","[0.7786259541984732, 0.8076923076923077, 0.8153846153846154, 0.7307692307692307, 0.7461538461538462]","[0.22137404580152673, 0.19230769230769232, 0.18461538461538463, 0.2692307692307692, 0.25384615384615383]","[0.5892857142857143, 0.5535714285714286, 0.4642857142857143, 0.26785714285714285, 0.4107142857142857]","[0.4107142857142857, 0.44642857142857145, 0.5357142857142857, 0.7321428571428571, 0.5892857142857143]","[0.7555555555555555, 0.7720588235294118, 0.803030303030303, 0.8636363636363636, 0.8083333333333333]","[0.7669172932330827, 0.7894736842105262, 0.8091603053435115, 0.7916666666666666, 0.776]","[[[23, 33], [29, 102]], [[25, 31], [25, 105]], [[30, 26], [24, 106]], [[41, 15], [35, 95]], [[33, 23], [33, 97]]]",ExtraTreeClassifier()
5,AutoDataset,class2,100,RandomForestClassifier,931,1.0,0.8518946581565178,29.8,1.4,26.2,128.8,0.9892307692307692,0.01076923076923077,0.4678571428571428,0.5321428571428573,0.8363204675339594,0.9049324227102712,1.0,0.8494623655913979,34.0,0.0,22.0,130.0,1.0,0.0,0.39285714285714285,0.6071428571428571,0.8493150684931506,0.8985507246376813,0.0,0.07498217093499092,14.184498581197715,2.6076809620810595,14.184498581197715,2.7748873851023217,0.020059084323700436,0.02005908432370046,0.25329461752138777,0.25329461752138777,0.07056506950332105,0.04302361882261356,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7379679144385026, 0.8333333333333334, 0.9139784946236559, 0.9247311827956989, 0.8494623655913979]","[7, 26, 40, 42, 34]","[0, 1, 0, 0, 6]","[49, 30, 16, 14, 22]","[131, 129, 130, 130, 124]","[1.0, 0.9923076923076923, 1.0, 1.0, 0.9538461538461539]","[0.0, 0.007692307692307693, 0.0, 0.0, 0.046153846153846156]","[0.875, 0.5357142857142857, 0.2857142857142857, 0.25, 0.39285714285714285]","[0.125, 0.4642857142857143, 0.7142857142857143, 0.75, 0.6071428571428571]","[0.7277777777777777, 0.8113207547169812, 0.8904109589041096, 0.9027777777777778, 0.8493150684931506]","[0.8424437299035369, 0.8927335640138409, 0.9420289855072463, 0.9489051094890512, 0.8985507246376813]","[[[7, 49], [0, 131]], [[26, 30], [1, 129]], [[40, 16], [0, 130]], [[42, 14], [0, 130]], [[34, 22], [6, 124]]]",RandomForestClassifier()
6,AutoDataset,class2,100,LinearSVC,931,0.9997315436241611,0.9485308492898625,53.6,7.2,2.4,123.0,0.9448854961832062,0.05511450381679389,0.04285714285714286,0.9571428571428571,0.9809781105928806,0.9615036353397528,1.0,0.9731182795698925,54.0,4.0,2.0,126.0,0.9692307692307692,0.03076923076923077,0.03571428571428571,0.9642857142857143,0.9818181818181818,0.9808429118773947,0.0006002867053690601,0.04891414361096492,1.8165902124584952,9.038805230781335,1.816590212458495,8.602325267042627,0.06893919035592642,0.06893919035592642,0.03243911093675884,0.032439110936758844,0.013975534914423238,0.03839930173662365,"[1.0, 1.0, 0.9986577181208054, 1.0, 1.0]","[0.8663101604278075, 0.9408602150537635, 0.9838709677419355, 0.978494623655914, 0.9731182795698925]","[54, 51, 54, 56, 53]","[23, 6, 1, 4, 2]","[2, 5, 2, 0, 3]","[108, 124, 129, 126, 128]","[0.8244274809160306, 0.9538461538461539, 0.9923076923076923, 0.9692307692307692, 0.9846153846153847]","[0.17557251908396945, 0.046153846153846156, 0.007692307692307693, 0.03076923076923077, 0.015384615384615385]","[0.03571428571428571, 0.08928571428571429, 0.03571428571428571, 0.0, 0.05357142857142857]","[0.9642857142857143, 0.9107142857142857, 0.9642857142857143, 1.0, 0.9464285714285714]","[0.9818181818181818, 0.9612403100775194, 0.9847328244274809, 1.0, 0.9770992366412213]","[0.896265560165975, 0.9575289575289576, 0.9885057471264368, 0.9843749999999999, 0.9808429118773947]","[[[54, 2], [23, 108]], [[51, 5], [6, 124]], [[54, 2], [1, 129]], [[56, 0], [4, 126]], [[53, 3], [2, 128]]]",LinearSVC()
7,AutoDataset,class2,100,AdaBoostClassifier,931,1.0,0.8991317348053591,45.8,8.6,10.2,121.6,0.9340458015267176,0.06595419847328245,0.18214285714285713,0.8178571428571428,0.9229147049940483,0.9283584592142246,1.0,0.9032258064516129,45.0,6.0,11.0,124.0,0.9538461538461539,0.046153846153846156,0.19642857142857142,0.8035714285714286,0.9147286821705426,0.9323308270676691,0.0,0.06201509717254872,6.058052492344383,5.89915248150105,6.058052492344384,5.549774770204643,0.04502355066459027,0.04502355066459024,0.108179508791864,0.108179508791864,0.045207028533642876,0.043948348799532,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8074866310160428, 0.9032258064516129, 0.967741935483871, 0.9408602150537635, 0.8763440860215054]","[37, 44, 52, 51, 45]","[17, 6, 2, 6, 12]","[19, 12, 4, 5, 11]","[114, 124, 128, 124, 118]","[0.8702290076335878, 0.9538461538461539, 0.9846153846153847, 0.9538461538461539, 0.9076923076923077]","[0.1297709923664122, 0.046153846153846156, 0.015384615384615385, 0.046153846153846156, 0.09230769230769231]","[0.3392857142857143, 0.21428571428571427, 0.07142857142857142, 0.08928571428571429, 0.19642857142857142]","[0.6607142857142857, 0.7857142857142857, 0.9285714285714286, 0.9107142857142857, 0.8035714285714286]","[0.8571428571428571, 0.9117647058823529, 0.9696969696969697, 0.9612403100775194, 0.9147286821705426]","[0.8636363636363635, 0.9323308270676691, 0.9770992366412214, 0.9575289575289576, 0.9111969111969112]","[[[37, 19], [17, 114]], [[44, 12], [6, 124]], [[52, 4], [2, 128]], [[51, 5], [6, 124]], [[45, 11], [12, 118]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class2,100,GradientBoostingClassifier,931,1.0,0.8647173825541946,40.2,9.4,15.8,120.8,0.9278684674104521,0.07213153258954785,0.28214285714285714,0.7178571428571429,0.8856244797294494,0.9055271240282823,1.0,0.8602150537634409,37.0,7.0,19.0,123.0,0.9461538461538461,0.05384615384615385,0.3392857142857143,0.6607142857142857,0.8538461538461538,0.9078014184397163,0.0,0.06218687172897673,7.362064927722384,7.3006848993775915,7.362064927722384,7.12039324756716,0.05599134101366243,0.05599134101366242,0.13146544513789973,0.1314654451378997,0.04950466814007471,0.04412635934126142,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8128342245989305, 0.8602150537634409, 0.9354838709677419, 0.9193548387096774, 0.7956989247311828]","[36, 32, 48, 48, 37]","[15, 2, 4, 7, 19]","[20, 24, 8, 8, 19]","[116, 128, 126, 123, 111]","[0.8854961832061069, 0.9846153846153847, 0.9692307692307692, 0.9461538461538461, 0.8538461538461538]","[0.11450381679389313, 0.015384615384615385, 0.03076923076923077, 0.05384615384615385, 0.14615384615384616]","[0.35714285714285715, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.3392857142857143]","[0.6428571428571429, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 0.6607142857142857]","[0.8529411764705882, 0.8421052631578947, 0.9402985074626866, 0.9389312977099237, 0.8538461538461538]","[0.8689138576779026, 0.9078014184397163, 0.9545454545454547, 0.9425287356321839, 0.8538461538461538]","[[[36, 20], [15, 116]], [[32, 24], [2, 128]], [[48, 8], [4, 126]], [[48, 8], [7, 123]], [[37, 19], [19, 111]]]",GradientBoostingClassifier()
9,AutoDataset,class2,100,VotingClassifier,931,1.0,0.953907193375884,53.0,5.6,3.0,124.6,0.9572049324721081,0.04279506752789196,0.05357142857142857,0.9464285714285714,0.9775880521583196,0.9654795253151512,1.0,0.9731182795698925,54.0,2.0,2.0,128.0,0.9846153846153847,0.015384615384615385,0.03571428571428571,0.9642857142857143,0.9848484848484849,0.9808429118773947,0.0,0.05134544216813666,3.5355339059327378,10.33440854621105,3.5355339059327378,9.889388252060893,0.0788681833061132,0.07886818330611321,0.06313453403451318,0.06313453403451316,0.025102787769022274,0.04058360222419904,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8663101604278075, 0.9516129032258065, 0.989247311827957, 0.989247311827957, 0.9731182795698925]","[55, 47, 54, 56, 53]","[24, 0, 0, 2, 2]","[1, 9, 2, 0, 3]","[107, 130, 130, 128, 128]","[0.816793893129771, 1.0, 1.0, 0.9846153846153847, 0.9846153846153847]","[0.183206106870229, 0.0, 0.0, 0.015384615384615385, 0.015384615384615385]","[0.017857142857142856, 0.16071428571428573, 0.03571428571428571, 0.0, 0.05357142857142857]","[0.9821428571428571, 0.8392857142857143, 0.9642857142857143, 1.0, 0.9464285714285714]","[0.9907407407407407, 0.935251798561151, 0.9848484848484849, 1.0, 0.9770992366412213]","[0.8953974895397491, 0.966542750929368, 0.9923664122137404, 0.9922480620155039, 0.9808429118773947]","[[[55, 1], [24, 107]], [[47, 9], [0, 130]], [[54, 2], [0, 130]], [[56, 0], [2, 128]], [[53, 3], [2, 128]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
