,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.5867409973298694,0.5468403197055948,0.5852348993288591,0.5376344086021505,0.015082691783652836,0.07214717902170592,"[0.6102150537634409, 0.5758389261744966, 0.5718120805369128, 0.5906040268456376, 0.5852348993288591]","[0.4385026737967914, 0.6075268817204301, 0.6182795698924731, 0.532258064516129, 0.5376344086021505]","[[[58, 5, 5, 0, 0], [8, 0, 1, 25, 0], [7, 3, 6, 10, 3], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[59, 3, 5, 0, 0], [26, 0, 7, 0, 0], [18, 0, 12, 0, 0], [0, 0, 0, 18, 0], [0, 0, 2, 12, 24]], [[59, 0, 8, 0, 0], [22, 1, 10, 0, 0], [12, 1, 16, 0, 1], [0, 0, 1, 9, 8], [0, 0, 3, 5, 30]], [[57, 4, 6, 0, 0], [18, 0, 12, 1, 2], [8, 0, 15, 0, 7], [0, 0, 3, 0, 15], [0, 0, 11, 0, 27]], [[55, 4, 9, 0, 0], [22, 1, 10, 0, 0], [9, 2, 16, 0, 2], [1, 0, 3, 1, 13], [1, 1, 9, 0, 27]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.8200851555170672,0.6145420044850785,0.8172043010752689,0.6290322580645161,0.014746142713492444,0.09645851859237287,"[0.8172043010752689, 0.8308724832214766, 0.810738255033557, 0.8026845637583893, 0.8389261744966443]","[0.47593582887700536, 0.6290322580645161, 0.6935483870967742, 0.7096774193548387, 0.5645161290322581]","[[[57, 8, 3, 0, 0], [19, 4, 3, 8, 0], [4, 4, 11, 10, 0], [0, 0, 0, 17, 1], [0, 0, 0, 38, 0]], [[57, 8, 2, 0, 0], [18, 7, 8, 0, 0], [6, 11, 13, 0, 0], [0, 0, 1, 6, 11], [0, 0, 0, 4, 34]], [[52, 6, 9, 0, 0], [15, 11, 7, 0, 0], [3, 3, 24, 0, 0], [0, 0, 0, 6, 12], [0, 0, 0, 2, 36]], [[62, 4, 1, 0, 0], [19, 6, 7, 1, 0], [3, 2, 24, 1, 0], [0, 1, 1, 5, 11], [0, 0, 2, 1, 35]], [[62, 5, 1, 0, 0], [23, 5, 5, 0, 0], [14, 7, 8, 0, 0], [0, 0, 3, 5, 10], [0, 1, 1, 11, 25]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.5784130764234683,0.5414122247139325,0.5771812080536913,0.5483870967741935,0.007813956583653714,0.03319945971784549,"[0.5887096774193549, 0.5718120805369128, 0.5704697986577181, 0.5771812080536913, 0.5838926174496645]","[0.48663101604278075, 0.5698924731182796, 0.5645161290322581, 0.5483870967741935, 0.5376344086021505]","[[[68, 0, 0, 0, 0], [9, 0, 0, 25, 0], [14, 2, 0, 10, 3], [0, 0, 0, 13, 5], [0, 0, 0, 28, 10]], [[66, 1, 0, 0, 0], [29, 3, 1, 0, 0], [25, 3, 0, 0, 2], [0, 0, 0, 0, 18], [1, 0, 0, 0, 37]], [[66, 1, 0, 0, 0], [31, 1, 1, 0, 0], [20, 5, 1, 0, 4], [0, 0, 0, 0, 18], [1, 0, 0, 0, 37]], [[64, 3, 0, 0, 0], [27, 3, 0, 0, 3], [13, 8, 3, 0, 6], [1, 0, 0, 0, 17], [5, 1, 0, 0, 32]], [[63, 5, 0, 0, 0], [29, 2, 0, 0, 2], [17, 9, 2, 0, 1], [2, 0, 0, 0, 16], [4, 0, 1, 0, 33]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7346965432633327,0.5339543442010235,0.7395973154362416,0.5591397849462365,0.012180245736972945,0.06510590316590018,"[0.7446236559139785, 0.7302013422818792, 0.7395973154362416, 0.7154362416107383, 0.7436241610738255]","[0.42245989304812837, 0.5591397849462365, 0.5806451612903226, 0.5752688172043011, 0.532258064516129]","[[[57, 11, 0, 0, 0], [7, 2, 2, 23, 0], [6, 8, 3, 12, 0], [0, 0, 0, 17, 1], [0, 0, 0, 38, 0]], [[55, 9, 3, 0, 0], [25, 4, 4, 0, 0], [16, 8, 6, 0, 0], [0, 0, 0, 5, 13], [0, 0, 0, 4, 34]], [[55, 9, 3, 0, 0], [21, 7, 5, 0, 0], [11, 8, 10, 1, 0], [0, 0, 1, 1, 16], [0, 0, 1, 2, 35]], [[56, 8, 3, 0, 0], [17, 3, 11, 0, 2], [6, 4, 16, 2, 2], [0, 3, 1, 2, 12], [1, 1, 5, 1, 30]], [[57, 9, 2, 0, 0], [18, 10, 5, 0, 0], [17, 6, 5, 0, 1], [1, 0, 2, 2, 13], [4, 0, 3, 6, 25]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9975828101320632,0.48882180438157663,0.9973154362416108,0.5268817204301075,0.0017513680235443137,0.05800349131211674,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.39572192513368987, 0.5268817204301075, 0.5268817204301075, 0.5268817204301075, 0.46774193548387094]","[[[45, 14, 9, 0, 0], [7, 5, 2, 17, 3], [5, 6, 3, 11, 4], [0, 1, 2, 11, 4], [0, 1, 0, 27, 10]], [[47, 13, 6, 1, 0], [18, 7, 6, 2, 0], [7, 8, 11, 0, 4], [0, 2, 2, 9, 5], [2, 2, 3, 7, 24]], [[43, 13, 6, 1, 4], [19, 8, 4, 0, 2], [6, 5, 12, 1, 6], [0, 0, 3, 1, 14], [0, 1, 0, 3, 34]], [[52, 7, 7, 1, 0], [12, 9, 9, 2, 1], [8, 5, 11, 1, 5], [0, 4, 3, 3, 8], [2, 1, 6, 6, 23]], [[41, 12, 15, 0, 0], [14, 12, 7, 0, 0], [5, 6, 14, 1, 3], [0, 0, 4, 3, 11], [2, 4, 2, 13, 17]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9975828101320632,0.5983842217238802,0.9973154362416108,0.6182795698924731,0.0017513680235443137,0.05409141848200893,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.5026737967914439, 0.6129032258064516, 0.6344086021505376, 0.6236559139784946, 0.6182795698924731]","[[[65, 2, 1, 0, 0], [11, 3, 1, 19, 0], [6, 3, 8, 11, 1], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[60, 4, 3, 0, 0], [22, 6, 5, 0, 0], [12, 8, 10, 0, 0], [0, 0, 0, 2, 16], [0, 0, 1, 1, 36]], [[59, 4, 4, 0, 0], [18, 4, 11, 0, 0], [7, 5, 17, 0, 1], [0, 0, 0, 1, 17], [0, 0, 1, 0, 37]], [[63, 1, 3, 0, 0], [19, 3, 9, 0, 2], [4, 5, 18, 0, 3], [0, 2, 1, 0, 15], [0, 0, 6, 0, 32]], [[60, 6, 2, 0, 0], [19, 5, 9, 0, 0], [7, 4, 18, 0, 0], [0, 0, 3, 0, 15], [2, 0, 3, 1, 32]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8455957277910082,0.6015870277729861,0.8416107382550335,0.5913978494623656,0.016389191323001463,0.07405382235051546,"[0.8440860215053764, 0.8738255033557047, 0.8335570469798658, 0.8348993288590604, 0.8416107382550335]","[0.5240641711229946, 0.5913978494623656, 0.6666666666666666, 0.6881720430107527, 0.5376344086021505]","[[[60, 4, 4, 0, 0], [12, 5, 2, 15, 0], [5, 5, 10, 9, 0], [0, 0, 0, 17, 1], [0, 1, 0, 31, 6]], [[50, 12, 5, 0, 0], [24, 6, 3, 0, 0], [9, 8, 12, 1, 0], [0, 0, 2, 9, 7], [0, 0, 0, 5, 33]], [[55, 5, 7, 0, 0], [15, 9, 9, 0, 0], [4, 5, 21, 0, 0], [0, 1, 1, 4, 12], [0, 0, 0, 3, 35]], [[63, 2, 2, 0, 0], [18, 5, 9, 0, 1], [3, 2, 24, 1, 0], [0, 1, 2, 3, 12], [0, 0, 1, 4, 33]], [[57, 8, 3, 0, 0], [18, 6, 7, 0, 2], [14, 6, 8, 1, 0], [0, 0, 3, 2, 13], [0, 0, 2, 9, 27]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.5569221332178682,0.5124259674544305,0.5449664429530201,0.5053763440860215,0.04690816551803325,0.05215089021877392,"[0.5349462365591398, 0.5677852348993289, 0.5060402684563758, 0.5449664429530201, 0.6308724832214765]","[0.44385026737967914, 0.5053763440860215, 0.4946236559139785, 0.532258064516129, 0.5860215053763441]","[[[62, 2, 4, 0, 0], [9, 0, 6, 5, 14], [10, 3, 3, 8, 5], [0, 0, 0, 17, 1], [0, 0, 0, 37, 1]], [[60, 6, 1, 0, 0], [17, 11, 5, 0, 0], [11, 8, 11, 0, 0], [0, 0, 3, 9, 6], [0, 0, 4, 31, 3]], [[67, 0, 0, 0, 0], [32, 0, 0, 0, 1], [25, 0, 0, 0, 5], [1, 0, 0, 10, 7], [0, 0, 0, 23, 15]], [[53, 12, 2, 0, 0], [12, 12, 8, 0, 1], [1, 9, 18, 1, 1], [0, 0, 7, 10, 1], [0, 3, 7, 22, 6]], [[63, 2, 3, 0, 0], [21, 2, 10, 0, 0], [12, 4, 13, 0, 0], [1, 2, 1, 2, 12], [0, 1, 7, 1, 29]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9975828101320632,0.6070151227646484,0.9973154362416108,0.6021505376344086,0.0017513680235443137,0.08846602788111,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.47593582887700536, 0.6021505376344086, 0.6989247311827957, 0.6774193548387096, 0.5806451612903226]","[[[60, 7, 1, 0, 0], [13, 1, 2, 18, 0], [3, 5, 10, 10, 1], [0, 1, 0, 17, 0], [0, 0, 0, 37, 1]], [[55, 10, 2, 0, 0], [20, 7, 6, 0, 0], [7, 8, 15, 0, 0], [0, 1, 1, 4, 12], [0, 0, 3, 4, 31]], [[55, 7, 5, 0, 0], [11, 17, 5, 0, 0], [0, 9, 20, 0, 1], [0, 1, 0, 1, 16], [0, 0, 0, 1, 37]], [[63, 2, 2, 0, 0], [15, 8, 8, 1, 1], [3, 2, 23, 2, 0], [0, 2, 2, 0, 14], [0, 1, 5, 0, 32]], [[59, 6, 3, 0, 0], [15, 6, 12, 0, 0], [6, 9, 14, 0, 0], [0, 1, 2, 0, 15], [1, 1, 4, 3, 29]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.8786238002453632,0.6145247541831982,0.8738255033557047,0.6075268817204301,0.013187918569629767,0.0918487563350837,"[0.8736559139784946, 0.9020134228187919, 0.8738255033557047, 0.8697986577181208, 0.8738255033557047]","[0.4919786096256685, 0.6075268817204301, 0.7096774193548387, 0.6989247311827957, 0.5645161290322581]","[[[59, 6, 3, 0, 0], [14, 4, 2, 14, 0], [4, 3, 11, 11, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[53, 11, 3, 0, 0], [21, 6, 6, 0, 0], [6, 10, 14, 0, 0], [0, 0, 1, 5, 12], [0, 0, 0, 3, 35]], [[57, 4, 6, 0, 0], [16, 10, 7, 0, 0], [4, 3, 23, 0, 0], [0, 0, 1, 6, 11], [0, 0, 0, 2, 36]], [[63, 2, 2, 0, 0], [21, 4, 8, 0, 0], [3, 2, 25, 0, 0], [0, 1, 1, 2, 14], [0, 0, 2, 0, 36]], [[61, 5, 2, 0, 0], [21, 5, 7, 0, 0], [14, 5, 10, 0, 0], [0, 0, 4, 2, 12], [0, 1, 3, 7, 27]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
