,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6608548026268312,0.6070381231671553,0.6590604026845638,0.6505376344086021,0.014144389397896818,0.0900284764172432,"[0.6841397849462365, 0.661744966442953, 0.6483221476510067, 0.6510067114093959, 0.6590604026845638]","[0.45454545454545453, 0.6720430107526881, 0.6505376344086021, 0.6612903225806451, 0.5967741935483871]","[[[51, 12, 5, 0, 0], [5, 2, 8, 19, 0], [2, 3, 14, 10, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[50, 11, 6, 0, 0], [20, 10, 3, 0, 0], [10, 6, 14, 0, 0], [0, 0, 0, 18, 0], [0, 0, 1, 4, 33]], [[49, 1, 17, 0, 0], [15, 2, 16, 0, 0], [5, 0, 24, 0, 1], [0, 0, 0, 8, 10], [0, 0, 0, 0, 38]], [[61, 3, 3, 0, 0], [19, 2, 11, 0, 1], [1, 3, 26, 0, 0], [0, 2, 5, 0, 11], [0, 1, 3, 0, 34]], [[56, 8, 4, 0, 0], [20, 5, 8, 0, 0], [11, 4, 14, 0, 0], [0, 0, 2, 0, 16], [0, 0, 2, 0, 36]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.9081633831276612,0.6059053533436835,0.9073825503355705,0.6397849462365591,0.007916435679282224,0.07168362606183966,"[0.9086021505376344, 0.8993288590604027, 0.9046979865771813, 0.9073825503355705, 0.9208053691275168]","[0.5080213903743316, 0.6397849462365591, 0.6505376344086021, 0.6774193548387096, 0.553763440860215]","[[[53, 14, 1, 0, 0], [7, 10, 11, 5, 1], [5, 5, 15, 4, 0], [0, 0, 0, 17, 1], [0, 1, 0, 37, 0]], [[45, 18, 4, 0, 0], [15, 12, 6, 0, 0], [4, 10, 15, 1, 0], [0, 1, 1, 11, 5], [0, 0, 0, 2, 36]], [[57, 4, 5, 0, 1], [12, 5, 15, 0, 1], [2, 6, 21, 1, 0], [0, 0, 1, 3, 14], [0, 0, 0, 3, 35]], [[64, 1, 2, 0, 0], [17, 5, 11, 0, 0], [5, 3, 21, 0, 1], [0, 1, 2, 2, 13], [0, 0, 2, 2, 34]], [[51, 16, 1, 0, 0], [20, 10, 3, 0, 0], [9, 9, 10, 1, 0], [0, 0, 1, 4, 13], [0, 0, 1, 9, 28]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.6863596016453777,0.5994422402392041,0.687248322147651,0.6075268817204301,0.013846706294062632,0.053935328559569395,"[0.6895161290322581, 0.687248322147651, 0.6738255033557047, 0.6738255033557047, 0.7073825503355705]","[0.5187165775401069, 0.6075268817204301, 0.6612903225806451, 0.6290322580645161, 0.5806451612903226]","[[[65, 2, 1, 0, 0], [20, 2, 4, 7, 1], [11, 2, 11, 5, 0], [0, 0, 0, 18, 0], [0, 0, 0, 37, 1]], [[63, 0, 4, 0, 0], [30, 1, 2, 0, 0], [18, 3, 9, 0, 0], [0, 1, 1, 3, 13], [0, 0, 1, 0, 37]], [[63, 1, 2, 0, 1], [26, 4, 3, 0, 0], [11, 1, 17, 0, 1], [0, 0, 0, 1, 17], [0, 0, 0, 0, 38]], [[66, 0, 1, 0, 0], [29, 0, 3, 0, 1], [10, 2, 16, 0, 2], [4, 1, 0, 0, 13], [2, 0, 1, 0, 35]], [[66, 2, 0, 0, 0], [30, 0, 3, 0, 0], [24, 0, 5, 0, 0], [0, 1, 0, 0, 17], [1, 0, 0, 0, 37]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7467799668037814,0.5747628083491461,0.7503355704697987,0.5645161290322581,0.012155228463328161,0.07584550181816747,"[0.7553763440860215, 0.7463087248322148, 0.7557046979865771, 0.7261744966442953, 0.7503355704697987]","[0.47058823529411764, 0.5645161290322581, 0.6182795698924731, 0.6720430107526881, 0.5483870967741935]","[[[57, 10, 1, 0, 0], [15, 6, 4, 9, 0], [6, 9, 7, 7, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[52, 13, 2, 0, 0], [22, 6, 5, 0, 0], [10, 7, 13, 0, 0], [0, 1, 1, 4, 12], [0, 0, 0, 8, 30]], [[54, 6, 7, 0, 0], [21, 8, 4, 0, 0], [10, 7, 12, 0, 1], [0, 0, 0, 5, 13], [0, 0, 0, 2, 36]], [[63, 2, 2, 0, 0], [23, 9, 1, 0, 0], [6, 4, 18, 0, 2], [1, 1, 4, 1, 11], [1, 0, 2, 1, 34]], [[55, 10, 3, 0, 0], [23, 8, 2, 0, 0], [17, 7, 5, 0, 0], [0, 0, 2, 0, 16], [0, 1, 0, 3, 34]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9975828101320632,0.4629981024667932,0.9973154362416108,0.46774193548387094,0.0017513680235443137,0.029754083075079176,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.4117647058823529, 0.46774193548387094, 0.4838709677419355, 0.46774193548387094, 0.4838709677419355]","[[[44, 16, 8, 0, 0], [4, 13, 7, 8, 2], [9, 6, 6, 7, 1], [0, 1, 4, 9, 4], [1, 2, 6, 24, 5]], [[42, 12, 11, 0, 2], [15, 9, 9, 0, 0], [11, 7, 9, 2, 1], [0, 1, 0, 4, 13], [0, 0, 1, 14, 23]], [[44, 10, 8, 1, 4], [15, 5, 12, 1, 0], [6, 11, 11, 1, 1], [0, 2, 1, 4, 11], [0, 1, 3, 8, 26]], [[48, 9, 10, 0, 0], [16, 8, 6, 2, 1], [9, 5, 12, 0, 4], [0, 4, 3, 0, 11], [4, 0, 4, 11, 19]], [[48, 12, 7, 1, 0], [13, 9, 6, 2, 3], [11, 8, 7, 2, 1], [1, 2, 1, 2, 12], [1, 4, 6, 3, 24]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9975828101320632,0.6080673911793456,0.9973154362416108,0.6236559139784946,0.0017513680235443137,0.06468894000016147,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.49732620320855614, 0.6129032258064516, 0.6451612903225806, 0.6612903225806451, 0.6236559139784946]","[[[61, 5, 2, 0, 0], [12, 2, 9, 11, 0], [7, 4, 12, 6, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[58, 5, 4, 0, 0], [25, 3, 5, 0, 0], [12, 6, 11, 0, 1], [0, 0, 0, 5, 13], [0, 0, 1, 0, 37]], [[57, 2, 8, 0, 0], [20, 3, 10, 0, 0], [8, 1, 21, 0, 0], [0, 0, 0, 1, 17], [0, 0, 0, 0, 38]], [[65, 1, 1, 0, 0], [24, 1, 8, 0, 0], [6, 1, 22, 0, 1], [2, 0, 2, 0, 14], [0, 0, 3, 0, 35]], [[61, 5, 2, 0, 0], [25, 6, 2, 0, 0], [15, 2, 12, 0, 0], [0, 0, 1, 0, 17], [0, 0, 1, 0, 37]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8557977917298116,0.569374964061871,0.8536912751677852,0.6182795698924731,0.011374628494993305,0.07457370933286375,"[0.8467741935483871, 0.8536912751677852, 0.8483221476510067, 0.8550335570469799, 0.8751677852348994]","[0.48128342245989303, 0.6236559139784946, 0.6182795698924731, 0.6290322580645161, 0.4946236559139785]","[[[52, 9, 5, 2, 0], [4, 4, 6, 18, 2], [6, 5, 13, 5, 0], [0, 0, 0, 16, 2], [0, 1, 1, 31, 5]], [[47, 14, 6, 0, 0], [16, 8, 9, 0, 0], [7, 7, 16, 0, 0], [0, 2, 0, 12, 4], [0, 0, 1, 4, 33]], [[56, 6, 4, 0, 1], [16, 6, 11, 0, 0], [2, 9, 18, 1, 0], [0, 2, 0, 5, 11], [0, 0, 0, 8, 30]], [[60, 3, 4, 0, 0], [14, 9, 10, 0, 0], [4, 6, 17, 2, 1], [2, 3, 2, 5, 6], [1, 3, 3, 5, 26]], [[52, 13, 3, 0, 0], [25, 5, 3, 0, 0], [10, 9, 7, 3, 0], [0, 0, 3, 2, 13], [0, 0, 3, 9, 26]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.6377473479108031,0.5360243804266575,0.6496644295302013,0.5268817204301075,0.02878487621853015,0.03502488080561734,"[0.6088709677419355, 0.6496644295302013, 0.6563758389261745, 0.6053691275167785, 0.6684563758389261]","[0.49732620320855614, 0.5268817204301075, 0.543010752688172, 0.5913978494623656, 0.521505376344086]","[[[43, 18, 7, 0, 0], [3, 9, 13, 9, 0], [6, 7, 12, 3, 1], [0, 0, 0, 8, 10], [0, 0, 0, 17, 21]], [[43, 10, 14, 0, 0], [21, 3, 9, 0, 0], [11, 6, 13, 0, 0], [0, 0, 1, 6, 11], [0, 0, 2, 3, 33]], [[49, 8, 10, 0, 0], [12, 8, 13, 0, 0], [5, 9, 15, 1, 0], [0, 0, 2, 9, 7], [0, 0, 0, 18, 20]], [[62, 3, 2, 0, 0], [20, 5, 8, 0, 0], [7, 4, 17, 0, 2], [0, 4, 5, 1, 8], [0, 4, 3, 6, 25]], [[48, 9, 11, 0, 0], [21, 3, 9, 0, 0], [11, 3, 15, 0, 0], [0, 0, 2, 7, 9], [0, 1, 5, 8, 24]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9975828101320632,0.6091139094934162,0.9973154362416108,0.6290322580645161,0.0017513680235443137,0.056615283157385364,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.5240641711229946, 0.6290322580645161, 0.6559139784946236, 0.6559139784946236, 0.5806451612903226]","[[[55, 11, 2, 0, 0], [8, 9, 9, 8, 0], [5, 5, 15, 4, 0], [0, 0, 0, 18, 0], [0, 0, 0, 37, 1]], [[51, 11, 5, 0, 0], [18, 12, 3, 0, 0], [8, 9, 13, 0, 0], [0, 0, 2, 7, 9], [0, 0, 1, 3, 34]], [[57, 3, 7, 0, 0], [15, 8, 10, 0, 0], [6, 2, 22, 0, 0], [0, 1, 0, 1, 16], [0, 0, 1, 3, 34]], [[64, 2, 1, 0, 0], [20, 4, 9, 0, 0], [6, 6, 18, 0, 0], [1, 2, 1, 0, 14], [0, 1, 1, 0, 36]], [[59, 8, 1, 0, 0], [23, 6, 4, 0, 0], [15, 6, 8, 0, 0], [0, 1, 1, 0, 16], [0, 1, 1, 1, 35]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.926960381034856,0.601587027772986,0.9248322147651007,0.6451612903225806,0.004305051322648891,0.07473376994225063,"[0.9274193548387096, 0.9248322147651007, 0.9248322147651007, 0.9234899328859061, 0.934228187919463]","[0.5240641711229946, 0.6451612903225806, 0.6612903225806451, 0.6612903225806451, 0.5161290322580645]","[[[60, 7, 1, 0, 0], [12, 5, 7, 9, 1], [8, 3, 15, 3, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[52, 10, 5, 0, 0], [19, 8, 6, 0, 0], [7, 8, 15, 0, 0], [0, 0, 1, 10, 7], [0, 0, 1, 2, 35]], [[58, 3, 5, 0, 1], [14, 5, 14, 0, 0], [4, 4, 22, 0, 0], [0, 2, 0, 2, 14], [0, 0, 0, 2, 36]], [[65, 0, 2, 0, 0], [18, 4, 11, 0, 0], [6, 3, 20, 0, 1], [1, 2, 2, 2, 11], [1, 1, 2, 2, 32]], [[54, 12, 2, 0, 0], [25, 5, 3, 0, 0], [15, 5, 8, 1, 0], [0, 0, 4, 0, 14], [0, 0, 3, 6, 29]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
