,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6463538283899835,0.5586510263929618,0.6442953020134228,0.5806451612903226,0.016472360036908763,0.07524183543506036,"[0.668010752688172, 0.6442953020134228, 0.6295302013422819, 0.6322147651006711, 0.6577181208053692]","[0.45454545454545453, 0.5913978494623656, 0.6505376344086021, 0.5806451612903226, 0.5161290322580645]","[[[50, 11, 7, 0, 0], [3, 5, 1, 25, 0], [2, 3, 12, 9, 3], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[50, 8, 7, 0, 2], [13, 2, 18, 0, 0], [9, 5, 15, 1, 0], [0, 0, 0, 14, 4], [0, 1, 1, 7, 29]], [[51, 4, 12, 0, 0], [17, 1, 15, 0, 0], [2, 1, 26, 0, 1], [0, 0, 2, 9, 7], [0, 1, 1, 2, 34]], [[60, 5, 2, 0, 0], [13, 2, 18, 0, 0], [8, 1, 21, 0, 0], [0, 0, 14, 0, 4], [0, 1, 12, 0, 25]], [[63, 4, 1, 0, 0], [22, 2, 9, 0, 0], [15, 0, 14, 0, 0], [0, 0, 8, 0, 10], [2, 3, 15, 1, 17]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.8904394890668975,0.6058996032430568,0.8912751677852349,0.6344086021505376,0.004733905507628903,0.0778298943594674,"[0.8870967741935484, 0.8912751677852349, 0.8966442953020134, 0.8845637583892617, 0.8926174496644296]","[0.5133689839572193, 0.6344086021505376, 0.6451612903225806, 0.6989247311827957, 0.5376344086021505]","[[[55, 10, 3, 0, 0], [16, 4, 3, 10, 1], [2, 7, 12, 7, 1], [0, 0, 0, 18, 0], [0, 0, 0, 31, 7]], [[45, 15, 4, 2, 1], [12, 10, 11, 0, 0], [4, 6, 19, 0, 1], [0, 1, 1, 10, 6], [0, 0, 0, 4, 34]], [[53, 10, 4, 0, 0], [10, 11, 11, 1, 0], [1, 5, 22, 2, 0], [0, 0, 0, 4, 14], [0, 1, 0, 7, 30]], [[63, 3, 1, 0, 0], [11, 9, 13, 0, 0], [3, 5, 21, 0, 1], [0, 1, 4, 5, 8], [0, 0, 2, 4, 32]], [[60, 5, 3, 0, 0], [23, 5, 5, 0, 0], [11, 7, 10, 0, 1], [0, 0, 3, 3, 12], [1, 0, 5, 10, 22]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.6525232734358086,0.5983439710194929,0.6510067114093959,0.6075268817204301,0.01633565871218981,0.048734386684680706,"[0.6491935483870968, 0.6523489932885906, 0.6510067114093959, 0.6322147651006711, 0.6778523489932886]","[0.5401069518716578, 0.6129032258064516, 0.6075268817204301, 0.6666666666666666, 0.5645161290322581]","[[[63, 3, 2, 0, 0], [19, 0, 4, 10, 1], [5, 2, 13, 4, 5], [0, 0, 0, 18, 0], [3, 0, 0, 28, 7]], [[58, 2, 3, 0, 4], [21, 2, 10, 0, 0], [13, 1, 15, 0, 1], [0, 0, 0, 1, 17], [0, 0, 0, 0, 38]], [[58, 3, 6, 0, 0], [21, 0, 11, 0, 1], [7, 4, 18, 0, 1], [1, 0, 0, 0, 17], [0, 1, 0, 0, 37]], [[67, 0, 0, 0, 0], [20, 3, 10, 0, 0], [11, 0, 19, 0, 0], [0, 1, 11, 0, 6], [0, 1, 2, 0, 35]], [[63, 1, 4, 0, 0], [23, 2, 7, 0, 1], [15, 4, 10, 0, 0], [0, 2, 5, 0, 11], [1, 1, 6, 0, 30]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7508053691275167,0.5489793571387499,0.75,0.5376344086021505,0.008787846782333637,0.0801648882237108,"[0.75, 0.748993288590604, 0.7543624161073825, 0.738255033557047, 0.7624161073825504]","[0.44919786096256686, 0.5376344086021505, 0.5967741935483871, 0.6559139784946236, 0.5053763440860215]","[[[51, 15, 2, 0, 0], [15, 5, 2, 10, 2], [5, 8, 7, 7, 2], [0, 0, 0, 18, 0], [0, 0, 0, 35, 3]], [[47, 15, 3, 1, 1], [22, 2, 9, 0, 0], [14, 6, 9, 0, 1], [0, 2, 1, 6, 9], [0, 0, 0, 2, 36]], [[48, 11, 8, 0, 0], [21, 5, 6, 0, 1], [5, 6, 18, 0, 1], [0, 0, 0, 5, 13], [1, 1, 0, 1, 35]], [[64, 3, 0, 0, 0], [17, 10, 6, 0, 0], [12, 3, 15, 0, 0], [0, 0, 5, 3, 10], [1, 1, 3, 3, 30]], [[60, 8, 0, 0, 0], [24, 3, 6, 0, 0], [15, 5, 9, 0, 0], [1, 2, 5, 0, 10], [2, 2, 5, 7, 22]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9991942700440211,0.4468173193030879,0.9986577181208054,0.44086021505376344,0.0007355278223537187,0.04871408334644171,"[0.9986559139784946, 1.0, 0.9986577181208054, 0.9986577181208054, 1.0]","[0.45989304812834225, 0.521505376344086, 0.41935483870967744, 0.44086021505376344, 0.3924731182795699]","[[[46, 16, 3, 2, 1], [8, 8, 6, 5, 7], [9, 7, 7, 3, 3], [0, 1, 1, 11, 5], [2, 1, 0, 21, 14]], [[43, 16, 5, 2, 1], [14, 9, 9, 1, 0], [9, 4, 13, 3, 1], [1, 0, 3, 8, 6], [0, 3, 1, 10, 24]], [[40, 10, 13, 3, 1], [15, 7, 6, 0, 5], [8, 10, 7, 4, 1], [0, 0, 6, 2, 10], [3, 4, 2, 7, 22]], [[40, 15, 9, 2, 1], [5, 11, 13, 1, 3], [8, 5, 15, 1, 1], [1, 3, 6, 4, 4], [11, 6, 8, 1, 12]], [[41, 14, 12, 0, 1], [17, 3, 10, 2, 1], [7, 10, 11, 0, 1], [2, 2, 4, 2, 8], [2, 4, 6, 10, 16]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9991942700440211,0.6209246161807831,0.9986577181208054,0.6505376344086021,0.0007355278223537187,0.05760499265685458,"[0.9986559139784946, 1.0, 0.9986577181208054, 0.9986577181208054, 1.0]","[0.5401069518716578, 0.6505376344086021, 0.6612903225806451, 0.6720430107526881, 0.5806451612903226]","[[[65, 2, 1, 0, 0], [16, 3, 1, 14, 0], [2, 5, 14, 7, 1], [0, 0, 0, 18, 0], [0, 0, 0, 37, 1]], [[55, 9, 2, 0, 1], [13, 11, 9, 0, 0], [13, 3, 14, 0, 0], [0, 0, 0, 3, 15], [0, 0, 0, 0, 38]], [[60, 2, 5, 0, 0], [17, 3, 12, 0, 1], [1, 3, 24, 0, 2], [0, 0, 0, 1, 17], [0, 2, 1, 0, 35]], [[66, 0, 1, 0, 0], [16, 8, 9, 0, 0], [5, 6, 18, 0, 1], [0, 1, 6, 0, 11], [0, 0, 5, 0, 33]], [[64, 4, 0, 0, 0], [24, 4, 5, 0, 0], [15, 2, 12, 0, 0], [0, 0, 6, 0, 12], [1, 1, 7, 1, 28]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.7913545500469077,0.5468690702087287,0.7956989247311828,0.5806451612903226,0.025289140476143054,0.08531968278841882,"[0.7956989247311828, 0.8053691275167785, 0.8147651006711409, 0.748993288590604, 0.7919463087248322]","[0.4117647058823529, 0.6075268817204301, 0.5806451612903226, 0.6182795698924731, 0.5161290322580645]","[[[43, 18, 6, 0, 1], [17, 4, 0, 12, 1], [2, 13, 7, 7, 0], [0, 0, 0, 17, 1], [0, 0, 0, 32, 6]], [[49, 6, 10, 0, 2], [13, 6, 13, 0, 1], [4, 4, 19, 1, 2], [1, 1, 2, 6, 8], [2, 1, 0, 2, 33]], [[48, 8, 7, 4, 0], [9, 10, 9, 5, 0], [3, 4, 15, 7, 1], [0, 1, 0, 5, 12], [0, 1, 0, 7, 30]], [[66, 1, 0, 0, 0], [20, 5, 7, 0, 1], [9, 5, 13, 1, 2], [0, 2, 1, 3, 12], [2, 0, 2, 6, 28]], [[56, 12, 0, 0, 0], [20, 9, 2, 0, 2], [14, 10, 4, 0, 1], [0, 2, 1, 0, 15], [2, 5, 3, 1, 27]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.6815306343364365,0.5596227933988844,0.697986577181208,0.5508021390374331,0.033836422681896634,0.05679393338678533,"[0.7016129032258065, 0.7060402684563758, 0.697986577181208, 0.6241610738255033, 0.6778523489932886]","[0.5508021390374331, 0.532258064516129, 0.5860215053763441, 0.6397849462365591, 0.489247311827957]","[[[45, 20, 3, 0, 0], [2, 14, 10, 3, 5], [2, 7, 17, 2, 1], [1, 1, 1, 2, 13], [1, 0, 2, 10, 25]], [[28, 27, 11, 1, 0], [2, 18, 13, 0, 0], [4, 7, 19, 0, 0], [0, 0, 0, 3, 15], [0, 0, 2, 5, 31]], [[51, 12, 4, 0, 0], [13, 7, 12, 1, 0], [3, 4, 20, 2, 1], [0, 0, 2, 4, 12], [0, 2, 6, 3, 27]], [[67, 0, 0, 0, 0], [17, 5, 11, 0, 0], [6, 2, 21, 0, 1], [0, 2, 10, 1, 5], [0, 3, 8, 2, 25]], [[49, 14, 5, 0, 0], [18, 9, 6, 0, 0], [11, 6, 12, 0, 0], [0, 2, 5, 5, 6], [1, 8, 6, 7, 16]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9991942700440211,0.6155827726985221,0.9986577181208054,0.6666666666666666,0.0007355278223537187,0.07514010245843797,"[0.9986559139784946, 1.0, 0.9986577181208054, 0.9986577181208054, 1.0]","[0.5080213903743316, 0.6720430107526881, 0.6666666666666666, 0.6666666666666666, 0.5645161290322581]","[[[60, 6, 2, 0, 0], [9, 7, 1, 17, 0], [3, 9, 9, 8, 0], [1, 0, 0, 17, 0], [1, 0, 0, 35, 2]], [[53, 11, 2, 1, 0], [6, 17, 10, 0, 0], [7, 9, 14, 0, 0], [0, 1, 0, 6, 11], [0, 0, 0, 3, 35]], [[59, 2, 6, 0, 0], [14, 8, 10, 0, 1], [4, 4, 21, 0, 1], [0, 0, 0, 2, 16], [0, 2, 0, 2, 34]], [[65, 2, 0, 0, 0], [15, 9, 9, 0, 0], [8, 4, 17, 0, 1], [0, 2, 5, 1, 10], [1, 1, 2, 2, 32]], [[62, 5, 1, 0, 0], [24, 2, 7, 0, 0], [7, 9, 13, 0, 0], [0, 0, 6, 1, 11], [1, 7, 1, 2, 27]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.923199465973876,0.6069403714565004,0.918010752688172,0.6451612903225806,0.013312102040963511,0.0651978995363297,"[0.918010752688172, 0.9114093959731544, 0.9422818791946309, 0.9315436241610738, 0.912751677852349]","[0.5454545454545454, 0.6451612903225806, 0.6612903225806451, 0.6559139784946236, 0.5268817204301075]","[[[66, 2, 0, 0, 0], [22, 1, 0, 10, 1], [3, 6, 12, 7, 1], [0, 0, 0, 18, 0], [0, 0, 0, 33, 5]], [[53, 10, 2, 0, 2], [15, 9, 9, 0, 0], [8, 5, 16, 0, 1], [0, 1, 1, 8, 8], [1, 0, 0, 3, 34]], [[56, 10, 1, 0, 0], [11, 13, 9, 0, 0], [2, 7, 21, 0, 0], [0, 0, 0, 0, 18], [0, 3, 0, 2, 33]], [[60, 6, 1, 0, 0], [15, 7, 11, 0, 0], [4, 4, 21, 0, 1], [0, 1, 8, 0, 9], [0, 1, 3, 0, 34]], [[64, 3, 1, 0, 0], [26, 4, 3, 0, 0], [15, 5, 8, 0, 1], [1, 1, 4, 1, 11], [3, 5, 5, 4, 21]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
