,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6135841091145269,0.580104651831407,0.610738255033557,0.5967741935483871,0.012983978126087998,0.05378205397339298,"[0.6008064516129032, 0.610738255033557, 0.6067114093959731, 0.614765100671141, 0.6348993288590604]","[0.5026737967914439, 0.6290322580645161, 0.5967741935483871, 0.6236559139784946, 0.5483870967741935]","[[[53, 14, 1, 0, 0], [4, 12, 4, 14, 0], [0, 9, 11, 6, 3], [0, 0, 0, 18, 0], [1, 1, 0, 36, 0]], [[50, 12, 4, 0, 1], [20, 3, 9, 1, 0], [8, 3, 17, 1, 1], [0, 3, 0, 14, 1], [0, 0, 0, 5, 33]], [[47, 7, 12, 0, 1], [16, 4, 10, 1, 2], [3, 6, 17, 1, 3], [0, 0, 1, 9, 8], [0, 0, 1, 3, 34]], [[59, 2, 6, 0, 0], [7, 3, 19, 2, 2], [4, 0, 18, 1, 7], [0, 0, 1, 0, 17], [0, 0, 2, 0, 36]], [[55, 4, 9, 0, 0], [13, 2, 16, 2, 0], [8, 2, 16, 1, 2], [0, 0, 5, 1, 12], [0, 1, 9, 0, 28]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.8676152846936567,0.6091139094934162,0.8630872483221477,0.6236559139784946,0.01051188873413882,0.06221018428529841,"[0.8669354838709677, 0.8604026845637583, 0.8630872483221477, 0.8617449664429531, 0.8859060402684564]","[0.5240641711229946, 0.5752688172043011, 0.6236559139784946, 0.6881720430107527, 0.6344086021505376]","[[[57, 7, 4, 0, 0], [22, 5, 2, 5, 0], [6, 6, 13, 4, 0], [0, 0, 0, 16, 2], [2, 0, 0, 29, 7]], [[50, 15, 2, 0, 0], [22, 6, 5, 0, 0], [9, 8, 13, 0, 0], [0, 1, 0, 7, 10], [0, 0, 0, 7, 31]], [[44, 13, 9, 0, 1], [10, 12, 10, 0, 1], [2, 7, 21, 0, 0], [0, 0, 1, 3, 14], [0, 0, 0, 2, 36]], [[65, 0, 2, 0, 0], [13, 5, 14, 1, 0], [1, 4, 21, 2, 2], [0, 0, 3, 3, 12], [0, 1, 1, 2, 34]], [[60, 7, 1, 0, 0], [17, 8, 8, 0, 0], [7, 3, 18, 1, 0], [0, 0, 4, 2, 12], [0, 1, 5, 2, 30]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.6544053546943782,0.5854464953136679,0.6550335570469799,0.6129032258064516,0.005035795302421268,0.042661082188296125,"[0.6599462365591398, 0.6577181208053692, 0.6523489932885906, 0.6469798657718121, 0.6550335570469799]","[0.5347593582887701, 0.543010752688172, 0.6129032258064516, 0.6182795698924731, 0.6182795698924731]","[[[68, 0, 0, 0, 0], [22, 1, 2, 9, 0], [10, 3, 9, 5, 2], [0, 0, 0, 17, 1], [5, 1, 0, 27, 5]], [[55, 9, 3, 0, 0], [26, 1, 4, 0, 2], [16, 4, 8, 0, 2], [0, 4, 0, 1, 13], [0, 0, 0, 2, 36]], [[57, 3, 5, 0, 2], [24, 1, 6, 0, 2], [9, 1, 19, 0, 1], [0, 2, 0, 0, 16], [0, 0, 1, 0, 37]], [[64, 0, 3, 0, 0], [14, 2, 13, 1, 3], [6, 2, 13, 0, 9], [0, 0, 1, 0, 17], [1, 0, 1, 0, 36]], [[65, 3, 0, 0, 0], [24, 3, 5, 0, 1], [12, 2, 13, 0, 2], [1, 1, 2, 0, 14], [2, 0, 2, 0, 34]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7285137475644079,0.563964119372089,0.7288590604026846,0.5645161290322581,0.011090072293536774,0.042115298925549965,"[0.7137096774193549, 0.7288590604026846, 0.723489932885906, 0.7328859060402685, 0.7436241610738255]","[0.5133689839572193, 0.5376344086021505, 0.5806451612903226, 0.6236559139784946, 0.5645161290322581]","[[[62, 5, 1, 0, 0], [14, 4, 2, 14, 0], [5, 6, 8, 7, 3], [1, 0, 0, 16, 1], [4, 0, 0, 28, 6]], [[55, 6, 6, 0, 0], [20, 7, 5, 0, 1], [14, 9, 5, 1, 1], [0, 3, 1, 4, 10], [0, 0, 0, 9, 29]], [[51, 9, 7, 0, 0], [23, 4, 6, 0, 0], [6, 11, 13, 0, 0], [1, 1, 1, 5, 10], [0, 1, 1, 1, 35]], [[62, 3, 2, 0, 0], [14, 5, 13, 0, 1], [5, 5, 13, 2, 5], [0, 1, 2, 2, 13], [1, 0, 3, 0, 34]], [[60, 4, 4, 0, 0], [20, 7, 5, 0, 1], [8, 7, 12, 1, 1], [3, 1, 2, 1, 11], [1, 2, 6, 4, 25]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9983885400880421,0.4801679029383014,0.9973154362416108,0.489247311827957,0.0014710556447074374,0.032150232614254884,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.44385026737967914, 0.489247311827957, 0.4946236559139785, 0.45161290322580644, 0.521505376344086]","[[[45, 15, 8, 0, 0], [13, 5, 4, 8, 4], [9, 6, 7, 4, 3], [0, 0, 0, 14, 4], [4, 1, 0, 21, 12]], [[42, 18, 6, 0, 1], [19, 8, 3, 1, 2], [11, 6, 8, 1, 4], [2, 2, 2, 6, 6], [0, 1, 3, 7, 27]], [[39, 14, 14, 0, 0], [16, 7, 8, 0, 2], [6, 8, 14, 1, 1], [1, 3, 2, 4, 8], [0, 2, 3, 5, 28]], [[41, 14, 11, 1, 0], [3, 11, 16, 2, 1], [9, 8, 6, 1, 6], [0, 0, 2, 4, 12], [1, 0, 3, 12, 22]], [[53, 9, 5, 0, 1], [11, 13, 4, 5, 0], [5, 8, 10, 4, 2], [0, 2, 2, 2, 12], [2, 4, 4, 9, 19]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9983885400880421,0.5844172273014777,0.9973154362416108,0.6021505376344086,0.0014710556447074374,0.05661293613518058,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.4919786096256685, 0.5752688172043011, 0.6129032258064516, 0.6397849462365591, 0.6021505376344086]","[[[63, 3, 2, 0, 0], [15, 2, 2, 15, 0], [2, 7, 10, 6, 4], [0, 0, 0, 16, 2], [2, 0, 0, 35, 1]], [[54, 10, 3, 0, 0], [25, 2, 6, 0, 0], [13, 4, 12, 0, 1], [0, 2, 1, 2, 13], [0, 0, 0, 1, 37]], [[55, 3, 8, 0, 1], [21, 2, 8, 0, 2], [4, 5, 20, 1, 0], [0, 0, 1, 0, 17], [0, 0, 1, 0, 37]], [[60, 3, 4, 0, 0], [12, 4, 17, 0, 0], [4, 1, 21, 0, 4], [0, 0, 3, 0, 15], [1, 0, 3, 0, 34]], [[65, 2, 1, 0, 0], [18, 2, 11, 1, 1], [8, 0, 20, 0, 1], [0, 1, 5, 0, 12], [1, 3, 8, 1, 25]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.7642444252002598,0.5467310677936863,0.785234899328859,0.5401069518716578,0.07342206488012597,0.07753396271419268,"[0.8104838709677419, 0.8080536912751678, 0.785234899328859, 0.7825503355704698, 0.6348993288590604]","[0.5401069518716578, 0.5053763440860215, 0.5967741935483871, 0.6451612903225806, 0.44623655913978494]","[[[64, 1, 3, 0, 0], [23, 0, 3, 8, 0], [8, 3, 12, 6, 0], [0, 0, 0, 17, 1], [3, 0, 0, 27, 8]], [[43, 14, 9, 0, 1], [19, 2, 11, 0, 1], [9, 7, 14, 0, 0], [0, 1, 1, 5, 11], [0, 0, 3, 5, 30]], [[56, 1, 5, 4, 1], [20, 2, 7, 2, 2], [6, 2, 16, 5, 1], [0, 0, 2, 8, 8], [0, 0, 0, 9, 29]], [[64, 2, 1, 0, 0], [20, 3, 9, 1, 0], [3, 3, 20, 0, 4], [0, 1, 1, 3, 13], [1, 0, 0, 7, 30]], [[34, 8, 26, 0, 0], [6, 1, 25, 1, 0], [2, 1, 26, 0, 0], [0, 0, 9, 0, 9], [0, 0, 14, 2, 22]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.5990871039907628,0.5273934793858892,0.6268456375838927,0.5240641711229946,0.05529015193034058,0.08132461710959966,"[0.5994623655913979, 0.5033557046979866, 0.6308724832214765, 0.6268456375838927, 0.6348993288590604]","[0.5240641711229946, 0.3978494623655914, 0.521505376344086, 0.5967741935483871, 0.5967741935483871]","[[[60, 4, 4, 0, 0], [6, 18, 2, 6, 2], [3, 14, 8, 4, 0], [0, 5, 0, 11, 2], [0, 9, 1, 27, 1]], [[41, 12, 9, 0, 5], [19, 11, 3, 0, 0], [10, 7, 7, 0, 6], [0, 2, 0, 13, 3], [1, 1, 0, 34, 2]], [[47, 10, 10, 0, 0], [16, 6, 10, 0, 1], [6, 8, 16, 0, 0], [0, 3, 1, 1, 13], [0, 2, 2, 7, 27]], [[60, 3, 4, 0, 0], [11, 11, 11, 0, 0], [7, 4, 16, 2, 1], [0, 1, 1, 3, 13], [2, 1, 3, 11, 21]], [[60, 6, 2, 0, 0], [16, 12, 5, 0, 0], [9, 9, 11, 0, 0], [0, 0, 4, 5, 9], [0, 2, 9, 4, 23]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9983885400880421,0.589799321488126,0.9973154362416108,0.6129032258064516,0.0014710556447074374,0.05970446289791268,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.48663101604278075, 0.6129032258064516, 0.6129032258064516, 0.6397849462365591, 0.5967741935483871]","[[[60, 6, 2, 0, 0], [18, 3, 3, 10, 0], [5, 7, 11, 6, 0], [0, 0, 0, 16, 2], [2, 1, 0, 34, 1]], [[54, 10, 3, 0, 0], [25, 4, 4, 0, 0], [10, 8, 12, 0, 0], [0, 3, 0, 7, 8], [0, 0, 0, 1, 37]], [[47, 10, 8, 1, 1], [16, 7, 9, 0, 1], [1, 7, 22, 0, 0], [0, 0, 2, 2, 14], [0, 1, 1, 0, 36]], [[63, 3, 1, 0, 0], [13, 7, 13, 0, 0], [3, 5, 18, 0, 4], [0, 0, 3, 0, 15], [1, 1, 4, 1, 31]], [[63, 4, 1, 0, 0], [17, 9, 6, 1, 0], [7, 7, 14, 1, 0], [0, 2, 4, 1, 11], [1, 2, 8, 3, 24]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.9135325106444396,0.5940486458513023,0.9154362416107382,0.5967741935483871,0.012942144256454728,0.045521927352055486,"[0.9086021505376344, 0.9154362416107382, 0.9234899328859061, 0.8939597315436242, 0.9261744966442953]","[0.5347593582887701, 0.5698924731182796, 0.6129032258064516, 0.6559139784946236, 0.5967741935483871]","[[[65, 2, 1, 0, 0], [25, 1, 1, 7, 0], [10, 3, 10, 6, 0], [0, 0, 0, 17, 1], [2, 0, 0, 29, 7]], [[53, 13, 1, 0, 0], [27, 2, 4, 0, 0], [12, 6, 12, 0, 0], [0, 3, 0, 5, 10], [0, 0, 0, 4, 34]], [[47, 13, 7, 0, 0], [15, 9, 8, 0, 1], [4, 7, 19, 0, 0], [0, 0, 2, 4, 12], [0, 1, 0, 2, 35]], [[65, 0, 2, 0, 0], [13, 1, 19, 0, 0], [1, 3, 23, 0, 3], [0, 0, 5, 1, 12], [1, 1, 3, 1, 32]], [[60, 8, 0, 0, 0], [20, 8, 4, 1, 0], [9, 7, 13, 0, 0], [1, 1, 3, 1, 12], [1, 4, 3, 1, 29]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
