,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6866331096196868,0.6188085791501352,0.6885906040268457,0.6344086021505376,0.01599092955039296,0.0762005756240866,"[0.7083333333333334, 0.6657718120805369, 0.6778523489932886, 0.6885906040268457, 0.6926174496644295]","[0.5080213903743316, 0.6559139784946236, 0.7096774193548387, 0.6344086021505376, 0.5860215053763441]","[[[59, 8, 1, 0, 0], [5, 7, 3, 19, 0], [2, 3, 11, 9, 4], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[52, 11, 4, 0, 0], [12, 7, 14, 0, 0], [3, 7, 19, 1, 0], [0, 0, 0, 16, 2], [0, 1, 0, 9, 28]], [[60, 7, 0, 0, 0], [16, 6, 11, 0, 0], [3, 2, 23, 0, 2], [0, 1, 0, 8, 9], [0, 1, 1, 1, 35]], [[59, 8, 0, 0, 0], [16, 5, 12, 0, 0], [6, 2, 21, 0, 1], [0, 0, 6, 0, 12], [1, 0, 4, 0, 33]], [[59, 9, 0, 0, 0], [21, 5, 7, 0, 0], [8, 7, 14, 0, 0], [0, 0, 5, 0, 13], [1, 1, 5, 0, 31]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.8187425128094103,0.6252141912483469,0.8201342281879195,0.5806451612903226,0.014185761823900678,0.08268933450859131,"[0.8158602150537635, 0.8241610738255034, 0.8201342281879195, 0.7973154362416107, 0.836241610738255]","[0.5508021390374331, 0.5806451612903226, 0.7150537634408602, 0.7150537634408602, 0.5645161290322581]","[[[59, 7, 2, 0, 0], [12, 13, 1, 8, 0], [0, 12, 10, 7, 0], [0, 0, 0, 18, 0], [1, 1, 0, 33, 3]], [[53, 8, 4, 0, 2], [18, 6, 9, 0, 0], [8, 6, 15, 0, 1], [0, 1, 1, 5, 11], [0, 0, 0, 9, 29]], [[57, 9, 1, 0, 0], [15, 9, 9, 0, 0], [1, 4, 25, 0, 0], [0, 1, 0, 5, 12], [0, 0, 0, 1, 37]], [[65, 2, 0, 0, 0], [15, 6, 12, 0, 0], [2, 3, 25, 0, 0], [0, 1, 3, 1, 13], [1, 0, 0, 1, 36]], [[52, 16, 0, 0, 0], [18, 8, 7, 0, 0], [10, 8, 11, 0, 0], [0, 0, 2, 2, 14], [1, 0, 5, 0, 32]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.6275456448004618,0.5672129262262089,0.6241610738255033,0.5698924731182796,0.017690432952076104,0.04520410896900661,"[0.6075268817204301, 0.6348993288590604, 0.6174496644295302, 0.6241610738255033, 0.6536912751677852]","[0.4919786096256685, 0.5698924731182796, 0.6075268817204301, 0.5967741935483871, 0.5698924731182796]","[[[66, 1, 1, 0, 0], [30, 3, 1, 0, 0], [13, 8, 4, 2, 2], [3, 0, 0, 12, 3], [15, 0, 0, 16, 7]], [[63, 0, 3, 0, 1], [31, 0, 2, 0, 0], [20, 1, 6, 0, 3], [1, 1, 0, 0, 16], [1, 0, 0, 0, 37]], [[67, 0, 0, 0, 0], [29, 2, 0, 0, 2], [13, 1, 8, 0, 8], [0, 1, 0, 0, 17], [2, 0, 0, 0, 36]], [[66, 1, 0, 0, 0], [24, 5, 1, 0, 3], [14, 3, 5, 0, 8], [2, 0, 1, 0, 15], [2, 1, 0, 0, 35]], [[68, 0, 0, 0, 0], [29, 1, 3, 0, 0], [22, 2, 4, 0, 1], [1, 0, 1, 0, 16], [2, 1, 2, 0, 33]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7583293642202495,0.5972917026047956,0.7610738255033557,0.6021505376344086,0.013352036756207407,0.04998459153205135,"[0.7768817204301075, 0.7624161073825504, 0.748993288590604, 0.7422818791946308, 0.7610738255033557]","[0.5187165775401069, 0.6021505376344086, 0.6344086021505376, 0.6451612903225806, 0.5860215053763441]","[[[59, 8, 1, 0, 0], [8, 5, 4, 17, 0], [3, 3, 16, 7, 0], [0, 0, 0, 17, 1], [0, 0, 0, 38, 0]], [[55, 9, 3, 0, 0], [18, 9, 6, 0, 0], [14, 6, 10, 0, 0], [0, 1, 0, 5, 12], [0, 0, 1, 4, 33]], [[59, 5, 3, 0, 0], [17, 6, 10, 0, 0], [5, 4, 20, 0, 1], [0, 1, 1, 2, 14], [0, 1, 4, 2, 31]], [[62, 4, 1, 0, 0], [21, 5, 7, 0, 0], [4, 7, 19, 0, 0], [0, 2, 4, 0, 12], [2, 0, 1, 1, 34]], [[59, 8, 1, 0, 0], [21, 9, 3, 0, 0], [8, 7, 14, 0, 0], [0, 1, 6, 0, 11], [2, 0, 8, 1, 27]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9983885400880421,0.47158300270254727,0.9973154362416108,0.478494623655914,0.0014710556447074374,0.026559930469589745,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.42780748663101603, 0.4946236559139785, 0.46774193548387094, 0.489247311827957, 0.478494623655914]","[[[43, 16, 7, 1, 1], [7, 7, 5, 9, 6], [2, 7, 8, 3, 9], [3, 1, 1, 7, 6], [7, 4, 0, 12, 15]], [[39, 13, 4, 5, 6], [14, 10, 6, 3, 0], [12, 9, 8, 1, 0], [0, 0, 2, 10, 6], [0, 0, 2, 11, 25]], [[39, 23, 5, 0, 0], [10, 12, 7, 3, 1], [5, 10, 13, 1, 1], [0, 4, 3, 2, 9], [0, 3, 3, 11, 21]], [[49, 12, 6, 0, 0], [12, 10, 6, 2, 3], [8, 3, 11, 2, 6], [0, 4, 4, 1, 9], [2, 0, 5, 11, 20]], [[49, 16, 3, 0, 0], [19, 8, 2, 2, 2], [9, 6, 8, 2, 4], [1, 0, 5, 2, 10], [3, 3, 9, 1, 22]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9983885400880421,0.6467195675924329,0.9973154362416108,0.6559139784946236,0.0014710556447074374,0.06050540959602921,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.5508021390374331, 0.6720430107526881, 0.7150537634408602, 0.6559139784946236, 0.6397849462365591]","[[[63, 5, 0, 0, 0], [15, 7, 1, 11, 0], [3, 3, 15, 8, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[58, 6, 3, 0, 0], [17, 5, 11, 0, 0], [6, 6, 18, 0, 0], [0, 1, 0, 8, 9], [0, 0, 0, 2, 36]], [[60, 6, 1, 0, 0], [16, 8, 9, 0, 0], [3, 3, 24, 0, 0], [0, 1, 0, 4, 13], [0, 0, 1, 0, 37]], [[64, 3, 0, 0, 0], [17, 2, 14, 0, 0], [5, 3, 21, 0, 1], [0, 1, 3, 0, 14], [1, 0, 2, 0, 35]], [[63, 5, 0, 0, 0], [22, 6, 5, 0, 0], [10, 4, 15, 0, 0], [0, 1, 3, 0, 14], [1, 0, 2, 0, 35]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8329663707873276,0.6048760853314933,0.8322147651006712,0.6182795698924731,0.024778513599925403,0.10212200648313238,"[0.7997311827956989, 0.8389261744966443, 0.8322147651006712, 0.825503355704698, 0.8684563758389262]","[0.46524064171123, 0.6182795698924731, 0.7150537634408602, 0.6827956989247311, 0.543010752688172]","[[[42, 26, 0, 0, 0], [3, 17, 0, 14, 0], [0, 16, 5, 8, 0], [0, 0, 0, 18, 0], [0, 0, 0, 33, 5]], [[54, 8, 3, 1, 1], [14, 9, 10, 0, 0], [7, 4, 19, 0, 0], [0, 1, 1, 9, 7], [0, 0, 2, 12, 24]], [[63, 1, 3, 0, 0], [16, 6, 10, 1, 0], [4, 1, 25, 0, 0], [0, 0, 0, 6, 12], [0, 0, 1, 4, 33]], [[61, 0, 6, 0, 0], [14, 6, 12, 1, 0], [3, 3, 24, 0, 0], [0, 1, 3, 6, 8], [1, 0, 0, 7, 30]], [[55, 11, 1, 1, 0], [22, 5, 6, 0, 0], [9, 13, 5, 1, 1], [1, 1, 3, 4, 9], [2, 1, 2, 1, 32]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.6600537634408602,0.5047898338220919,0.6536912751677852,0.5454545454545454,0.02356429368627209,0.0709957760591802,"[0.7002688172043011, 0.640268456375839, 0.6536912751677852, 0.6590604026845638, 0.6469798657718121]","[0.5454545454545454, 0.45698924731182794, 0.5591397849462365, 0.5591397849462365, 0.4032258064516129]","[[[53, 8, 7, 0, 0], [3, 19, 8, 4, 0], [1, 8, 14, 5, 1], [0, 2, 0, 11, 5], [1, 6, 2, 24, 5]], [[45, 16, 6, 0, 0], [9, 11, 13, 0, 0], [6, 12, 12, 0, 0], [0, 1, 1, 5, 11], [0, 0, 1, 25, 12]], [[48, 15, 4, 0, 0], [11, 11, 11, 0, 0], [1, 14, 14, 1, 0], [0, 0, 1, 10, 7], [0, 0, 1, 16, 21]], [[54, 11, 2, 0, 0], [9, 8, 16, 0, 0], [3, 6, 19, 2, 0], [0, 1, 6, 5, 6], [0, 2, 6, 12, 18]], [[34, 28, 6, 0, 0], [11, 15, 7, 0, 0], [6, 13, 10, 0, 0], [0, 1, 9, 2, 6], [1, 2, 10, 11, 14]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9983885400880421,0.6338163417859812,0.9973154362416108,0.6129032258064516,0.0014710556447074374,0.06433480177875263,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.5508021390374331, 0.6129032258064516, 0.6935483870967742, 0.7043010752688172, 0.6075268817204301]","[[[61, 6, 1, 0, 0], [14, 11, 2, 7, 0], [2, 8, 11, 8, 0], [0, 0, 0, 18, 0], [1, 0, 0, 35, 2]], [[54, 10, 3, 0, 0], [14, 8, 11, 0, 0], [8, 8, 14, 0, 0], [0, 1, 1, 8, 8], [0, 1, 0, 7, 30]], [[58, 7, 2, 0, 0], [14, 8, 11, 0, 0], [2, 3, 25, 0, 0], [0, 1, 0, 4, 13], [0, 0, 3, 1, 34]], [[63, 3, 1, 0, 0], [14, 7, 12, 0, 0], [2, 1, 27, 0, 0], [1, 1, 4, 0, 12], [1, 0, 3, 0, 34]], [[57, 9, 2, 0, 0], [21, 5, 7, 0, 0], [6, 7, 16, 0, 0], [0, 1, 4, 3, 10], [1, 0, 4, 1, 32]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.8907086670996607,0.640267954689207,0.8966442953020134,0.6451612903225806,0.022514172584987516,0.06952387792167714,"[0.8897849462365591, 0.8966442953020134, 0.8993288590604027, 0.8536912751677852, 0.9140939597315436]","[0.5508021390374331, 0.6451612903225806, 0.7096774193548387, 0.7043010752688172, 0.5913978494623656]","[[[62, 6, 0, 0, 0], [12, 12, 0, 10, 0], [1, 10, 9, 9, 0], [0, 0, 0, 18, 0], [1, 0, 0, 35, 2]], [[56, 9, 2, 0, 0], [17, 7, 9, 0, 0], [8, 5, 17, 0, 0], [0, 1, 0, 8, 9], [0, 0, 0, 6, 32]], [[59, 7, 1, 0, 0], [15, 10, 8, 0, 0], [3, 3, 24, 0, 0], [0, 2, 0, 2, 14], [0, 1, 0, 0, 37]], [[66, 1, 0, 0, 0], [16, 5, 12, 0, 0], [3, 2, 24, 0, 1], [0, 0, 4, 0, 14], [1, 0, 0, 1, 36]], [[58, 10, 0, 0, 0], [21, 6, 6, 0, 0], [8, 10, 11, 0, 0], [1, 0, 2, 2, 13], [1, 1, 3, 0, 33]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
