,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6262037237497294,0.5564659881547926,0.625503355704698,0.543010752688172,0.017099992046992533,0.06460861143611306,"[0.6088709677419355, 0.625503355704698, 0.6335570469798658, 0.6120805369127517, 0.6510067114093959]","[0.48663101604278075, 0.6236559139784946, 0.543010752688172, 0.6236559139784946, 0.5053763440860215]","[[[58, 7, 3, 0, 0], [6, 5, 17, 6, 0], [4, 3, 10, 12, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[52, 10, 5, 0, 0], [24, 6, 3, 0, 0], [13, 9, 8, 0, 0], [0, 0, 0, 15, 3], [0, 0, 2, 1, 35]], [[49, 6, 11, 1, 0], [16, 4, 9, 1, 3], [6, 4, 12, 5, 3], [0, 1, 1, 9, 7], [0, 0, 2, 9, 27]], [[54, 7, 6, 0, 0], [17, 6, 10, 0, 0], [3, 1, 24, 0, 2], [0, 0, 4, 2, 12], [0, 0, 4, 4, 30]], [[47, 13, 8, 0, 0], [21, 9, 3, 0, 0], [12, 5, 12, 0, 0], [0, 0, 3, 1, 14], [0, 0, 6, 7, 25]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.8096092227754925,0.6467138174918061,0.8026845637583893,0.6612903225806451,0.01587415436750507,0.06956546501519446,"[0.7943548387096774, 0.8026845637583893, 0.8174496644295302, 0.8, 0.8335570469798658]","[0.5561497326203209, 0.6612903225806451, 0.6935483870967742, 0.7258064516129032, 0.5967741935483871]","[[[65, 2, 1, 0, 0], [26, 6, 1, 1, 0], [8, 7, 12, 2, 0], [0, 0, 0, 16, 2], [0, 0, 0, 33, 5]], [[52, 13, 2, 0, 0], [15, 14, 4, 0, 0], [8, 9, 13, 0, 0], [0, 0, 0, 9, 9], [0, 0, 0, 3, 35]], [[57, 4, 6, 0, 0], [9, 13, 11, 0, 0], [3, 5, 21, 0, 1], [0, 0, 1, 3, 14], [0, 0, 1, 2, 35]], [[64, 2, 1, 0, 0], [15, 7, 11, 0, 0], [1, 4, 24, 0, 1], [0, 0, 3, 3, 12], [0, 0, 0, 1, 37]], [[57, 9, 2, 0, 0], [18, 9, 6, 0, 0], [9, 6, 14, 0, 0], [0, 0, 1, 5, 12], [0, 1, 2, 9, 26]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.5735790575160569,0.5467713184980737,0.574496644295302,0.553763440860215,0.007763857610967726,0.025051088968817473,"[0.581989247311828, 0.5798657718120805, 0.5637583892617449, 0.5677852348993289, 0.574496644295302]","[0.5026737967914439, 0.553763440860215, 0.5645161290322581, 0.5591397849462365, 0.553763440860215]","[[[68, 0, 0, 0, 0], [33, 0, 0, 1, 0], [21, 3, 0, 2, 3], [0, 0, 0, 12, 6], [2, 0, 0, 22, 14]], [[66, 1, 0, 0, 0], [32, 0, 0, 0, 1], [26, 2, 0, 0, 2], [0, 2, 0, 0, 16], [1, 0, 0, 0, 37]], [[67, 0, 0, 0, 0], [29, 0, 0, 0, 4], [17, 0, 1, 0, 12], [1, 0, 0, 0, 17], [1, 0, 0, 0, 37]], [[67, 0, 0, 0, 0], [31, 0, 0, 0, 2], [21, 1, 2, 0, 6], [6, 0, 0, 0, 12], [3, 0, 0, 0, 35]], [[68, 0, 0, 0, 0], [33, 0, 0, 0, 0], [27, 1, 1, 0, 0], [2, 0, 0, 0, 16], [4, 0, 0, 0, 34]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7389900411344447,0.5833477085849001,0.7379032258064516,0.6129032258064516,0.009142542702666023,0.05642080954019832,"[0.7379032258064516, 0.7395973154362416, 0.72751677852349, 0.7369127516778523, 0.7530201342281879]","[0.48663101604278075, 0.6129032258064516, 0.6129032258064516, 0.6236559139784946, 0.5806451612903226]","[[[54, 10, 4, 0, 0], [17, 9, 2, 6, 0], [3, 8, 10, 7, 1], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[59, 5, 3, 0, 0], [25, 3, 5, 0, 0], [9, 10, 11, 0, 0], [0, 0, 0, 6, 12], [0, 0, 1, 2, 35]], [[53, 11, 3, 0, 0], [12, 9, 10, 1, 1], [7, 8, 12, 0, 3], [0, 1, 1, 5, 11], [0, 2, 1, 0, 35]], [[62, 3, 2, 0, 0], [19, 6, 8, 0, 0], [6, 5, 18, 0, 1], [0, 2, 6, 1, 9], [1, 0, 3, 5, 29]], [[58, 7, 3, 0, 0], [21, 7, 5, 0, 0], [9, 9, 11, 0, 0], [0, 1, 2, 3, 12], [1, 0, 7, 1, 29]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,1.0,0.4769823471910758,1.0,0.4838709677419355,0.0,0.042786412407809324,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.40641711229946526, 0.521505376344086, 0.478494623655914, 0.4838709677419355, 0.4946236559139785]","[[[45, 17, 6, 0, 0], [22, 2, 7, 1, 2], [16, 3, 8, 2, 0], [0, 0, 1, 14, 3], [1, 0, 0, 30, 7]], [[48, 15, 4, 0, 0], [19, 6, 6, 1, 1], [9, 10, 9, 0, 2], [0, 1, 1, 9, 7], [0, 1, 3, 9, 25]], [[44, 15, 7, 1, 0], [12, 8, 12, 0, 1], [8, 9, 7, 2, 4], [0, 1, 2, 6, 9], [1, 2, 2, 9, 24]], [[39, 21, 7, 0, 0], [15, 3, 12, 2, 1], [3, 4, 17, 2, 4], [1, 1, 6, 3, 7], [0, 0, 2, 8, 28]], [[49, 10, 7, 1, 1], [20, 6, 6, 0, 1], [7, 8, 11, 0, 3], [1, 0, 3, 5, 9], [1, 3, 5, 8, 21]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,1.0,0.6337415904778333,1.0,0.6203208556149733,0.0,0.04723762523255379,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6203208556149733, 0.6182795698924731, 0.6236559139784946, 0.7150537634408602, 0.5913978494623656]","[[[67, 0, 1, 0, 0], [14, 12, 5, 3, 0], [3, 3, 19, 4, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[57, 7, 3, 0, 0], [26, 4, 3, 0, 0], [11, 7, 12, 0, 0], [0, 0, 0, 5, 13], [0, 0, 1, 0, 37]], [[57, 2, 8, 0, 0], [17, 5, 8, 1, 2], [4, 6, 16, 1, 3], [0, 0, 1, 3, 14], [0, 0, 2, 1, 35]], [[67, 0, 0, 0, 0], [21, 5, 7, 0, 0], [6, 0, 23, 0, 1], [0, 0, 6, 2, 10], [0, 0, 2, 0, 36]], [[60, 6, 2, 0, 0], [24, 3, 6, 0, 0], [13, 4, 12, 0, 0], [0, 0, 1, 3, 14], [1, 0, 4, 1, 32]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8313642924153857,0.5565349893623138,0.8241610738255034,0.5967741935483871,0.016205253126774566,0.09458881799368303,"[0.831989247311828, 0.8228187919463087, 0.8590604026845637, 0.8241610738255034, 0.8187919463087249]","[0.42245989304812837, 0.6451612903225806, 0.5967741935483871, 0.6236559139784946, 0.4946236559139785]","[[[47, 21, 0, 0, 0], [20, 4, 1, 9, 0], [3, 10, 7, 9, 0], [0, 0, 0, 17, 1], [0, 1, 0, 33, 4]], [[59, 5, 2, 0, 1], [19, 9, 5, 0, 0], [12, 5, 13, 0, 0], [0, 2, 0, 7, 9], [0, 0, 0, 6, 32]], [[49, 14, 2, 2, 0], [8, 11, 14, 0, 0], [2, 7, 16, 4, 1], [0, 0, 3, 6, 9], [0, 0, 0, 9, 29]], [[62, 1, 4, 0, 0], [16, 2, 13, 2, 0], [1, 3, 21, 4, 1], [0, 1, 5, 5, 7], [1, 0, 2, 9, 26]], [[44, 23, 0, 0, 1], [18, 11, 4, 0, 0], [6, 16, 6, 0, 1], [0, 0, 2, 3, 13], [0, 4, 0, 6, 28]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.608477664718193,0.511206946121557,0.6120805369127517,0.5,0.02446994503491131,0.05324221910264856,"[0.5793010752688172, 0.6120805369127517, 0.636241610738255, 0.5879194630872483, 0.6268456375838927]","[0.5775401069518716, 0.45161290322580644, 0.4731182795698925, 0.5, 0.553763440860215]","[[[58, 3, 7, 0, 0], [4, 15, 15, 0, 0], [2, 8, 18, 1, 0], [0, 0, 1, 17, 0], [0, 1, 1, 36, 0]], [[50, 12, 5, 0, 0], [21, 3, 9, 0, 0], [13, 6, 11, 0, 0], [0, 1, 2, 4, 11], [0, 0, 2, 20, 16]], [[43, 15, 9, 0, 0], [18, 2, 13, 0, 0], [4, 6, 18, 1, 1], [0, 1, 2, 2, 13], [0, 0, 2, 13, 23]], [[57, 5, 5, 0, 0], [15, 4, 13, 0, 1], [3, 11, 13, 2, 1], [0, 4, 5, 7, 2], [0, 1, 4, 21, 12]], [[59, 1, 8, 0, 0], [20, 7, 6, 0, 0], [13, 4, 12, 0, 0], [0, 0, 5, 2, 11], [0, 2, 9, 4, 23]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,1.0,0.6520211603703066,1.0,0.6666666666666666,0.0,0.05927448635797829,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6203208556149733, 0.6774193548387096, 0.6666666666666666, 0.7258064516129032, 0.5698924731182796]","[[[64, 1, 3, 0, 0], [9, 11, 11, 3, 0], [2, 4, 21, 2, 0], [0, 0, 0, 15, 3], [0, 0, 0, 33, 5]], [[56, 9, 2, 0, 0], [19, 11, 3, 0, 0], [9, 8, 13, 0, 0], [0, 0, 0, 10, 8], [0, 0, 1, 1, 36]], [[52, 5, 10, 0, 0], [10, 16, 6, 1, 0], [5, 6, 16, 0, 3], [0, 2, 0, 4, 12], [0, 0, 1, 1, 36]], [[64, 2, 1, 0, 0], [12, 16, 5, 0, 0], [2, 6, 21, 0, 1], [0, 3, 3, 2, 10], [0, 0, 4, 2, 32]], [[56, 4, 8, 0, 0], [18, 8, 7, 0, 0], [10, 8, 11, 0, 0], [0, 1, 1, 1, 15], [0, 1, 5, 2, 30]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.8834574583243127,0.6381174170547984,0.8818791946308725,0.6559139784946236,0.007929293753530735,0.06465308346711456,"[0.8790322580645161, 0.8738255033557047, 0.8885906040268456, 0.8818791946308725, 0.8939597315436242]","[0.5508021390374331, 0.6559139784946236, 0.6720430107526881, 0.7150537634408602, 0.5967741935483871]","[[[66, 2, 0, 0, 0], [24, 6, 2, 2, 0], [10, 6, 11, 2, 0], [0, 0, 0, 18, 0], [0, 0, 0, 36, 2]], [[58, 5, 4, 0, 0], [20, 8, 5, 0, 0], [11, 4, 15, 0, 0], [0, 1, 1, 6, 10], [0, 0, 1, 2, 35]], [[61, 2, 4, 0, 0], [16, 6, 11, 0, 0], [6, 3, 20, 0, 1], [0, 0, 2, 3, 13], [0, 0, 1, 2, 35]], [[65, 1, 1, 0, 0], [17, 4, 12, 0, 0], [1, 2, 26, 0, 1], [0, 2, 4, 1, 11], [0, 0, 0, 1, 37]], [[62, 6, 0, 0, 0], [23, 4, 6, 0, 0], [11, 4, 14, 0, 0], [0, 0, 2, 3, 13], [0, 1, 6, 3, 28]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
