,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.5824413653749007,0.5124029670519235,0.5825503355704698,0.553763440860215,0.01306270907633196,0.06322573798230853,"[0.5940860215053764, 0.5959731543624162, 0.574496644295302, 0.5651006711409396, 0.5825503355704698]","[0.46524064171123, 0.553763440860215, 0.5591397849462365, 0.5591397849462365, 0.42473118279569894]","[[[47, 12, 9, 0, 0], [19, 7, 6, 2, 0], [4, 4, 17, 4, 0], [0, 0, 2, 16, 0], [0, 1, 1, 36, 0]], [[44, 7, 15, 0, 1], [17, 1, 14, 1, 0], [7, 3, 17, 3, 0], [0, 1, 2, 10, 5], [0, 0, 1, 6, 31]], [[42, 10, 14, 1, 0], [10, 1, 20, 0, 2], [4, 1, 18, 4, 3], [0, 0, 0, 7, 11], [0, 0, 2, 0, 36]], [[47, 10, 10, 0, 0], [18, 3, 11, 1, 0], [5, 2, 20, 1, 2], [0, 0, 6, 1, 11], [0, 1, 2, 2, 33]], [[36, 20, 10, 2, 0], [15, 3, 15, 0, 0], [13, 4, 11, 0, 1], [0, 0, 2, 1, 15], [0, 1, 9, 0, 28]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.725026340477737,0.5962739347938588,0.7231182795698925,0.6451612903225806,0.017469346758713443,0.0855373095753371,"[0.7231182795698925, 0.7530201342281879, 0.7208053691275168, 0.7046979865771812, 0.723489932885906]","[0.46524064171123, 0.6505376344086021, 0.6451612903225806, 0.6666666666666666, 0.553763440860215]","[[[52, 11, 5, 0, 0], [23, 4, 6, 1, 0], [9, 3, 13, 3, 1], [0, 0, 0, 18, 0], [0, 1, 0, 37, 0]], [[53, 8, 5, 0, 1], [16, 7, 9, 1, 0], [5, 2, 23, 0, 0], [0, 2, 0, 5, 11], [0, 0, 0, 5, 33]], [[54, 8, 5, 0, 0], [12, 6, 15, 0, 0], [4, 4, 20, 2, 0], [0, 0, 0, 3, 15], [0, 0, 1, 0, 37]], [[66, 0, 1, 0, 0], [21, 1, 11, 0, 0], [6, 1, 23, 0, 0], [0, 0, 8, 0, 10], [0, 1, 3, 0, 34]], [[62, 3, 3, 0, 0], [26, 2, 5, 0, 0], [20, 1, 8, 0, 0], [0, 0, 4, 3, 11], [0, 1, 9, 0, 28]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.6831392076206972,0.5984072221263872,0.6885906040268457,0.6397849462365591,0.011952564237061593,0.07536400650775556,"[0.6935483870967742, 0.6738255033557047, 0.6671140939597315, 0.6885906040268457, 0.6926174496644295]","[0.48128342245989303, 0.6397849462365591, 0.6612903225806451, 0.6451612903225806, 0.5645161290322581]","[[[60, 4, 4, 0, 0], [30, 0, 3, 1, 0], [13, 0, 11, 4, 1], [0, 0, 0, 17, 1], [1, 0, 0, 35, 2]], [[63, 1, 2, 0, 1], [25, 3, 5, 0, 0], [14, 2, 13, 0, 1], [0, 3, 0, 2, 13], [0, 0, 0, 0, 38]], [[62, 2, 3, 0, 0], [22, 3, 8, 0, 0], [5, 5, 18, 1, 1], [0, 0, 0, 3, 15], [0, 0, 1, 0, 37]], [[66, 1, 0, 0, 0], [26, 1, 6, 0, 0], [7, 3, 18, 0, 2], [2, 0, 5, 0, 11], [1, 1, 1, 0, 35]], [[62, 1, 3, 2, 0], [25, 3, 5, 0, 0], [20, 0, 8, 0, 1], [0, 0, 3, 0, 15], [1, 0, 5, 0, 32]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7209987731832287,0.550037375654074,0.7204301075268817,0.5806451612903226,0.00540984374621877,0.057384922499996216,"[0.7204301075268817, 0.7288590604026846, 0.7167785234899329, 0.7154362416107383, 0.723489932885906]","[0.46524064171123, 0.5967741935483871, 0.5913978494623656, 0.5806451612903226, 0.5161290322580645]","[[[59, 7, 2, 0, 0], [28, 3, 3, 0, 0], [16, 3, 6, 3, 1], [1, 1, 0, 14, 2], [1, 0, 0, 32, 5]], [[56, 8, 3, 0, 0], [21, 10, 2, 0, 0], [17, 4, 8, 1, 0], [0, 1, 4, 4, 9], [0, 1, 0, 4, 33]], [[52, 10, 5, 0, 0], [21, 6, 6, 0, 0], [10, 7, 12, 0, 1], [0, 0, 1, 6, 11], [0, 0, 2, 2, 34]], [[58, 5, 4, 0, 0], [19, 8, 6, 0, 0], [7, 10, 12, 1, 0], [1, 3, 4, 2, 8], [2, 0, 2, 6, 28]], [[56, 7, 4, 1, 0], [23, 5, 5, 0, 0], [17, 7, 4, 1, 0], [0, 1, 0, 3, 14], [0, 1, 8, 1, 28]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9975828101320632,0.48117417054798467,0.9973154362416108,0.4838709677419355,0.0017513680235443137,0.025205800737411785,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.5080213903743316, 0.4946236559139785, 0.478494623655914, 0.44086021505376344, 0.4838709677419355]","[[[49, 12, 6, 1, 0], [20, 11, 3, 0, 0], [13, 6, 9, 1, 0], [3, 1, 1, 11, 2], [2, 2, 1, 18, 15]], [[42, 19, 6, 0, 0], [15, 10, 7, 1, 0], [13, 6, 9, 1, 1], [1, 0, 3, 5, 9], [1, 2, 0, 9, 26]], [[41, 11, 12, 2, 1], [12, 8, 8, 3, 2], [8, 7, 7, 5, 3], [0, 1, 3, 4, 10], [1, 0, 2, 6, 29]], [[45, 16, 6, 0, 0], [19, 8, 3, 3, 0], [8, 5, 9, 6, 2], [2, 3, 2, 1, 10], [0, 5, 7, 7, 19]], [[46, 16, 4, 1, 1], [8, 8, 15, 1, 1], [10, 7, 11, 1, 0], [0, 2, 3, 2, 11], [4, 1, 7, 3, 23]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9975828101320632,0.5940888965556896,0.9973154362416108,0.5967741935483871,0.0017513680235443137,0.0595600748039971,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.49732620320855614, 0.5967741935483871, 0.6344086021505376, 0.6505376344086021, 0.5913978494623656]","[[[62, 2, 4, 0, 0], [28, 4, 1, 1, 0], [14, 1, 11, 2, 1], [0, 0, 2, 16, 0], [2, 0, 1, 35, 0]], [[57, 6, 3, 0, 1], [25, 3, 5, 0, 0], [12, 5, 13, 0, 0], [0, 2, 2, 4, 10], [0, 0, 0, 4, 34]], [[57, 5, 5, 0, 0], [20, 4, 9, 0, 0], [7, 2, 19, 0, 2], [0, 0, 0, 2, 16], [0, 0, 2, 0, 36]], [[64, 1, 2, 0, 0], [22, 4, 7, 0, 0], [6, 4, 19, 0, 1], [0, 0, 8, 0, 10], [1, 0, 3, 0, 34]], [[61, 4, 3, 0, 0], [24, 3, 6, 0, 0], [16, 0, 13, 0, 0], [1, 0, 3, 1, 13], [1, 1, 4, 0, 32]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.6901075268817205,0.5425392444367776,0.676510067114094,0.5483870967741935,0.10463624556528708,0.08332539544574383,"[0.6505376344086021, 0.676510067114094, 0.5436241610738255, 0.8080536912751678, 0.7718120805369127]","[0.4385026737967914, 0.5483870967741935, 0.4838709677419355, 0.6451612903225806, 0.5967741935483871]","[[[61, 3, 0, 3, 1], [11, 0, 2, 21, 0], [5, 3, 3, 18, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[47, 1, 3, 14, 2], [15, 0, 11, 6, 1], [5, 0, 15, 10, 0], [0, 0, 0, 10, 8], [0, 0, 0, 8, 30]], [[43, 4, 1, 18, 1], [9, 3, 10, 11, 0], [1, 0, 11, 18, 0], [0, 0, 0, 12, 6], [0, 0, 0, 17, 21]], [[60, 0, 6, 0, 1], [16, 2, 14, 0, 1], [2, 3, 24, 0, 1], [1, 0, 3, 0, 14], [1, 0, 2, 1, 34]], [[62, 1, 4, 1, 0], [19, 3, 5, 1, 5], [9, 1, 10, 0, 9], [0, 0, 2, 2, 14], [1, 0, 2, 1, 34]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.5918542974669843,0.5122994652406417,0.6067114093959731,0.5161290322580645,0.05328920455054364,0.04828779197048186,"[0.657258064516129, 0.5704697986577181, 0.610738255033557, 0.5140939597315436, 0.6067114093959731]","[0.5614973262032086, 0.43548387096774194, 0.5161290322580645, 0.5053763440860215, 0.543010752688172]","[[[60, 2, 5, 1, 0], [26, 3, 5, 0, 0], [15, 2, 10, 1, 1], [1, 0, 2, 11, 4], [1, 3, 2, 11, 21]], [[49, 13, 5, 0, 0], [20, 4, 9, 0, 0], [11, 6, 13, 0, 0], [1, 1, 3, 12, 1], [0, 0, 3, 32, 3]], [[57, 7, 3, 0, 0], [21, 4, 6, 0, 2], [8, 6, 14, 2, 0], [0, 0, 0, 12, 6], [0, 0, 2, 27, 9]], [[60, 3, 3, 1, 0], [22, 3, 8, 0, 0], [14, 0, 12, 1, 3], [2, 0, 6, 3, 7], [0, 2, 3, 17, 16]], [[62, 5, 1, 0, 0], [18, 6, 8, 0, 1], [16, 8, 4, 0, 1], [0, 0, 5, 7, 6], [0, 3, 10, 3, 22]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9975828101320632,0.5866252659421539,0.9973154362416108,0.6021505376344086,0.0017513680235443137,0.08630700158416067,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.4385026737967914, 0.6290322580645161, 0.6021505376344086, 0.6612903225806451, 0.6021505376344086]","[[[51, 10, 7, 0, 0], [26, 4, 2, 2, 0], [12, 3, 10, 2, 2], [0, 1, 0, 16, 1], [1, 0, 0, 36, 1]], [[54, 12, 1, 0, 0], [20, 9, 4, 0, 0], [8, 7, 15, 0, 0], [0, 3, 2, 8, 5], [0, 0, 0, 7, 31]], [[50, 10, 7, 0, 0], [18, 5, 9, 0, 1], [4, 4, 20, 2, 0], [0, 0, 0, 3, 15], [0, 0, 1, 3, 34]], [[63, 2, 2, 0, 0], [17, 3, 11, 0, 2], [4, 1, 24, 0, 1], [0, 0, 9, 0, 9], [2, 0, 3, 0, 33]], [[61, 5, 2, 0, 0], [24, 5, 4, 0, 0], [10, 6, 12, 0, 1], [0, 0, 3, 2, 13], [0, 0, 5, 1, 32]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.8566053258281012,0.6037605658099017,0.8548387096774194,0.6075268817204301,0.02441297879953338,0.06551095347229377,"[0.8548387096774194, 0.8697986577181208, 0.8201342281879195, 0.8859060402684564, 0.8523489932885906]","[0.5026737967914439, 0.6075268817204301, 0.6612903225806451, 0.6612903225806451, 0.5860215053763441]","[[[63, 3, 2, 0, 0], [29, 2, 2, 1, 0], [15, 1, 11, 1, 1], [0, 0, 0, 18, 0], [2, 0, 0, 36, 0]], [[59, 5, 2, 0, 1], [24, 5, 4, 0, 0], [11, 8, 11, 0, 0], [0, 6, 0, 2, 10], [0, 1, 0, 1, 36]], [[62, 2, 3, 0, 0], [21, 1, 11, 0, 0], [9, 2, 19, 0, 0], [0, 1, 0, 4, 13], [0, 0, 1, 0, 37]], [[62, 5, 0, 0, 0], [20, 3, 10, 0, 0], [4, 2, 23, 1, 0], [1, 0, 7, 1, 9], [0, 2, 1, 1, 34]], [[65, 1, 2, 0, 0], [25, 3, 5, 0, 0], [18, 1, 9, 1, 0], [0, 0, 5, 1, 12], [3, 0, 3, 1, 31]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
