,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6554849534531284,0.5779656143982519,0.6577181208053692,0.5913978494623656,0.01865716383810127,0.0703430147191679,"[0.6814516129032258, 0.6630872483221476, 0.6348993288590604, 0.640268456375839, 0.6577181208053692]","[0.4919786096256685, 0.5913978494623656, 0.6612903225806451, 0.6236559139784946, 0.521505376344086]","[[[56, 8, 4, 0, 0], [6, 6, 8, 14, 0], [4, 4, 12, 9, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[50, 8, 9, 0, 0], [26, 2, 5, 0, 0], [19, 4, 7, 0, 0], [0, 0, 0, 15, 3], [0, 0, 0, 2, 36]], [[54, 3, 10, 0, 0], [20, 2, 11, 0, 0], [6, 3, 20, 1, 0], [0, 0, 0, 10, 8], [0, 0, 0, 1, 37]], [[61, 5, 1, 0, 0], [17, 4, 12, 0, 0], [5, 4, 21, 0, 0], [0, 0, 5, 0, 13], [1, 0, 7, 0, 30]], [[51, 11, 6, 0, 0], [20, 5, 7, 0, 1], [13, 2, 13, 0, 1], [0, 0, 5, 0, 13], [0, 0, 10, 0, 28]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.943874576026557,0.5779426139957449,0.9436241610738255,0.5860215053763441,0.007994913129595474,0.05166055418221885,"[0.9327956989247311, 0.9543624161073826, 0.9409395973154362, 0.9436241610738255, 0.9476510067114094]","[0.5133689839572193, 0.5376344086021505, 0.6182795698924731, 0.6344086021505376, 0.5860215053763441]","[[[60, 7, 1, 0, 0], [16, 6, 3, 9, 0], [6, 7, 8, 8, 0], [0, 0, 0, 18, 0], [0, 0, 0, 34, 4]], [[45, 17, 5, 0, 0], [19, 5, 9, 0, 0], [6, 11, 13, 0, 0], [0, 0, 0, 6, 12], [0, 0, 0, 7, 31]], [[41, 17, 9, 0, 0], [9, 10, 14, 0, 0], [2, 3, 25, 0, 0], [0, 0, 0, 4, 14], [0, 0, 1, 2, 35]], [[66, 0, 1, 0, 0], [15, 8, 10, 0, 0], [3, 8, 17, 1, 1], [0, 0, 0, 2, 16], [4, 0, 0, 9, 25]], [[54, 8, 6, 0, 0], [14, 12, 6, 1, 0], [8, 9, 11, 1, 0], [0, 0, 2, 4, 12], [0, 0, 0, 10, 28]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.689845204589738,0.5843942268989707,0.6885906040268457,0.5913978494623656,0.01082024176481905,0.04718895059885675,"[0.6733870967741935, 0.6885906040268457, 0.6966442953020134, 0.6885906040268457, 0.702013422818792]","[0.5133689839572193, 0.5913978494623656, 0.6397849462365591, 0.6075268817204301, 0.5698924731182796]","[[[67, 0, 1, 0, 0], [22, 1, 2, 9, 0], [6, 7, 8, 8, 0], [0, 0, 0, 18, 0], [0, 0, 0, 36, 2]], [[63, 2, 2, 0, 0], [28, 0, 5, 0, 0], [21, 3, 6, 0, 0], [0, 0, 0, 4, 14], [0, 0, 0, 1, 37]], [[60, 2, 5, 0, 0], [26, 3, 4, 0, 0], [10, 2, 18, 0, 0], [0, 0, 0, 0, 18], [0, 0, 0, 0, 38]], [[66, 0, 1, 0, 0], [26, 0, 7, 0, 0], [12, 3, 14, 0, 1], [2, 0, 1, 0, 15], [5, 0, 0, 0, 33]], [[64, 3, 1, 0, 0], [27, 2, 3, 0, 1], [20, 1, 7, 0, 1], [0, 0, 2, 0, 16], [1, 0, 4, 0, 33]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7446250992278272,0.5704329825771951,0.7476510067114094,0.5752688172043011,0.010028258326069345,0.046570381447139125,"[0.728494623655914, 0.7476510067114094, 0.7422818791946308, 0.7503355704697987, 0.7543624161073825]","[0.49732620320855614, 0.5752688172043011, 0.5645161290322581, 0.6236559139784946, 0.5913978494623656]","[[[57, 11, 0, 0, 0], [19, 6, 1, 8, 0], [6, 4, 12, 7, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[57, 8, 2, 0, 0], [26, 1, 6, 0, 0], [17, 7, 6, 0, 0], [0, 0, 0, 9, 9], [0, 0, 0, 4, 34]], [[53, 8, 6, 0, 0], [22, 6, 5, 0, 0], [12, 9, 8, 1, 0], [0, 0, 0, 2, 16], [0, 0, 1, 1, 36]], [[59, 7, 1, 0, 0], [16, 12, 4, 1, 0], [10, 8, 12, 0, 0], [1, 1, 0, 4, 12], [3, 2, 1, 3, 29]], [[58, 8, 2, 0, 0], [20, 9, 4, 0, 0], [14, 8, 7, 0, 0], [0, 0, 1, 2, 15], [1, 0, 2, 1, 34]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,1.0,0.42753148180093153,1.0,0.41397849462365593,0.0,0.04607352494120858,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.39572192513368987, 0.41397849462365593, 0.5053763440860215, 0.43010752688172044, 0.3924731182795699]","[[[35, 13, 16, 1, 3], [11, 6, 8, 5, 4], [7, 4, 9, 9, 0], [0, 0, 1, 16, 1], [0, 0, 1, 29, 8]], [[32, 23, 7, 3, 2], [18, 7, 6, 0, 2], [9, 10, 9, 2, 0], [0, 0, 2, 6, 10], [0, 1, 2, 12, 23]], [[38, 14, 12, 0, 3], [15, 13, 4, 1, 0], [14, 4, 8, 2, 2], [0, 0, 3, 10, 5], [1, 2, 2, 8, 25]], [[37, 15, 12, 1, 2], [17, 10, 5, 1, 0], [7, 7, 12, 2, 2], [1, 2, 2, 2, 11], [1, 0, 6, 12, 19]], [[33, 24, 11, 0, 0], [20, 3, 9, 0, 1], [13, 10, 5, 0, 1], [0, 2, 3, 5, 8], [2, 0, 3, 6, 27]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,1.0,0.5736300385256741,1.0,0.5967741935483871,0.0,0.10094947717526592,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5240641711229946, 0.42473118279569894, 0.6505376344086021, 0.6720430107526881, 0.5967741935483871]","[[[67, 1, 0, 0, 0], [14, 4, 14, 2, 0], [7, 8, 7, 7, 0], [0, 0, 0, 18, 0], [0, 0, 1, 35, 2]], [[26, 37, 4, 0, 0], [29, 0, 4, 0, 0], [10, 11, 9, 0, 0], [0, 0, 0, 7, 11], [0, 0, 0, 1, 37]], [[53, 4, 10, 0, 0], [17, 4, 12, 0, 0], [5, 0, 25, 0, 0], [0, 0, 0, 1, 17], [0, 0, 0, 0, 38]], [[66, 0, 1, 0, 0], [23, 5, 5, 0, 0], [8, 2, 19, 0, 1], [0, 0, 2, 0, 16], [2, 1, 0, 0, 35]], [[62, 4, 2, 0, 0], [25, 4, 3, 1, 0], [13, 6, 10, 0, 0], [1, 0, 1, 0, 16], [1, 0, 1, 1, 35]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8614335714801182,0.5296130182278189,0.8697986577181208,0.543010752688172,0.014171642217455286,0.04725057940598621,"[0.8400537634408602, 0.8697986577181208, 0.87248322147651, 0.8536912751677852, 0.8711409395973154]","[0.45989304812834225, 0.510752688172043, 0.5860215053763441, 0.543010752688172, 0.5483870967741935]","[[[55, 10, 0, 3, 0], [14, 7, 2, 11, 0], [4, 14, 1, 9, 1], [0, 0, 1, 17, 0], [0, 0, 1, 31, 6]], [[42, 18, 4, 2, 1], [17, 9, 6, 1, 0], [8, 12, 6, 3, 1], [0, 0, 0, 9, 9], [0, 0, 0, 9, 29]], [[36, 15, 14, 1, 1], [5, 11, 16, 1, 0], [1, 2, 24, 2, 1], [0, 1, 0, 6, 11], [0, 0, 1, 5, 32]], [[65, 0, 1, 0, 1], [19, 3, 10, 1, 0], [10, 5, 12, 2, 1], [1, 0, 1, 3, 13], [8, 0, 1, 11, 18]], [[51, 7, 7, 0, 3], [21, 8, 4, 0, 0], [8, 4, 15, 1, 1], [0, 0, 4, 3, 11], [1, 1, 2, 9, 25]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.5585270982175075,0.4575815076763844,0.5355704697986577,0.44919786096256686,0.05883612433634395,0.03484678755259179,"[0.5134408602150538, 0.5355704697986577, 0.5812080536912752, 0.5114093959731544, 0.6510067114093959]","[0.44919786096256686, 0.42473118279569894, 0.44086021505376344, 0.5161290322580645, 0.45698924731182794]","[[[59, 6, 3, 0, 0], [15, 1, 16, 1, 1], [11, 4, 9, 5, 0], [0, 0, 0, 13, 5], [0, 0, 1, 35, 2]], [[52, 7, 8, 0, 0], [26, 2, 5, 0, 0], [18, 2, 9, 0, 1], [0, 0, 3, 14, 1], [1, 0, 2, 33, 2]], [[39, 9, 19, 0, 0], [17, 8, 7, 0, 1], [7, 10, 12, 0, 1], [0, 0, 1, 13, 4], [0, 0, 0, 28, 10]], [[67, 0, 0, 0, 0], [27, 0, 1, 0, 5], [20, 0, 0, 0, 10], [2, 0, 0, 7, 9], [5, 0, 1, 10, 22]], [[35, 21, 12, 0, 0], [18, 7, 8, 0, 0], [3, 9, 17, 0, 0], [0, 1, 7, 3, 7], [1, 2, 7, 5, 23]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,1.0,0.5864527629233511,1.0,0.5989304812834224,0.0,0.08405570378390796,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5989304812834224, 0.4946236559139785, 0.6559139784946236, 0.6774193548387096, 0.5053763440860215]","[[[65, 3, 0, 0, 0], [12, 7, 8, 7, 0], [10, 5, 5, 8, 1], [0, 0, 0, 18, 0], [0, 0, 2, 19, 17]], [[23, 24, 20, 0, 0], [30, 1, 2, 0, 0], [7, 1, 22, 0, 0], [0, 0, 1, 11, 6], [0, 0, 0, 3, 35]], [[50, 10, 6, 1, 0], [10, 8, 15, 0, 0], [3, 2, 25, 0, 0], [0, 0, 0, 1, 17], [0, 0, 0, 0, 38]], [[66, 0, 1, 0, 0], [22, 11, 0, 0, 0], [10, 4, 15, 1, 0], [1, 0, 4, 3, 10], [4, 0, 0, 3, 31]], [[40, 22, 6, 0, 0], [14, 15, 3, 1, 0], [12, 7, 10, 0, 0], [0, 2, 3, 2, 11], [4, 2, 2, 3, 27]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.9540806090784443,0.5779368638951181,0.9503355704697987,0.5806451612903226,0.006475048455446354,0.04354606765312804,"[0.9502688172043011, 0.9610738255033557, 0.9503355704697987, 0.9476510067114094, 0.9610738255033557]","[0.5187165775401069, 0.553763440860215, 0.6290322580645161, 0.6075268817204301, 0.5806451612903226]","[[[63, 5, 0, 0, 0], [21, 5, 1, 7, 0], [6, 8, 7, 8, 0], [0, 0, 0, 18, 0], [0, 0, 0, 34, 4]], [[49, 12, 6, 0, 0], [20, 5, 8, 0, 0], [11, 9, 10, 0, 0], [0, 0, 0, 7, 11], [0, 0, 0, 6, 32]], [[47, 12, 8, 0, 0], [15, 7, 11, 0, 0], [2, 3, 25, 0, 0], [0, 0, 0, 3, 15], [0, 0, 1, 2, 35]], [[66, 0, 1, 0, 0], [18, 6, 9, 0, 0], [5, 9, 16, 0, 0], [0, 1, 1, 1, 15], [4, 1, 1, 8, 24]], [[58, 8, 2, 0, 0], [20, 10, 3, 0, 0], [10, 10, 9, 0, 0], [0, 1, 2, 2, 13], [2, 0, 2, 5, 29]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
