,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.6691798369055351,0.605916853544937,0.6604026845637584,0.6559139784946236,0.01699771325655735,0.07606586363881088,"[0.6948924731182796, 0.6590604026845638, 0.6604026845637584, 0.6536912751677852, 0.6778523489932886]","[0.49732620320855614, 0.6559139784946236, 0.6612903225806451, 0.6612903225806451, 0.553763440860215]","[[[56, 9, 3, 0, 0], [9, 5, 4, 16, 0], [3, 4, 14, 8, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[54, 7, 6, 0, 0], [26, 1, 6, 0, 0], [12, 4, 14, 0, 0], [0, 0, 0, 18, 0], [0, 0, 0, 3, 35]], [[47, 4, 16, 0, 0], [13, 10, 10, 0, 0], [3, 3, 21, 0, 3], [0, 0, 0, 7, 11], [0, 0, 0, 0, 38]], [[59, 3, 5, 0, 0], [14, 4, 15, 0, 0], [0, 2, 28, 0, 0], [0, 0, 8, 0, 10], [0, 0, 6, 0, 32]], [[52, 13, 3, 0, 0], [18, 5, 10, 0, 0], [12, 2, 14, 0, 1], [0, 0, 2, 0, 16], [0, 0, 6, 0, 32]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.8071967236775637,0.616646541314473,0.8053691275167785,0.5967741935483871,0.00956226077602849,0.09137735236920048,"[0.8077956989247311, 0.8053691275167785, 0.7973154362416107, 0.8026845637583893, 0.8228187919463087]","[0.5187165775401069, 0.5967741935483871, 0.6827956989247311, 0.7365591397849462, 0.5483870967741935]","[[[57, 11, 0, 0, 0], [16, 6, 11, 1, 0], [3, 6, 14, 6, 0], [0, 0, 0, 18, 0], [0, 0, 0, 36, 2]], [[55, 8, 4, 0, 0], [18, 10, 5, 0, 0], [8, 13, 8, 0, 1], [0, 0, 1, 3, 14], [0, 0, 0, 3, 35]], [[57, 2, 7, 0, 1], [11, 8, 14, 0, 0], [4, 5, 21, 0, 0], [0, 0, 0, 5, 13], [0, 0, 0, 2, 36]], [[64, 3, 0, 0, 0], [13, 8, 12, 0, 0], [2, 3, 25, 0, 0], [0, 0, 4, 2, 12], [0, 0, 0, 0, 38]], [[57, 11, 0, 0, 0], [17, 10, 6, 0, 0], [11, 8, 9, 0, 1], [0, 0, 2, 2, 14], [0, 0, 1, 13, 24]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.5964010969185249,0.5607210626185959,0.5959731543624162,0.5591397849462365,0.010536450467911036,0.02421472617190633,"[0.5940860215053764, 0.5973154362416108, 0.5825503355704698, 0.5959731543624162, 0.6120805369127517]","[0.5294117647058824, 0.5645161290322581, 0.5967741935483871, 0.553763440860215, 0.5591397849462365]","[[[68, 0, 0, 0, 0], [34, 0, 0, 0, 0], [23, 3, 1, 1, 1], [0, 0, 0, 12, 6], [4, 0, 0, 16, 18]], [[67, 0, 0, 0, 0], [33, 0, 0, 0, 0], [27, 0, 1, 0, 2], [0, 1, 0, 0, 17], [0, 1, 0, 0, 37]], [[66, 1, 0, 0, 0], [31, 2, 0, 0, 0], [17, 3, 5, 0, 5], [0, 2, 0, 0, 16], [0, 0, 0, 0, 38]], [[67, 0, 0, 0, 0], [29, 0, 3, 0, 1], [20, 1, 2, 0, 7], [1, 0, 0, 0, 17], [4, 0, 0, 0, 34]], [[68, 0, 0, 0, 0], [33, 0, 0, 0, 0], [24, 2, 1, 0, 2], [1, 0, 0, 0, 17], [3, 0, 0, 0, 35]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7422122393014361,0.5768845954804209,0.7422818791946308,0.5860215053763441,0.008661948174849247,0.05333978654311597,"[0.7405913978494624, 0.7516778523489933, 0.7422818791946308, 0.7288590604026846, 0.7476510067114094]","[0.49732620320855614, 0.5860215053763441, 0.6182795698924731, 0.6290322580645161, 0.553763440860215]","[[[59, 8, 1, 0, 0], [23, 3, 5, 3, 0], [9, 3, 13, 4, 0], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[57, 6, 4, 0, 0], [27, 4, 2, 0, 0], [14, 7, 9, 0, 0], [0, 0, 2, 5, 11], [0, 1, 0, 3, 34]], [[51, 7, 9, 0, 0], [16, 6, 11, 0, 0], [7, 3, 19, 0, 1], [0, 0, 0, 4, 14], [0, 0, 1, 2, 35]], [[60, 3, 4, 0, 0], [18, 4, 11, 0, 0], [4, 9, 17, 0, 0], [0, 0, 5, 4, 9], [0, 1, 3, 2, 32]], [[56, 10, 2, 0, 0], [22, 4, 7, 0, 0], [16, 3, 8, 1, 1], [0, 0, 3, 0, 15], [1, 0, 1, 1, 35]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9983885400880421,0.5005692599620494,0.9973154362416108,0.4838709677419355,0.0014710556447074374,0.043832149990556755,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.47058823529411764, 0.5161290322580645, 0.4838709677419355, 0.5698924731182796, 0.46236559139784944]","[[[44, 14, 9, 1, 0], [11, 11, 8, 3, 1], [5, 5, 14, 4, 1], [0, 1, 0, 11, 6], [4, 3, 3, 20, 8]], [[48, 14, 5, 0, 0], [21, 3, 7, 1, 1], [12, 6, 12, 0, 0], [0, 0, 1, 8, 9], [0, 0, 4, 9, 25]], [[35, 14, 16, 1, 1], [12, 10, 9, 1, 1], [3, 10, 13, 1, 3], [0, 2, 4, 3, 9], [0, 1, 2, 6, 29]], [[50, 8, 9, 0, 0], [12, 11, 9, 0, 1], [5, 7, 13, 2, 3], [0, 1, 7, 2, 8], [2, 1, 2, 3, 30]], [[41, 21, 6, 0, 0], [19, 8, 6, 0, 0], [6, 9, 12, 0, 2], [1, 0, 4, 1, 12], [2, 0, 3, 9, 24]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9983885400880421,0.6134207348628601,0.9973154362416108,0.6075268817204301,0.0014710556447074374,0.06545348977075657,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.5187165775401069, 0.5913978494623656, 0.6827956989247311, 0.6666666666666666, 0.6075268817204301]","[[[60, 7, 1, 0, 0], [17, 6, 8, 3, 0], [6, 5, 13, 4, 1], [0, 0, 0, 18, 0], [0, 0, 0, 38, 0]], [[56, 7, 4, 0, 0], [26, 3, 4, 0, 0], [12, 7, 10, 0, 1], [0, 0, 0, 5, 13], [0, 1, 0, 1, 36]], [[54, 5, 8, 0, 0], [21, 7, 5, 0, 0], [2, 3, 24, 0, 1], [0, 0, 1, 4, 13], [0, 0, 0, 0, 38]], [[60, 4, 3, 0, 0], [17, 3, 13, 0, 0], [0, 4, 26, 0, 0], [0, 1, 6, 0, 11], [0, 0, 3, 0, 35]], [[59, 9, 0, 0, 0], [23, 6, 4, 0, 0], [12, 1, 14, 0, 2], [0, 1, 0, 0, 17], [0, 0, 3, 1, 34]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8496229342570543,0.5876142832499568,0.8454301075268817,0.5591397849462365,0.010799876315260288,0.06453177591584837,"[0.8454301075268817, 0.8550335570469799, 0.8429530201342282, 0.8389261744966443, 0.8657718120805369]","[0.5187165775401069, 0.5591397849462365, 0.6451612903225806, 0.6666666666666666, 0.5483870967741935]","[[[57, 10, 1, 0, 0], [8, 8, 7, 11, 0], [3, 6, 11, 9, 0], [0, 0, 0, 17, 1], [0, 1, 0, 33, 4]], [[51, 10, 5, 1, 0], [16, 5, 12, 0, 0], [6, 10, 13, 0, 1], [0, 1, 1, 6, 10], [0, 1, 1, 7, 29]], [[57, 1, 8, 0, 1], [15, 4, 14, 0, 0], [4, 7, 18, 1, 0], [0, 0, 0, 8, 10], [0, 0, 0, 5, 33]], [[60, 5, 2, 0, 0], [15, 6, 12, 0, 0], [2, 6, 22, 0, 0], [1, 1, 1, 1, 14], [0, 1, 1, 1, 35]], [[56, 10, 2, 0, 0], [19, 9, 5, 0, 0], [9, 8, 11, 1, 0], [0, 1, 1, 1, 15], [0, 0, 4, 9, 25]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.5797506675326549,0.5112701972284516,0.571236559139785,0.510752688172043,0.04938836857753425,0.0419172032314668,"[0.571236559139785, 0.6348993288590604, 0.5664429530201343, 0.508724832214765, 0.6174496644295302]","[0.5187165775401069, 0.5752688172043011, 0.46236559139784944, 0.489247311827957, 0.510752688172043]","[[[57, 7, 4, 0, 0], [13, 3, 18, 0, 0], [3, 4, 19, 2, 1], [0, 0, 0, 16, 2], [0, 0, 3, 33, 2]], [[57, 4, 6, 0, 0], [29, 2, 2, 0, 0], [14, 8, 8, 0, 0], [0, 0, 0, 6, 12], [0, 0, 1, 3, 34]], [[46, 5, 16, 0, 0], [16, 6, 10, 0, 1], [3, 6, 21, 0, 0], [0, 0, 2, 11, 5], [0, 0, 0, 36, 2]], [[57, 1, 9, 0, 0], [23, 1, 9, 0, 0], [11, 2, 16, 0, 1], [0, 0, 10, 5, 3], [0, 2, 7, 17, 12]], [[60, 2, 6, 0, 0], [21, 4, 7, 1, 0], [9, 6, 13, 1, 0], [0, 0, 4, 7, 7], [1, 1, 9, 16, 11]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9983885400880421,0.6123742165487895,0.9973154362416108,0.6075268817204301,0.0014710556447074374,0.07715759461493266,"[0.9973118279569892, 1.0, 0.9973154362416108, 0.9973154362416108, 1.0]","[0.4919786096256685, 0.6075268817204301, 0.6827956989247311, 0.6774193548387096, 0.6021505376344086]","[[[57, 10, 1, 0, 0], [13, 6, 10, 5, 0], [4, 8, 13, 4, 0], [0, 0, 0, 16, 2], [0, 0, 1, 37, 0]], [[55, 7, 5, 0, 0], [22, 7, 4, 0, 0], [9, 8, 13, 0, 0], [0, 0, 0, 5, 13], [0, 1, 0, 4, 33]], [[55, 3, 9, 0, 0], [15, 10, 7, 1, 0], [2, 6, 22, 0, 0], [0, 0, 1, 3, 14], [0, 0, 0, 1, 37]], [[59, 3, 5, 0, 0], [17, 6, 10, 0, 0], [0, 3, 27, 0, 0], [0, 1, 8, 1, 8], [0, 0, 5, 0, 33]], [[60, 7, 1, 0, 0], [17, 10, 6, 0, 0], [11, 6, 11, 0, 1], [0, 0, 2, 1, 15], [1, 1, 1, 5, 30]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.8869495561809915,0.6176988097291702,0.8870967741935484,0.5860215053763441,0.01144418376778762,0.07358702762686922,"[0.8870967741935484, 0.8939597315436242, 0.876510067114094, 0.8751677852348994, 0.9020134228187919]","[0.5401069518716578, 0.5860215053763441, 0.6935483870967742, 0.6989247311827957, 0.5698924731182796]","[[[59, 9, 0, 0, 0], [15, 6, 9, 4, 0], [4, 3, 16, 6, 0], [0, 0, 0, 18, 0], [0, 0, 0, 36, 2]], [[56, 7, 4, 0, 0], [23, 4, 6, 0, 0], [11, 8, 11, 0, 0], [0, 1, 0, 5, 12], [0, 2, 0, 3, 33]], [[60, 0, 7, 0, 0], [17, 3, 13, 0, 0], [4, 4, 22, 0, 0], [0, 0, 0, 7, 11], [0, 0, 0, 1, 37]], [[62, 5, 0, 0, 0], [17, 4, 12, 0, 0], [2, 2, 26, 0, 0], [1, 0, 5, 1, 11], [0, 1, 0, 0, 37]], [[62, 6, 0, 0, 0], [22, 7, 4, 0, 0], [11, 7, 10, 0, 1], [0, 0, 2, 1, 15], [0, 0, 4, 8, 26]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
