,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.3695013350653099,0.31911908458398025,0.3624161073825503,0.2903225806451613,0.016577457336681454,0.08565559382173726,"[0.3924731182795699, 0.35436241610738256, 0.3624161073825503, 0.35704697986577183, 0.3812080536912752]","[0.2192513368983957, 0.44086021505376344, 0.2903225806451613, 0.27956989247311825, 0.3655913978494624]","[[[15, 8, 42, 1, 2], [1, 0, 3, 28, 2], [1, 0, 9, 10, 9], [1, 0, 0, 16, 1], [0, 0, 0, 37, 1]], [[26, 5, 30, 1, 5], [4, 0, 20, 1, 8], [3, 1, 11, 1, 14], [0, 0, 0, 14, 4], [0, 1, 1, 5, 31]], [[4, 1, 55, 0, 7], [4, 2, 20, 2, 5], [2, 1, 6, 0, 21], [0, 0, 0, 8, 10], [0, 0, 4, 0, 34]], [[4, 0, 53, 1, 9], [5, 1, 10, 2, 15], [1, 1, 9, 0, 19], [0, 0, 1, 0, 17], [0, 0, 0, 0, 38]], [[21, 11, 22, 3, 11], [10, 4, 10, 0, 9], [5, 0, 8, 0, 16], [0, 0, 1, 0, 17], [0, 0, 3, 0, 35]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.9887197806162951,0.5951699154735207,0.9892617449664429,0.5913978494623656,0.005173057362916996,0.06614717111160066,"[0.9811827956989247, 0.9892617449664429, 0.9865771812080537, 0.9946308724832215, 0.9919463087248322]","[0.4919786096256685, 0.6505376344086021, 0.6559139784946236, 0.5860215053763441, 0.5913978494623656]","[[[55, 11, 2, 0, 0], [16, 6, 5, 7, 0], [5, 9, 8, 7, 0], [0, 0, 0, 18, 0], [0, 3, 0, 30, 5]], [[53, 9, 5, 0, 0], [14, 10, 9, 0, 0], [1, 10, 16, 2, 1], [0, 0, 1, 11, 6], [0, 0, 1, 6, 31]], [[56, 7, 3, 0, 1], [15, 9, 8, 0, 1], [3, 6, 16, 1, 4], [0, 2, 1, 8, 7], [0, 0, 3, 2, 33]], [[62, 3, 2, 0, 0], [12, 5, 10, 5, 1], [2, 5, 12, 6, 5], [1, 2, 2, 7, 6], [0, 0, 10, 5, 23]], [[52, 11, 4, 1, 0], [12, 12, 8, 0, 1], [4, 6, 15, 0, 4], [0, 1, 3, 6, 8], [2, 1, 6, 4, 25]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.6044540665367684,0.4995802426542465,0.6080536912751678,0.5161290322580645,0.007913070022344456,0.06210415674107509,"[0.5913978494623656, 0.6093959731543624, 0.6026845637583893, 0.610738255033557, 0.6080536912751678]","[0.39037433155080214, 0.5161290322580645, 0.543010752688172, 0.5161290322580645, 0.532258064516129]","[[[67, 0, 0, 0, 1], [28, 0, 1, 3, 2], [21, 0, 1, 0, 7], [11, 0, 3, 4, 0], [29, 0, 6, 2, 1]], [[62, 4, 0, 0, 1], [33, 0, 0, 0, 0], [21, 1, 3, 0, 5], [3, 2, 0, 0, 13], [3, 1, 3, 0, 31]], [[66, 0, 0, 0, 1], [30, 0, 1, 0, 2], [15, 2, 3, 0, 10], [1, 1, 0, 0, 16], [2, 3, 1, 0, 32]], [[66, 0, 1, 0, 0], [28, 0, 3, 0, 2], [16, 0, 4, 0, 10], [4, 3, 0, 0, 11], [2, 9, 1, 0, 26]], [[64, 1, 0, 0, 3], [30, 0, 0, 0, 3], [21, 0, 3, 0, 5], [3, 0, 1, 0, 14], [3, 0, 3, 0, 32]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7607396983474057,0.5553964694382152,0.7624161073825504,0.5591397849462365,0.004964039522356787,0.04929580584081027,"[0.7553763440860215, 0.7557046979865771, 0.7664429530201342, 0.7624161073825504, 0.763758389261745]","[0.48128342245989303, 0.6021505376344086, 0.5591397849462365, 0.5967741935483871, 0.5376344086021505]","[[[62, 6, 0, 0, 0], [23, 5, 2, 4, 0], [13, 6, 5, 3, 2], [6, 0, 1, 8, 3], [8, 1, 1, 18, 10]], [[62, 2, 3, 0, 0], [22, 5, 6, 0, 0], [16, 7, 7, 0, 0], [0, 0, 0, 7, 11], [2, 1, 1, 3, 31]], [[60, 5, 2, 0, 0], [16, 8, 7, 1, 1], [11, 5, 5, 0, 9], [0, 1, 0, 5, 12], [5, 2, 3, 2, 26]], [[63, 2, 2, 0, 0], [20, 3, 10, 0, 0], [1, 7, 14, 0, 8], [3, 1, 2, 4, 8], [5, 0, 3, 3, 27]], [[63, 3, 2, 0, 0], [20, 8, 4, 0, 1], [12, 8, 6, 0, 3], [1, 1, 5, 2, 9], [7, 3, 4, 3, 21]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,1.0,0.41681329423264907,1.0,0.3924731182795699,0.0,0.055891202150372486,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.36363636363636365, 0.5053763440860215, 0.3924731182795699, 0.3870967741935484, 0.43548387096774194]","[[[41, 17, 8, 1, 1], [3, 5, 5, 17, 4], [3, 8, 5, 10, 3], [3, 1, 0, 12, 2], [5, 4, 0, 24, 5]], [[46, 10, 8, 1, 2], [12, 8, 8, 1, 4], [9, 6, 10, 2, 3], [1, 2, 0, 6, 9], [2, 4, 3, 5, 24]], [[38, 10, 7, 2, 10], [14, 8, 8, 2, 1], [11, 5, 9, 0, 5], [2, 4, 6, 1, 5], [4, 2, 10, 5, 17]], [[40, 6, 7, 8, 6], [15, 4, 8, 5, 1], [7, 8, 10, 2, 3], [3, 3, 1, 3, 8], [11, 7, 4, 1, 15]], [[48, 10, 5, 3, 2], [18, 5, 6, 0, 4], [9, 8, 6, 2, 4], [0, 1, 3, 3, 11], [2, 6, 8, 3, 19]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,1.0,0.5823069403714565,1.0,0.5860215053763441,0.0,0.08174156209023373,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.45454545454545453, 0.6774193548387096, 0.5860215053763441, 0.6182795698924731, 0.5752688172043011]","[[[58, 10, 0, 0, 0], [6, 1, 3, 24, 0], [4, 5, 7, 10, 3], [1, 0, 0, 16, 1], [0, 0, 1, 34, 3]], [[58, 6, 2, 0, 1], [19, 9, 5, 0, 0], [8, 5, 15, 0, 2], [0, 1, 0, 8, 9], [0, 0, 0, 2, 36]], [[58, 6, 2, 0, 1], [23, 2, 6, 0, 2], [4, 4, 12, 1, 9], [0, 1, 0, 5, 12], [2, 1, 3, 0, 32]], [[66, 1, 0, 0, 0], [24, 1, 6, 0, 2], [8, 3, 14, 0, 5], [0, 0, 5, 0, 13], [0, 1, 3, 0, 34]], [[61, 7, 0, 0, 0], [21, 5, 7, 0, 0], [6, 6, 14, 0, 3], [0, 0, 1, 0, 17], [1, 2, 7, 1, 27]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.8472043010752689,0.5962566844919786,0.8469798657718121,0.6236559139784946,0.008789403763442505,0.0676009376387444,"[0.8360215053763441, 0.8483221476510067, 0.8604026845637583, 0.8442953020134228, 0.8469798657718121]","[0.48128342245989303, 0.6397849462365591, 0.6451612903225806, 0.6236559139784946, 0.5913978494623656]","[[[56, 8, 4, 0, 0], [5, 5, 1, 23, 0], [4, 8, 5, 10, 2], [0, 0, 0, 18, 0], [1, 0, 0, 31, 6]], [[55, 8, 3, 0, 1], [15, 10, 7, 1, 0], [1, 13, 14, 2, 0], [0, 0, 1, 11, 6], [0, 0, 2, 7, 29]], [[55, 6, 5, 0, 1], [16, 7, 6, 2, 2], [5, 7, 16, 0, 2], [0, 2, 1, 8, 7], [0, 0, 3, 1, 34]], [[62, 2, 2, 1, 0], [12, 9, 7, 4, 1], [3, 7, 14, 0, 6], [0, 1, 2, 7, 8], [0, 2, 6, 6, 24]], [[54, 8, 6, 0, 0], [11, 14, 7, 0, 1], [3, 10, 11, 1, 4], [1, 2, 4, 3, 8], [0, 1, 6, 3, 28]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.5711557335642634,0.4553907193375884,0.5651006711409396,0.478494623655914,0.025180577051903335,0.056831493414806096,"[0.5551075268817204, 0.5651006711409396, 0.6040268456375839, 0.5422818791946309, 0.5892617449664429]","[0.48663101604278075, 0.489247311827957, 0.46774193548387094, 0.478494623655914, 0.3548387096774194]","[[[49, 12, 7, 0, 0], [8, 4, 1, 9, 12], [2, 3, 9, 6, 9], [0, 0, 0, 2, 16], [2, 0, 1, 8, 27]], [[54, 7, 4, 1, 1], [14, 11, 4, 0, 4], [11, 5, 8, 3, 3], [0, 1, 1, 8, 8], [0, 3, 7, 18, 10]], [[47, 7, 11, 0, 2], [15, 3, 10, 1, 4], [6, 4, 7, 1, 12], [0, 1, 1, 2, 14], [2, 0, 4, 4, 28]], [[50, 6, 7, 0, 4], [13, 9, 6, 3, 2], [6, 8, 6, 1, 9], [0, 3, 3, 0, 12], [0, 2, 10, 2, 24]], [[34, 15, 15, 1, 3], [13, 8, 11, 1, 0], [6, 10, 4, 7, 2], [0, 3, 4, 4, 7], [1, 3, 14, 4, 16]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,1.0,0.5618998332470818,1.0,0.5806451612903226,0.0,0.08371379583435758,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.43315508021390375, 0.6612903225806451, 0.5806451612903226, 0.5913978494623656, 0.543010752688172]","[[[55, 12, 1, 0, 0], [7, 1, 3, 22, 1], [3, 7, 4, 11, 4], [0, 0, 1, 15, 2], [0, 0, 1, 31, 6]], [[58, 8, 1, 0, 0], [18, 12, 3, 0, 0], [6, 7, 13, 1, 3], [0, 3, 0, 6, 9], [0, 0, 1, 3, 34]], [[55, 8, 2, 1, 1], [18, 6, 7, 2, 0], [2, 10, 9, 0, 9], [0, 2, 0, 5, 11], [1, 0, 3, 1, 33]], [[62, 4, 1, 0, 0], [20, 5, 7, 0, 1], [7, 3, 11, 0, 9], [0, 1, 2, 1, 14], [1, 2, 2, 2, 31]], [[56, 11, 1, 0, 0], [18, 9, 6, 0, 0], [3, 12, 11, 0, 3], [0, 1, 3, 1, 13], [0, 3, 9, 2, 24]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.9900638666378004,0.6059341038468172,0.9892617449664429,0.6075268817204301,0.0033716952395393017,0.07607725552377353,"[0.9879032258064516, 0.9892617449664429, 0.9879194630872483, 0.9959731543624161, 0.9892617449664429]","[0.48128342245989303, 0.6559139784946236, 0.6774193548387096, 0.6075268817204301, 0.6075268817204301]","[[[59, 8, 1, 0, 0], [10, 3, 0, 21, 0], [3, 10, 5, 11, 0], [0, 0, 0, 18, 0], [0, 0, 0, 33, 5]], [[58, 6, 3, 0, 0], [16, 10, 7, 0, 0], [1, 13, 14, 2, 0], [0, 0, 1, 11, 6], [0, 0, 2, 7, 29]], [[58, 5, 3, 0, 1], [17, 8, 6, 0, 2], [5, 5, 18, 0, 2], [0, 2, 1, 8, 7], [0, 0, 3, 1, 34]], [[64, 2, 1, 0, 0], [14, 7, 8, 3, 1], [6, 8, 12, 0, 4], [2, 1, 3, 5, 7], [0, 1, 7, 5, 25]], [[57, 7, 4, 0, 0], [12, 13, 7, 0, 1], [4, 9, 13, 0, 3], [1, 1, 4, 3, 9], [0, 2, 6, 3, 27]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
