,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.7548376271920328,0.5715600023000402,0.7503355704697987,0.5806451612903226,0.009677238030783585,0.07260480915688582,"[0.7701612903225806, 0.7463087248322148, 0.7503355704697987, 0.7583892617449665, 0.748993288590604]","[0.44919786096256686, 0.5752688172043011, 0.5806451612903226, 0.6236559139784946, 0.6290322580645161]","[[[49, 15, 4, 0, 0], [7, 7, 4, 16, 0], [2, 5, 15, 7, 0], [4, 4, 0, 10, 0], [7, 8, 2, 18, 3]], [[50, 11, 5, 0, 1], [16, 8, 9, 0, 0], [10, 4, 13, 0, 3], [3, 5, 0, 6, 4], [0, 0, 1, 7, 30]], [[45, 11, 8, 2, 1], [18, 4, 11, 0, 0], [3, 7, 20, 0, 0], [1, 3, 1, 7, 6], [2, 2, 0, 2, 32]], [[56, 3, 7, 0, 1], [9, 9, 15, 0, 0], [4, 4, 20, 0, 2], [0, 0, 4, 0, 14], [3, 0, 4, 0, 31]], [[59, 7, 1, 0, 1], [10, 13, 10, 0, 0], [9, 8, 11, 0, 1], [1, 3, 0, 3, 11], [2, 0, 1, 4, 31]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.9975828101320632,0.6016732792823873,0.9973154362416108,0.6290322580645161,0.0017513680235443137,0.09303953024401414,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.44385026737967914, 0.6290322580645161, 0.6827956989247311, 0.6505376344086021, 0.6021505376344086]","[[[48, 16, 4, 0, 0], [6, 3, 3, 21, 1], [4, 6, 10, 9, 0], [1, 0, 0, 15, 2], [2, 1, 0, 28, 7]], [[51, 11, 2, 1, 2], [8, 9, 16, 0, 0], [9, 4, 16, 0, 1], [0, 1, 3, 7, 7], [0, 1, 0, 3, 34]], [[55, 8, 4, 0, 0], [16, 11, 6, 0, 0], [2, 7, 21, 0, 0], [0, 0, 0, 6, 12], [1, 0, 0, 3, 34]], [[63, 0, 3, 0, 1], [11, 6, 13, 3, 0], [2, 6, 17, 3, 2], [0, 0, 1, 3, 14], [0, 0, 1, 5, 32]], [[55, 10, 3, 0, 0], [18, 8, 7, 0, 0], [4, 7, 17, 0, 1], [1, 3, 1, 2, 11], [0, 0, 4, 4, 30]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.76182001876308,0.6069863722615145,0.7624161073825504,0.6290322580645161,0.014570581778666996,0.07047440477978142,"[0.7795698924731183, 0.7436241610738255, 0.7516778523489933, 0.7624161073825504, 0.7718120805369127]","[0.5026737967914439, 0.6290322580645161, 0.6666666666666666, 0.6666666666666666, 0.5698924731182796]","[[[55, 12, 1, 0, 0], [8, 7, 2, 17, 0], [4, 6, 11, 8, 0], [1, 1, 0, 15, 1], [3, 0, 0, 29, 6]], [[49, 9, 6, 1, 2], [11, 10, 12, 0, 0], [8, 5, 16, 1, 0], [0, 2, 0, 9, 7], [2, 1, 0, 2, 33]], [[57, 5, 4, 0, 1], [16, 7, 9, 0, 1], [5, 4, 21, 0, 0], [0, 0, 0, 3, 15], [0, 1, 1, 0, 36]], [[65, 0, 1, 0, 1], [11, 5, 14, 1, 2], [1, 4, 20, 1, 4], [1, 0, 3, 0, 14], [1, 0, 3, 0, 34]], [[56, 6, 5, 1, 0], [19, 5, 8, 1, 0], [8, 4, 16, 0, 1], [0, 3, 1, 0, 14], [0, 4, 5, 0, 29]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7663808905246446,0.5747915588522798,0.7691275167785235,0.6021505376344086,0.009979891164224059,0.07713987859014171,"[0.7688172043010753, 0.748993288590604, 0.774496644295302, 0.7704697986577181, 0.7691275167785235]","[0.44385026737967914, 0.6021505376344086, 0.6290322580645161, 0.6290322580645161, 0.5698924731182796]","[[[51, 14, 2, 0, 1], [2, 4, 2, 25, 1], [3, 5, 5, 12, 4], [0, 0, 1, 16, 1], [0, 0, 0, 31, 7]], [[51, 8, 4, 0, 4], [14, 9, 7, 1, 2], [5, 7, 12, 2, 4], [0, 1, 0, 7, 10], [0, 1, 1, 3, 33]], [[53, 5, 6, 0, 3], [10, 9, 10, 2, 2], [6, 1, 15, 2, 6], [0, 2, 1, 4, 11], [0, 0, 1, 1, 36]], [[63, 4, 0, 0, 0], [12, 3, 12, 0, 6], [2, 4, 14, 2, 8], [0, 1, 0, 2, 15], [0, 0, 0, 3, 35]], [[55, 8, 2, 1, 2], [15, 8, 4, 0, 6], [3, 7, 10, 3, 6], [0, 1, 2, 4, 11], [0, 1, 3, 5, 29]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9975828101320632,0.34919211086194013,0.9973154362416108,0.3548387096774194,0.0017513680235443137,0.057848729392581504,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.25133689839572193, 0.3924731182795699, 0.3924731182795699, 0.3548387096774194, 0.3548387096774194]","[[[33, 21, 3, 3, 8], [12, 4, 8, 3, 7], [13, 1, 4, 6, 5], [9, 1, 3, 3, 2], [19, 4, 4, 8, 3]], [[37, 13, 4, 6, 7], [11, 7, 5, 3, 7], [9, 9, 9, 1, 2], [4, 2, 2, 3, 7], [6, 8, 4, 3, 17]], [[31, 18, 11, 2, 5], [12, 7, 5, 3, 6], [6, 9, 10, 2, 3], [0, 2, 2, 7, 7], [5, 2, 7, 6, 18]], [[39, 12, 5, 5, 6], [13, 7, 6, 2, 5], [6, 10, 5, 3, 6], [3, 0, 2, 3, 10], [10, 8, 4, 4, 12]], [[37, 12, 9, 5, 5], [18, 3, 1, 6, 5], [6, 7, 11, 1, 4], [5, 2, 3, 2, 6], [5, 4, 9, 7, 13]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9975828101320632,0.5565522396641941,0.9973154362416108,0.5645161290322581,0.0017513680235443137,0.08906601470395274,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.40641711229946526, 0.5645161290322581, 0.6290322580645161, 0.6182795698924731, 0.5645161290322581]","[[[67, 0, 1, 0, 0], [31, 0, 1, 1, 1], [11, 6, 9, 2, 1], [17, 0, 1, 0, 0], [26, 1, 0, 11, 0]], [[61, 4, 1, 0, 1], [28, 1, 4, 0, 0], [18, 3, 9, 0, 0], [7, 3, 1, 1, 6], [4, 0, 0, 1, 33]], [[62, 3, 2, 0, 0], [23, 4, 5, 0, 1], [10, 2, 17, 0, 1], [2, 0, 0, 0, 16], [3, 1, 0, 0, 34]], [[67, 0, 0, 0, 0], [27, 1, 4, 0, 1], [12, 0, 13, 0, 5], [0, 0, 3, 0, 15], [0, 1, 3, 0, 34]], [[64, 3, 0, 0, 1], [24, 2, 4, 0, 3], [15, 1, 11, 0, 2], [2, 0, 2, 0, 14], [4, 2, 4, 0, 28]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.748664213033124,0.562906100856765,0.7583892617449665,0.5806451612903226,0.03599324430942176,0.04047772707146287,"[0.7741935483870968, 0.6966442953020134, 0.785234899328859, 0.7288590604026846, 0.7583892617449665]","[0.49732620320855614, 0.5806451612903226, 0.5806451612903226, 0.6021505376344086, 0.553763440860215]","[[[60, 5, 1, 2, 0], [3, 3, 2, 24, 2], [6, 5, 7, 10, 1], [0, 0, 0, 12, 6], [1, 0, 0, 26, 11]], [[47, 16, 0, 0, 4], [6, 23, 4, 0, 0], [5, 21, 2, 0, 2], [0, 5, 0, 2, 11], [0, 2, 0, 2, 34]], [[46, 13, 7, 1, 0], [15, 5, 12, 0, 1], [2, 7, 18, 3, 0], [0, 0, 0, 5, 13], [0, 0, 0, 4, 34]], [[62, 3, 1, 0, 1], [15, 13, 3, 2, 0], [4, 17, 8, 1, 0], [0, 7, 1, 1, 9], [0, 6, 1, 3, 28]], [[64, 3, 1, 0, 0], [24, 4, 4, 0, 1], [15, 6, 7, 0, 1], [3, 2, 1, 2, 10], [4, 0, 5, 3, 26]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.6734783863751173,0.4748318095566672,0.6993288590604027,0.4731182795698925,0.04743832365117373,0.05425922508179928,"[0.706989247311828, 0.5932885906040268, 0.6671140939597315, 0.7006711409395974, 0.6993288590604027]","[0.40641711229946526, 0.543010752688172, 0.4731182795698925, 0.44086021505376344, 0.510752688172043]","[[[46, 15, 7, 0, 0], [11, 5, 5, 11, 2], [3, 7, 11, 5, 3], [7, 0, 0, 9, 2], [8, 6, 1, 18, 5]], [[34, 26, 6, 0, 1], [4, 23, 5, 0, 1], [1, 16, 11, 0, 2], [0, 10, 0, 3, 5], [0, 1, 2, 5, 30]], [[30, 31, 6, 0, 0], [11, 17, 4, 0, 1], [3, 12, 12, 0, 3], [0, 3, 2, 4, 9], [0, 6, 3, 4, 25]], [[37, 17, 12, 1, 0], [14, 5, 12, 0, 2], [3, 4, 16, 1, 6], [0, 2, 8, 0, 8], [1, 2, 11, 0, 24]], [[35, 25, 6, 0, 2], [7, 19, 7, 0, 0], [2, 11, 15, 0, 1], [0, 3, 5, 2, 8], [1, 1, 11, 1, 24]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9975828101320632,0.5758783278707378,0.9973154362416108,0.5913978494623656,0.0017513680235443137,0.08642577320322088,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.43315508021390375, 0.6666666666666666, 0.5913978494623656, 0.6075268817204301, 0.5806451612903226]","[[[56, 12, 0, 0, 0], [12, 5, 1, 15, 1], [8, 8, 6, 4, 3], [3, 1, 2, 12, 0], [6, 6, 0, 24, 2]], [[57, 6, 3, 0, 1], [19, 8, 6, 0, 0], [4, 5, 18, 1, 2], [0, 5, 1, 8, 4], [0, 1, 0, 4, 33]], [[52, 6, 8, 0, 1], [20, 8, 4, 0, 1], [3, 10, 15, 0, 2], [0, 2, 1, 1, 14], [0, 1, 1, 2, 34]], [[63, 2, 1, 0, 1], [12, 5, 14, 0, 2], [7, 5, 14, 2, 2], [0, 0, 3, 2, 13], [0, 0, 6, 3, 29]], [[60, 6, 2, 0, 0], [18, 8, 7, 0, 0], [3, 12, 12, 0, 2], [0, 1, 4, 0, 13], [2, 1, 5, 2, 28]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.9975828101320632,0.5876890345581047,0.9973154362416108,0.6236559139784946,0.0017513680235443137,0.08260086848060869,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.44919786096256686, 0.6236559139784946, 0.6505376344086021, 0.6397849462365591, 0.5752688172043011]","[[[57, 10, 1, 0, 0], [9, 3, 2, 20, 0], [5, 8, 9, 7, 0], [7, 0, 0, 10, 1], [7, 0, 0, 26, 5]], [[56, 5, 3, 2, 1], [18, 5, 10, 0, 0], [11, 5, 13, 0, 1], [2, 0, 3, 10, 3], [0, 1, 0, 5, 32]], [[56, 8, 3, 0, 0], [19, 5, 9, 0, 0], [5, 6, 19, 0, 0], [0, 0, 0, 5, 13], [1, 0, 0, 1, 36]], [[67, 0, 0, 0, 0], [22, 4, 5, 0, 2], [9, 7, 10, 3, 1], [0, 1, 1, 1, 15], [0, 0, 1, 0, 37]], [[59, 7, 2, 0, 0], [14, 8, 11, 0, 0], [3, 10, 15, 0, 1], [2, 5, 1, 0, 10], [1, 3, 9, 0, 25]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
