,DataSet,Target,Selected,Model,subjects,avg_train_accuracy,avg_test_accuracy,med_train_accuracy,med_test_accuracy,std_train_accuracy,std_test_accuracy,all_train_accuracy,all_test_accuracy,Confusion Matrix,estimator
0,AutoDataset,class5,100,GaussianNB,931,0.7548376271920328,0.5715600023000402,0.7503355704697987,0.5806451612903226,0.009677238030783585,0.07260480915688582,"[0.7701612903225806, 0.7463087248322148, 0.7503355704697987, 0.7583892617449665, 0.748993288590604]","[0.44919786096256686, 0.5752688172043011, 0.5806451612903226, 0.6236559139784946, 0.6290322580645161]","[[[49, 15, 4, 0, 0], [7, 7, 4, 16, 0], [2, 5, 15, 7, 0], [4, 4, 0, 10, 0], [7, 8, 2, 18, 3]], [[50, 11, 5, 0, 1], [16, 8, 9, 0, 0], [10, 4, 13, 0, 3], [3, 5, 0, 6, 4], [0, 0, 1, 7, 30]], [[45, 11, 8, 2, 1], [18, 4, 11, 0, 0], [3, 7, 20, 0, 0], [1, 3, 1, 7, 6], [2, 2, 0, 2, 32]], [[56, 3, 7, 0, 1], [9, 9, 15, 0, 0], [4, 4, 20, 0, 2], [0, 0, 4, 0, 14], [3, 0, 4, 0, 31]], [[59, 7, 1, 0, 1], [10, 13, 10, 0, 0], [9, 8, 11, 0, 1], [1, 3, 0, 3, 11], [2, 0, 1, 4, 31]]]",GaussianNB()
1,AutoDataset,class5,100,MLPClassifier,931,0.9975828101320632,0.6080731412799724,0.9973154362416108,0.6236559139784946,0.0017513680235443137,0.07564487123705343,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.4919786096256685, 0.6236559139784946, 0.6612903225806451, 0.6827956989247311, 0.5806451612903226]","[[[53, 14, 1, 0, 0], [1, 6, 3, 23, 1], [2, 6, 11, 10, 0], [0, 0, 0, 17, 1], [2, 1, 0, 30, 5]], [[51, 8, 3, 3, 2], [11, 9, 13, 0, 0], [7, 8, 14, 0, 1], [0, 1, 3, 9, 5], [0, 1, 0, 4, 33]], [[54, 9, 4, 0, 0], [16, 8, 9, 0, 0], [3, 5, 22, 0, 0], [0, 0, 0, 5, 13], [1, 0, 0, 3, 34]], [[64, 1, 2, 0, 0], [12, 5, 13, 3, 0], [1, 4, 21, 2, 2], [0, 1, 2, 1, 14], [0, 0, 1, 1, 36]], [[56, 9, 3, 0, 0], [16, 8, 7, 0, 2], [4, 10, 14, 0, 1], [0, 3, 1, 3, 11], [0, 0, 8, 3, 27]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
2,AutoDataset,class5,100,LogisticRegression,931,0.76182001876308,0.6069863722615145,0.7624161073825504,0.6290322580645161,0.014570581778666996,0.07047440477978142,"[0.7795698924731183, 0.7436241610738255, 0.7516778523489933, 0.7624161073825504, 0.7718120805369127]","[0.5026737967914439, 0.6290322580645161, 0.6666666666666666, 0.6666666666666666, 0.5698924731182796]","[[[55, 12, 1, 0, 0], [8, 7, 2, 17, 0], [4, 6, 11, 8, 0], [1, 1, 0, 15, 1], [3, 0, 0, 29, 6]], [[49, 9, 6, 1, 2], [11, 10, 12, 0, 0], [8, 5, 16, 1, 0], [0, 2, 0, 9, 7], [2, 1, 0, 2, 33]], [[57, 5, 4, 0, 1], [16, 7, 9, 0, 1], [5, 4, 21, 0, 0], [0, 0, 0, 3, 15], [0, 1, 1, 0, 36]], [[65, 0, 1, 0, 1], [11, 5, 14, 1, 2], [1, 4, 20, 1, 4], [1, 0, 3, 0, 14], [1, 0, 3, 0, 34]], [[56, 6, 5, 1, 0], [19, 5, 8, 1, 0], [8, 4, 16, 0, 1], [0, 3, 1, 0, 14], [0, 4, 5, 0, 29]]]","LogisticRegression(C=0.01, l1_ratio=0.2, max_iter=400, penalty='elasticnet',
                   solver='saga')"
3,AutoDataset,class5,100,KNeighborsClassifier,931,0.7663808905246446,0.5747915588522798,0.7691275167785235,0.6021505376344086,0.009979891164224059,0.07713987859014171,"[0.7688172043010753, 0.748993288590604, 0.774496644295302, 0.7704697986577181, 0.7691275167785235]","[0.44385026737967914, 0.6021505376344086, 0.6290322580645161, 0.6290322580645161, 0.5698924731182796]","[[[51, 14, 2, 0, 1], [2, 4, 2, 25, 1], [3, 5, 5, 12, 4], [0, 0, 1, 16, 1], [0, 0, 0, 31, 7]], [[51, 8, 4, 0, 4], [14, 9, 7, 1, 2], [5, 7, 12, 2, 4], [0, 1, 0, 7, 10], [0, 1, 1, 3, 33]], [[53, 5, 6, 0, 3], [10, 9, 10, 2, 2], [6, 1, 15, 2, 6], [0, 2, 1, 4, 11], [0, 0, 1, 1, 36]], [[63, 4, 0, 0, 0], [12, 3, 12, 0, 6], [2, 4, 14, 2, 8], [0, 1, 0, 2, 15], [0, 0, 0, 3, 35]], [[55, 8, 2, 1, 2], [15, 8, 4, 0, 6], [3, 7, 10, 3, 6], [0, 1, 2, 4, 11], [0, 1, 3, 5, 29]]]",KNeighborsClassifier()
4,AutoDataset,class5,100,ExtraTreeClassifier,931,0.9975828101320632,0.3384049220861366,0.9973154362416108,0.34946236559139787,0.0017513680235443137,0.038557488299503416,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.28342245989304815, 0.3602150537634409, 0.3172043010752688, 0.3817204301075269, 0.34946236559139787]","[[[34, 11, 17, 2, 4], [9, 1, 4, 6, 14], [5, 6, 7, 5, 6], [8, 1, 3, 4, 2], [9, 6, 5, 11, 7]], [[35, 14, 7, 5, 6], [13, 1, 6, 4, 9], [8, 6, 10, 1, 5], [1, 1, 7, 3, 6], [8, 3, 3, 6, 18]], [[33, 16, 12, 2, 4], [12, 6, 5, 5, 5], [8, 8, 7, 2, 5], [4, 2, 1, 3, 8], [9, 4, 5, 10, 10]], [[38, 10, 6, 4, 9], [14, 8, 5, 2, 4], [7, 10, 3, 1, 9], [0, 4, 5, 3, 6], [9, 1, 5, 4, 19]], [[35, 11, 12, 1, 9], [12, 5, 10, 3, 3], [10, 5, 9, 0, 5], [6, 1, 3, 3, 5], [11, 2, 8, 4, 13]]]",ExtraTreeClassifier()
5,AutoDataset,class5,100,RandomForestClassifier,931,0.9975828101320632,0.5511528951756655,0.9973154362416108,0.5752688172043011,0.0017513680235443137,0.0715621143739331,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.42780748663101603, 0.553763440860215, 0.5967741935483871, 0.6021505376344086, 0.5752688172043011]","[[[64, 3, 1, 0, 0], [27, 1, 3, 3, 0], [13, 7, 8, 0, 1], [14, 0, 0, 4, 0], [26, 0, 0, 9, 3]], [[62, 3, 1, 0, 1], [26, 0, 6, 0, 1], [17, 4, 7, 0, 2], [7, 0, 2, 1, 8], [3, 0, 1, 1, 33]], [[61, 2, 4, 0, 0], [25, 3, 4, 0, 1], [9, 6, 12, 1, 2], [3, 1, 0, 0, 14], [2, 1, 0, 0, 35]], [[66, 1, 0, 0, 0], [23, 2, 5, 0, 3], [11, 2, 9, 0, 8], [0, 0, 2, 0, 16], [2, 0, 1, 0, 35]], [[67, 1, 0, 0, 0], [24, 2, 7, 0, 0], [14, 2, 10, 0, 3], [2, 0, 1, 0, 15], [6, 1, 3, 0, 28]]]",RandomForestClassifier()
6,AutoDataset,class5,100,LinearSVC,931,0.7755127372447139,0.5736702892300615,0.7849462365591398,0.5913978494623656,0.03772588365208261,0.05472044674046155,"[0.7849462365591398, 0.7651006711409396, 0.8093959731543624, 0.7154362416107383, 0.8026845637583893]","[0.48663101604278075, 0.5913978494623656, 0.6021505376344086, 0.6290322580645161, 0.5591397849462365]","[[[46, 21, 1, 0, 0], [0, 13, 3, 17, 1], [4, 10, 9, 6, 0], [0, 3, 0, 11, 4], [1, 7, 0, 18, 12]], [[42, 6, 10, 3, 6], [5, 7, 21, 0, 0], [4, 2, 19, 0, 5], [0, 0, 3, 6, 9], [0, 0, 0, 2, 36]], [[52, 11, 4, 0, 0], [15, 9, 8, 0, 1], [3, 12, 14, 1, 0], [0, 0, 0, 2, 16], [0, 1, 0, 2, 35]], [[55, 0, 9, 1, 2], [8, 1, 18, 4, 2], [1, 1, 27, 1, 0], [0, 0, 5, 2, 11], [0, 0, 2, 4, 32]], [[54, 7, 3, 4, 0], [17, 7, 5, 2, 2], [5, 9, 8, 4, 3], [2, 0, 0, 7, 9], [0, 0, 2, 8, 28]]]",LinearSVC()
7,AutoDataset,class5,100,AdaBoostClassifier,931,0.6734783863751173,0.4748318095566672,0.6993288590604027,0.4731182795698925,0.04743832365117373,0.05425922508179928,"[0.706989247311828, 0.5932885906040268, 0.6671140939597315, 0.7006711409395974, 0.6993288590604027]","[0.40641711229946526, 0.543010752688172, 0.4731182795698925, 0.44086021505376344, 0.510752688172043]","[[[46, 15, 7, 0, 0], [11, 5, 5, 11, 2], [3, 7, 11, 5, 3], [7, 0, 0, 9, 2], [8, 6, 1, 18, 5]], [[34, 26, 6, 0, 1], [4, 23, 5, 0, 1], [1, 16, 11, 0, 2], [0, 10, 0, 3, 5], [0, 1, 2, 5, 30]], [[30, 31, 6, 0, 0], [11, 17, 4, 0, 1], [3, 12, 12, 0, 3], [0, 3, 2, 4, 9], [0, 6, 3, 4, 25]], [[37, 17, 12, 1, 0], [14, 5, 12, 0, 2], [3, 4, 16, 1, 6], [0, 2, 8, 0, 8], [1, 2, 11, 0, 24]], [[35, 25, 6, 0, 2], [7, 19, 7, 0, 0], [2, 11, 15, 0, 1], [0, 3, 5, 2, 8], [1, 1, 11, 1, 24]]]",AdaBoostClassifier(n_estimators=100)
8,AutoDataset,class5,100,GradientBoostingClassifier,931,0.9975828101320632,0.5823299407739635,0.9973154362416108,0.5967741935483871,0.0017513680235443137,0.08855015785546133,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.43315508021390375, 0.6666666666666666, 0.5913978494623656, 0.6236559139784946, 0.5967741935483871]","[[[56, 12, 0, 0, 0], [12, 5, 1, 15, 1], [8, 8, 6, 4, 3], [3, 1, 2, 12, 0], [6, 6, 0, 24, 2]], [[57, 6, 3, 0, 1], [19, 8, 6, 0, 0], [4, 5, 18, 1, 2], [0, 5, 1, 8, 4], [0, 1, 0, 4, 33]], [[52, 6, 8, 0, 1], [20, 7, 5, 0, 1], [3, 10, 16, 0, 1], [0, 2, 1, 1, 14], [0, 1, 0, 3, 34]], [[64, 2, 1, 0, 0], [13, 7, 11, 0, 2], [5, 7, 13, 2, 3], [0, 0, 4, 1, 13], [0, 0, 6, 1, 31]], [[60, 6, 2, 0, 0], [18, 9, 6, 0, 0], [3, 11, 13, 0, 2], [0, 1, 4, 0, 13], [2, 1, 5, 1, 29]]]",GradientBoostingClassifier()
9,AutoDataset,class5,100,VotingClassifier,931,0.9975828101320632,0.5758265769650969,0.9973154362416108,0.5913978494623656,0.0017513680235443137,0.055583536646939796,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.48128342245989303, 0.5913978494623656, 0.6182795698924731, 0.6129032258064516, 0.5752688172043011]","[[[64, 2, 2, 0, 0], [8, 1, 4, 20, 1], [7, 4, 11, 7, 0], [8, 0, 0, 9, 1], [5, 0, 0, 28, 5]], [[59, 5, 1, 1, 1], [19, 5, 9, 0, 0], [13, 5, 11, 0, 1], [0, 5, 3, 5, 5], [0, 2, 0, 6, 30]], [[56, 8, 3, 0, 0], [18, 5, 10, 0, 0], [7, 7, 16, 0, 0], [0, 0, 0, 6, 12], [3, 0, 0, 3, 32]], [[62, 2, 2, 0, 1], [18, 7, 7, 1, 0], [6, 11, 10, 1, 2], [0, 3, 2, 0, 13], [1, 0, 1, 1, 35]], [[59, 6, 3, 0, 0], [19, 6, 7, 0, 1], [11, 5, 13, 0, 0], [2, 2, 1, 2, 11], [1, 1, 5, 4, 27]]]","VotingClassifier(estimators=[('mlp',
                              MLPClassifier(activation='logistic',
                                            hidden_layer_sizes=100,
                                            max_iter=300)),
                             ('svc', LinearSVC()),
                             ('rfc', RandomForestClassifier())])"
10,AutoDataset,class5,200,GaussianNB,931,0.7969921339395251,0.5457478005865102,0.7956989247311828,0.5591397849462365,0.006683171227150993,0.06760398344393664,"[0.7956989247311828, 0.7932885906040269, 0.8067114093959732, 0.8, 0.789261744966443]","[0.45454545454545453, 0.5, 0.5591397849462365, 0.6021505376344086, 0.6129032258064516]","[[[51, 12, 5, 0, 0], [8, 9, 8, 9, 0], [1, 7, 15, 6, 0], [7, 2, 0, 8, 1], [10, 7, 2, 17, 2]], [[50, 13, 3, 0, 1], [19, 5, 9, 0, 0], [10, 7, 8, 0, 5], [7, 2, 1, 5, 3], [0, 0, 4, 9, 25]], [[47, 7, 10, 0, 3], [17, 5, 11, 0, 0], [3, 6, 19, 1, 1], [1, 3, 3, 2, 9], [2, 3, 1, 1, 31]], [[55, 5, 6, 0, 1], [11, 7, 15, 0, 0], [3, 3, 22, 2, 0], [0, 0, 7, 1, 10], [1, 1, 5, 4, 27]], [[55, 10, 2, 0, 1], [10, 11, 12, 0, 0], [9, 8, 12, 0, 0], [2, 0, 1, 3, 12], [3, 0, 0, 2, 33]]]",GaussianNB()
11,AutoDataset,class5,200,MLPClassifier,931,0.9975828101320632,0.5887643033753089,0.9973154362416108,0.6075268817204301,0.0017513680235443137,0.08502277897015563,"[0.9959677419354839, 0.9986577181208054, 0.9973154362416108, 0.9959731543624161, 1.0]","[0.44919786096256686, 0.6075268817204301, 0.6344086021505376, 0.6720430107526881, 0.5806451612903226]","[[[45, 23, 0, 0, 0], [6, 6, 2, 20, 0], [1, 7, 11, 10, 0], [1, 1, 0, 14, 2], [1, 0, 0, 29, 8]], [[48, 16, 2, 1, 0], [9, 9, 15, 0, 0], [1, 10, 18, 0, 1], [0, 1, 4, 7, 6], [1, 0, 0, 6, 31]], [[55, 10, 2, 0, 0], [16, 5, 12, 0, 0], [3, 7, 19, 1, 0], [0, 0, 0, 5, 13], [0, 1, 0, 3, 34]], [[65, 0, 2, 0, 0], [15, 5, 12, 0, 1], [4, 3, 19, 3, 1], [0, 1, 3, 3, 11], [0, 0, 1, 4, 33]], [[54, 11, 3, 0, 0], [18, 9, 6, 0, 0], [6, 9, 13, 1, 0], [1, 2, 2, 3, 10], [0, 0, 4, 5, 29]]]","MLPClassifier(activation='logistic', hidden_layer_sizes=100, max_iter=300)"
