,target,Model,Subjects,avg_test_accuracy,med_test_accuracy,std_test_accuracy,all_test_accuracy,CMATRIX,kappa error
0,class2,EfficientNet,931,0.6806,0.6774,0.0151,"[0.6774193548387096, 0.6935483870967742, 0.6989247311827957, 0.6559139784946236, 0.6774193548387096]","[[[25, 13, 0, 0, 0], [8, 9, 0, 1, 0], [0, 0, 61, 5, 2], [0, 0, 2, 25, 2], [0, 0, 14, 13, 6]], [[29, 9, 0, 0, 0], [10, 7, 0, 1, 0], [0, 0, 61, 1, 6], [0, 0, 5, 13, 11], [0, 1, 9, 4, 19]], [[30, 8, 0, 0, 0], [8, 8, 0, 2, 0], [0, 0, 66, 1, 1], [1, 0, 6, 20, 3], [2, 3, 13, 8, 6]], [[28, 8, 0, 2, 0], [10, 6, 0, 2, 0], [0, 0, 60, 3, 4], [0, 0, 3, 16, 11], [0, 0, 10, 11, 12]], [[35, 3, 0, 0, 0], [16, 2, 0, 0, 0], [0, 0, 64, 1, 2], [0, 0, 6, 15, 9], [0, 0, 13, 10, 10]]]","[0.57247931351517, 0.5917440024644769, 0.5941712771760306, 0.543873093723657, 0.5629356935850238]"
1,class2,Inception v3,931,0.6892,0.7043,0.0307,"[0.6451612903225806, 0.7258064516129032, 0.7043010752688172, 0.6612903225806451, 0.7096774193548387]","[[[30, 8, 0, 0, 0], [6, 12, 0, 0, 0], [0, 2, 52, 5, 9], [0, 0, 4, 23, 2], [0, 0, 15, 15, 3]], [[28, 2, 0, 2, 6], [3, 5, 0, 3, 7], [0, 0, 66, 0, 2], [0, 0, 2, 14, 13], [0, 0, 8, 3, 22]], [[35, 3, 0, 0, 0], [10, 2, 0, 6, 0], [0, 0, 55, 2, 11], [0, 0, 0, 13, 17], [0, 0, 2, 4, 26]], [[31, 4, 0, 3, 0], [12, 4, 0, 2, 0], [0, 0, 53, 12, 2], [0, 1, 0, 29, 0], [0, 0, 5, 22, 6]], [[35, 3, 0, 0, 0], [10, 6, 0, 2, 0], [0, 0, 61, 0, 6], [0, 0, 1, 20, 9], [0, 0, 9, 14, 10]]]","[0.5331431831146606, 0.6328379006038086, 0.6131154980712503, 0.5596392333709133, 0.6146113114879902]"
2,class2,MobileNet,931,0.6935,0.6935,0.0317,"[0.6935483870967742, 0.6505376344086021, 0.6666666666666666, 0.7258064516129032, 0.7311827956989247]","[[[32, 6, 0, 0, 0], [11, 6, 0, 1, 0], [1, 1, 62, 0, 4], [0, 0, 2, 15, 12], [0, 1, 11, 7, 14]], [[36, 2, 0, 0, 0], [13, 5, 0, 0, 0], [0, 0, 59, 0, 9], [2, 0, 5, 5, 17], [0, 1, 15, 1, 16]], [[37, 1, 0, 0, 0], [16, 1, 0, 0, 1], [0, 0, 59, 0, 9], [1, 0, 5, 13, 11], [3, 0, 11, 4, 14]], [[35, 1, 0, 2, 0], [9, 8, 0, 1, 0], [0, 0, 61, 4, 2], [0, 0, 4, 25, 1], [2, 0, 12, 13, 6]], [[35, 2, 0, 1, 0], [12, 2, 0, 4, 0], [0, 0, 60, 1, 6], [0, 0, 1, 16, 13], [0, 0, 4, 6, 23]]]","[0.5908933050356936, 0.5274020795872097, 0.5506546134663342, 0.6334621329211746, 0.6444546392934969]"
3,class2,RN-50,931,0.6989,0.6882,0.0355,"[0.6559139784946236, 0.6720430107526881, 0.7526881720430108, 0.7258064516129032, 0.6881720430107527]","[[[34, 4, 0, 0, 0], [16, 2, 0, 0, 0], [0, 0, 64, 0, 4], [0, 0, 11, 13, 5], [0, 0, 21, 3, 9]], [[33, 4, 0, 1, 0], [13, 1, 0, 3, 1], [0, 0, 65, 1, 2], [0, 0, 7, 17, 5], [0, 0, 13, 11, 9]], [[36, 1, 0, 1, 0], [12, 3, 0, 3, 0], [0, 0, 60, 1, 7], [0, 0, 3, 22, 5], [0, 0, 8, 5, 19]], [[34, 4, 0, 0, 0], [12, 2, 1, 1, 2], [0, 0, 59, 3, 5], [0, 0, 4, 20, 6], [0, 0, 8, 5, 20]], [[30, 8, 0, 0, 0], [13, 5, 0, 0, 0], [0, 0, 65, 0, 2], [2, 0, 2, 19, 7], [0, 0, 14, 10, 9]]]","[0.5238780897528197, 0.5543597800471327, 0.6699074074074074, 0.6345494471626152, 0.5812274368231047]"
4,class2,SqueezeNet,931,0.6882,0.6989,0.0326,"[0.6612903225806451, 0.6397849462365591, 0.6989247311827957, 0.7258064516129032, 0.7150537634408602]","[[[36, 0, 1, 0, 1], [13, 1, 2, 1, 1], [0, 0, 62, 2, 4], [4, 0, 7, 13, 5], [0, 0, 18, 4, 11]], [[35, 0, 0, 1, 2], [18, 0, 0, 0, 0], [0, 0, 63, 1, 4], [0, 0, 7, 15, 7], [0, 0, 25, 2, 6]], [[35, 1, 0, 1, 1], [15, 1, 0, 2, 0], [0, 0, 62, 3, 3], [0, 0, 8, 18, 4], [0, 0, 11, 7, 14]], [[38, 0, 0, 0, 0], [17, 0, 0, 1, 0], [0, 0, 59, 6, 2], [0, 0, 1, 28, 1], [0, 0, 13, 10, 10]], [[38, 0, 0, 0, 0], [17, 0, 0, 0, 1], [0, 0, 63, 3, 1], [1, 0, 1, 26, 2], [0, 0, 9, 18, 6]]]","[0.5338531307184342, 0.5004008980115457, 0.5918175405596049, 0.6328379006038086, 0.618454154894144]"
5,class2,Inception v1,931,,,,,,
6,class2,VGG-16,931,,,,,,
7,class2,VGG-19,931,,,,,,
8,class2,RN-101,931,0.7065,0.7043,0.0154,"[0.6881720430107527, 0.7311827956989247, 0.6935483870967742, 0.7043010752688172, 0.7150537634408602]","[[[37, 0, 1, 0, 0], [15, 1, 0, 0, 2], [0, 0, 66, 1, 1], [0, 0, 7, 18, 4], [0, 0, 20, 7, 6]], [[34, 4, 0, 0, 0], [10, 8, 0, 0, 0], [0, 0, 62, 0, 6], [0, 0, 3, 17, 9], [0, 2, 11, 5, 15]], [[27, 11, 0, 0, 0], [12, 5, 0, 0, 1], [0, 0, 64, 0, 4], [0, 0, 7, 18, 5], [0, 1, 11, 5, 15]], [[38, 0, 0, 0, 0], [16, 0, 0, 2, 0], [0, 0, 55, 0, 12], [0, 0, 0, 15, 15], [0, 0, 6, 4, 23]], [[26, 12, 0, 0, 0], [11, 6, 0, 1, 0], [0, 0, 60, 0, 7], [0, 0, 1, 18, 11], [0, 0, 4, 6, 23]]]","[0.5689455388180765, 0.6405936002473335, 0.5881438893636857, 0.609198915078122, 0.6267040290820964]"
9,class2,RN-152,931,,,,,,
